"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.930113320573523
"SBS96B","SBS2",0.998031627545618
"SBS96C","SBS7b",0.98446783386567
"SBS96D","SBS40",0.90267246370433
"SBS96F","SBS4",0.981742711995141
"SBS96G","SBS44",0.993123404483725
"SBS96H","SBS3",0.923205796010682
"SBS96I","SBS1",0.9997643503056
"SBS96J","SBS18",0.990944837879529
"SBS96K","SBS17b",0.999541196946172
"SBS96L","SBS7c",0.993933465292869
"SBS96M","SBS17a",0.999732634527524
"SBS96N","SBS7d",0.964315528099393
"SBS96O","SBS13",0.998995535011722
"SBS96P","SBS28",0.967531759486286
