"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"W.1",0.129058449699724,0.164552257664355,0.691015331078446,0.25763207565053,0.93924799079894,0.149293263939146,0.149832514409492,0.155185423089461,0.251945562307974,0.719505214780941,0.163318767759266,0.71887036869388,0.186119164640344,0.0398968326627359,0.27117097230367,0.140898432386865,0.131917777480417,0.249767305853719,0.206544994493135,0.0654233772918895,0.708584936238281,0.435288382282355,0.582553086828986
"W.2",0.00296627953786732,0.0013433609274468,0.402331457879819,0.440858508197639,0.219054331444796,0.0795461582431161,0.296826581965587,0.122058418571811,0.0106316628961541,0.0204308934946134,0.0303214604899292,0.0561709089862236,0.0936847006533608,0.00846543470672056,0.165756875869744,0.523851960924996,0.00775376748423118,0.324333308723532,0.929036637447276,0.185582102744836,0.284983114734203,0.0700189500050883,0.181931651146368
"W.3",0.0741376160898971,0.0226985352324633,0.352956824634983,0.0940748492252398,0.332025065393471,0.0280989859861112,0.0662422212172217,0.266414769905831,0.226297714518593,0.305756534441484,0.242052717647662,0.164822655604365,0.0311753735845297,0.0771249408856469,0.117772154613738,0.192400454359242,0.350777001206837,0.0572601215867555,0.11029318528417,0.0410849961568109,0.375862277502439,0.921191216082593,0.258234191977694
"W.4",0.0683347685776849,0.248535475771239,0.349074041813591,0.14420885935217,0.428250759707956,0.702872142647515,0.999616356551769,0.0864899172163011,0.131168238888268,0.0639173849449265,0.0133977892547994,0.0850457768845971,0.0241161076051147,0.00439462783886679,0.112832697275374,0.0239807620161351,0.0144535743108694,0.0548414051030144,0.39097133913612,0.0391277678437426,0.407450338191927,0.113794761426338,0.0982818066114761
"W.5",0.0187981956979187,0.999514537590502,0.0939234896408908,0.0427080436405868,0.245502173362925,0.692862969846451,0.248286115158857,0.0568688450475728,0.0731983753327641,0.0371601183848348,0.0161430123404023,0.0579954452898758,0.00151407723125208,0.00138635936948284,0.0626418953618908,0.00636164226647462,0.0115724916812691,0.0399737574773775,0.0426604440398726,0.0234820130470546,0.326208336605691,0.0887138988109354,0.0160720918809616
"W.6",0.00340696521722328,0.000129274655054634,0.121773773665195,0.0148306113684296,0.129691960031554,0.00147262912595725,0.00932758991085714,0.0799416443377285,0.0123856268055975,0.0162671926626705,0.00479277124783128,0.0670824480317743,0.0179516668563957,0.232821200634715,0.0374247371599679,0.00774610926379615,0.97866968602809,0.0144123684908688,0.0313620085214097,0.0181226849894534,0.261329669667885,0.481268313082543,0.047784572945007
"W.7",0.999993559411208,0.0202659474686331,0.0519672369786877,0.0231547771581549,0.191806090803582,0.0474818866253909,0.0687542244334041,0.0226764321293432,0.0141290287937339,0.0140139644932618,0.00632544224831055,0.0225919683926453,0.00671115543710099,0.00176183578990263,0.121907907817485,0.0110908120756953,0.0143336810817519,0.158381952572968,0.0209182906118547,0.0214392540958259,0.0387157442438163,0.0976914730041972,0.212493232584117
"W.8",0.00552564529464172,0.00937949459623799,0.285617480678302,0.103554715226513,0.153887479246112,0.0102499389031635,0.011265583255613,0.0417432913259096,0.0152083574448592,0.0220835835966683,0.999969847642165,0.0946177858642469,0.006342359876917,0.00256150465801774,0.127313562561544,0.0132237589319755,0.00545386542941662,0.0704043831681919,0.128568090466886,0.0276263982392995,0.295481966114012,0.256185927693023,0.0324744949810785
"W.9",0.0189000424086461,0.00161958631882242,0.42614571631466,0.089638328745838,0.633864859073083,0.00896137043344958,0.0336862996317208,0.213303581918159,0.365632833659576,0.992035049523953,0.012483821604341,0.563644399374985,0.267062672289934,0.01603371536288,0.0640753770136515,0.0837563074511851,0.0112929378861296,0.0524010917122049,0.0414550734088536,0.0405635512257068,0.367986593372794,0.388760611079213,0.310028209354916
"W.10",0.0210034076011345,0.0414159744017296,0.624805101536126,0.999698346690913,0.360438725882494,0.075388820665392,0.134383438886262,0.116150858944297,0.0743154951393069,0.105460151410978,0.101921306910847,0.161540206930468,0.0389328307015768,0.00825224825636606,0.728660035211479,0.28063453466579,0.0178274546707162,0.781804285957773,0.671290540574455,0.691172869576344,0.601828016126676,0.132089343331907,0.314918480464522
"W.11",0.0141912927326558,0.0033387580979044,0.251855593812948,0.437564026156732,0.167741159780842,0.00786715509148972,0.0122985211162626,0.0151435977738736,0.00538724121784206,0.0151802195912045,0.017091159152665,0.0582013852221638,0.00518036627234053,0.00214017769570385,0.52681362823608,0.0275163393220188,0.00616958539792889,0.852284345066017,0.358395293281373,0.0729684842084485,0.282837121165185,0.0264083794778445,0.0618342175116332
"W.12",0.00887831544896633,0.0168175724299703,0.237012211915559,0.0601445841885319,0.510745222584017,0.0127885255038331,0.0234405105989706,0.0134261656437538,0.0854557425322998,0.476542921158221,0.0520082293277901,0.975313571131299,0.0085902539295486,0.00146584021398899,0.0238134217150368,0.103256221433847,0.00306794937799626,0.0172027822483167,0.0336365627140175,0.0174773487715471,0.256185133287764,0.136141889307785,0.101341461879274
"W.13",0.00752320065013579,0.000788228286604076,0.286675751023703,0.26198316420038,0.162514734101786,0.00376052661053794,0.0155452532355914,0.157910094964818,0.0348057082499432,0.072038170708973,0.00943977269136576,0.129060561382522,0.0703225930175192,0.00633472145990432,0.0478844395272706,0.99807227536596,0.00680262900581263,0.0338963721060289,0.445351350708243,0.014075673971373,0.156733833058463,0.209299271707864,0.0406321327081178
"W.14",0.0222582872827899,0.0416877018806247,0.315488629052341,0.117084984692297,0.247860169725679,0.0719785685529216,0.0823151123867861,0.99933108597303,0.200033086751653,0.211828371294785,0.033315013249942,0.0920545837805655,0.149437182312439,0.0415313109546998,0.0968758958347777,0.195624789753727,0.0975683672213117,0.0526405774926589,0.168113055878153,0.0409342214694806,0.361367864400556,0.54309381790514,0.191644636945599
