"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"hdp.1",0.0728307155351974,0.331374664168048,0.882876725270051,0.614530204654482,0.839537502273215,0.39878979056736,0.414268452886044,0.370650988743668,0.270866099439928,0.422145443578374,0.297823020755898,0.4375700289537,0.194444505093968,0.186613557012256,0.579950483609243,0.195015876630098,0.292647245899676,0.516512145084206,0.518280649626825,0.306627865037827,0.999443489728878,0.550334911027265,0.463861039273582
"hdp.2",0.21921001956547,0.249835880921914,0.789201661753904,0.376510435808015,0.999657735812041,0.35868316713734,0.429451232755649,0.253564558245191,0.332780569292741,0.668864977383365,0.155768770550767,0.648163136622302,0.203754582526571,0.0976791090589538,0.355536400786958,0.196800621807354,0.150845673167749,0.322986587784655,0.3765647894747,0.146750563064688,0.826776671671001,0.48633224718134,0.599522725218907
"hdp.3",0.999885021951945,0.0239824742152144,0.0659170982496626,0.0296722691315174,0.208515650423719,0.0532042061112966,0.0759823672968521,0.0279525020525115,0.0201576716256889,0.0264711403287009,0.0093170102855602,0.0347370249832928,0.0105689838032001,0.00385720569322934,0.127332316136658,0.0147136085484124,0.0170085318042857,0.163340373597491,0.0277921699065863,0.0240779404613235,0.0530642040890288,0.106286841891961,0.221736791825551
"hdp.4",0.163921118567012,0.0595928025907952,0.425307864708662,0.726167213707534,0.343705428106981,0.0924898166759283,0.107325380797755,0.0942826170250575,0.075125780727565,0.0774671706658639,0.12418167518062,0.119344612985347,0.0238240513356072,0.0292839500756308,0.998908899498022,0.0609681407872362,0.0436150562723537,0.829224487850769,0.368023069191051,0.465294289164868,0.562034385730765,0.149957862434393,0.247827783245944
"hdp.5",0.025938452592575,0.0172129518498652,0.289855078389686,0.105581643623485,0.162487705054207,0.018690266808654,0.0171161140552791,0.0434782855785057,0.0169044957128319,0.0243774581702237,0.999811385115709,0.0970984533878094,0.00721249598130214,0.00309885577894131,0.131236837787811,0.01422544738361,0.00641465100506333,0.0748580171070603,0.130765841551305,0.0286731092987681,0.30117118773584,0.260049841912144,0.0384453958795137
"hdp.6",0.0225926340390106,0.0460106673567418,0.488984541433342,0.130887108690955,0.692074373054327,0.0545998790995366,0.076456233399262,0.223029158724107,0.437010747286163,0.99960729583915,0.0276768082705128,0.574902825796033,0.344780506337305,0.0229689800826778,0.101711139547628,0.101257028759792,0.0283647150223696,0.0834499194121422,0.0791056656572564,0.0598793237388275,0.43964336210503,0.414766412939421,0.347331492458
"hdp.7",0.0693017764894859,0.260909967353866,0.348136035108823,0.14420426762159,0.428981875622466,0.715470056885631,0.999964936242605,0.0863090198958895,0.122861075541969,0.0609900366607226,0.0147808351678516,0.0851546375765131,0.0227079664660792,0.00513500753710072,0.113666832838476,0.0264050896648711,0.0180880832038407,0.0556423667587074,0.389458851048576,0.0380077194924047,0.410350801714081,0.115024557136046,0.0970457664519111
"hdp.8",0.237324611270585,0.023279813174533,0.485050259333665,0.334355817609404,0.619092305603402,0.0631395132065476,0.110076869338006,0.194463686318741,0.195985850499506,0.347136287296052,0.0371216975293091,0.202128526942106,0.0899541564266108,0.0224841695300186,0.258418988953631,0.067127544798224,0.0574313467699228,0.271171234270358,0.319105856917883,0.222383143474239,0.471582684779167,0.337498534314893,0.999358784419372
"hdp.9",0.101465900872002,0.0792491417211837,0.4580931014892,0.128093516375946,0.454326792342099,0.0856348121344797,0.0993942678790174,0.542883097910239,0.261605803378483,0.385315037536893,0.261271900778816,0.253555351602539,0.0863030079391374,0.162065554224575,0.144417284224231,0.237014876764353,0.491028523245428,0.0772253200685364,0.16363905350075,0.0493906794980591,0.522536764425559,0.999255325837529,0.309784953404646
"hdp.10",0.0607889905773853,0.00445314109852124,0.253818677327252,0.0550665888812251,0.221510461951011,0.0118264925703698,0.0294139178882062,0.181396844386908,0.128939296320079,0.350354369991122,0.0080890807766737,0.0835980616515015,0.998529072996852,0.0540980514099532,0.0371705905499393,0.0784651435539971,0.0238166548764971,0.0351227579513441,0.105446327515646,0.018887118809819,0.201499817305206,0.103134931801306,0.101103637502245
