"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"hdp.1",0.995844520457013,0.0199841683153072,0.0632141826350918,0.0281443836289396,0.192245536659426,0.045441620507522,0.0656310118828834,0.0269165354222499,0.0182697388613157,0.0246262300986678,0.00926787230648973,0.0325201022849019,0.00929177106158174,0.00441391090193521,0.121986693193891,0.0157535411595972,0.0184164697340228,0.159474376213595,0.027320554510061,0.0231646819323742,0.0486797501229241,0.102692620309759,0.21471128004517
"hdp.2",0.0218447410655676,0.00221610423561946,0.102086629303176,0.0142564812241616,0.0959432606534072,0.00386430741373223,0.00679972919762439,0.0360129620134635,0.0127804705222727,0.0151031198102755,0.00308724481368305,0.0264875980037684,0.0406374332553973,0.996532877161688,0.0338787974663716,0.0105635268495914,0.381750997676343,0.0134607691672777,0.029417442010365,0.022345214383346,0.172162596329806,0.148159745438602,0.0227384714754864
"hdp.3",0.0369075656943241,0.00544097655323683,0.248254776412676,0.0542245688724085,0.218057058618853,0.0141404035288822,0.0330767984240198,0.181519328864513,0.133629266605645,0.341676664774445,0.00802371641007082,0.0872074865827535,0.99740721811757,0.0500916977440801,0.0351950751005312,0.0705243174504203,0.0227541384403617,0.0319562393656472,0.0996949804208547,0.0191762633108442,0.200566716053059,0.0992482700052081,0.0974639964632533
"hdp.4",0.0264062188958955,0.0379112147806115,0.300516563786162,0.110877323604656,0.235325976083865,0.0619573633328867,0.0788021220987984,0.996546941935279,0.197255173631487,0.202163823300899,0.0339781539103368,0.0850058982486515,0.146026553920868,0.0327638445513126,0.0913445713471018,0.188947955209184,0.0761633025640406,0.0497907224773324,0.15808254604646,0.0407735656713855,0.344229832437453,0.508953909512431,0.180356488859439
"hdp.5",0.0253054570234175,0.998141538421311,0.12128457813225,0.0548833403194583,0.276827300688456,0.73256032852647,0.316505283451008,0.0651200078774689,0.0801892199577685,0.0433369981020135,0.0164204126117647,0.0667511006309335,0.00439356930584978,0.00213294676398412,0.0720210683428744,0.00881055966317268,0.0133923212446511,0.0455454138553419,0.0705125011961634,0.0266275739841839,0.353604653616219,0.0973311757516697,0.0240921297890115
"hdp.6",0.0268329107593294,0.880000602872007,0.0778488194222727,0.0313075720317789,0.201285810223179,0.618789996913173,0.10899076819024,0.0639284524942703,0.0118683809571758,0.0318886066240005,0.0154558115034523,0.0300959876654706,0.00490625516340293,0.000869193396809909,0.0640337020373104,0.0080766764899376,0.0113616011865815,0.0386955746067381,0.0395055977644396,0.0190073622438424,0.277683994605817,0.0732983206019872,0.0201915745416454
"hdp.7",0.0227780577529484,0.0274384307886018,0.370836961501922,0.694660839311254,0.193999603682033,0.0467480295542957,0.0719340415264738,0.0590715362805913,0.0614660164963111,0.0725226102115659,0.0387450840407875,0.0938390386011969,0.0189843642440359,0.00888341460146935,0.490026168418569,0.0630805388102167,0.0130904203432253,0.444780263525725,0.431819968725814,0.989931962986744,0.34839771852138,0.0718210138769788,0.24440113058529
"hdp.8",0.0313798426576687,0.350446297639547,0.838733784726879,0.620223924447808,0.759502840435191,0.395328548030821,0.38690055308291,0.389364153782929,0.23792125898381,0.337229471212132,0.317612516258954,0.395659501424846,0.167584048386105,0.202496967844001,0.590529455353332,0.165161426501917,0.329922349299552,0.517426499009389,0.501358932240644,0.328204999612358,0.989428264260309,0.540882502965808,0.39129085014215
"hdp.9",0.216335515015905,0.254192321593402,0.70725102675177,0.282578504647309,0.987006394661745,0.356448804123689,0.415936439786955,0.214063214995768,0.317602334510342,0.684447096934633,0.107209259384462,0.676795770613068,0.182868504971523,0.0801335941339779,0.27253540858526,0.164663705627184,0.131540979979054,0.240607151440818,0.302076778454654,0.0995557159085018,0.746186988721787,0.447076731974895,0.586434682232862
"hdp.10",0.0274964902912823,0.0117999212449629,0.290585310666917,0.100640710824985,0.16097722729681,0.0139030540735509,0.0149175593519109,0.0451322761292161,0.0160551543161234,0.0243394150672299,0.993712110495748,0.10208302694405,0.00659870498979287,0.00318068462246501,0.124926053893474,0.013000098103999,0.00589204936329624,0.0709136775197151,0.13308772419636,0.0271260854483404,0.299591238710451,0.266303183423972,0.0387658333536741
"hdp.11",0.0649163364038874,0.0349698869855596,0.979143875693417,0.642577800489572,0.680816514168727,0.148956130087582,0.304252665621324,0.304068005592106,0.244666411416669,0.384540987976016,0.282684514112536,0.306518061012697,0.250521060609022,0.0913607115073074,0.397336372354827,0.330612819758956,0.114644262773819,0.44016282218442,0.637628336654976,0.373140504597422,0.801898099378141,0.426936345532111,0.403798731695928
"hdp.12",0.229374600449923,0.0207010311501111,0.467549898502128,0.343966240682833,0.596860037103793,0.0525380745898147,0.0935188294149568,0.177681300219244,0.180227387828329,0.343506314783489,0.0343174053677301,0.204053054902001,0.084590383132233,0.0207604311448045,0.2510908872121,0.061550785965411,0.0539801011777298,0.275133889500472,0.329925745221063,0.246720077791177,0.453249794590572,0.32032089935075,0.989644903046075
"hdp.13",0.0427181258828758,0.0601363871337834,0.412047505984333,0.160827873482264,0.672633172575344,0.0922791644174128,0.124741827797809,0.0810088381490421,0.156941224015754,0.561234302906962,0.0987739478957521,0.987031852507042,0.0881484388968633,0.0549518983175915,0.121575501185245,0.154905581055761,0.0843660555586681,0.101114101199819,0.131012346135803,0.0551001496008677,0.442131554925717,0.262572700800842,0.225710633203375
"hdp.14",0.121779399812255,0.0679569266019666,0.438540403358771,0.121443947810111,0.442225918801501,0.0752829799643344,0.0887690214051245,0.502563562696859,0.240052735205865,0.349524916881322,0.257297206054673,0.25800835635081,0.0569910868559756,0.141520498996384,0.139117074532456,0.24763672644132,0.491515413065413,0.0741391728379321,0.155879754308816,0.0439992065898757,0.50325735263289,0.991580530757423,0.307942537217178
"hdp.15",0.0462755108818597,0.0117219788525672,0.164290455900955,0.0562997111832593,0.175746572076844,0.0261182983478957,0.0368859514695683,0.104646811160021,0.026877701603033,0.0331906741681989,0.0102164799508904,0.078377033131801,0.0260674057735352,0.261637109425248,0.0908970848546711,0.0170706784203973,0.980638240124424,0.0658144537757517,0.0615780328398238,0.0400514408600295,0.304195671794044,0.504628222936532,0.0797809934687852
"hdp.16",0.0330242420432654,0.0676529121298717,0.277362465548903,0.0810659996155254,0.344026953813398,0.174171961368331,0.212181543764784,0.179953638947677,0.984191953921263,0.400684817765771,0.0157998760529624,0.13422701256323,0.109723615670628,0.0167758810088836,0.0872364964030369,0.0449284471509855,0.0217127207132949,0.0525024949822361,0.0632776643411737,0.0545913145327197,0.276767583955356,0.241871876797872,0.176749525388515
"hdp.17",0.0343299213776166,0.0577298648160586,0.501562510268498,0.13635835679888,0.714366950599399,0.0672038215685634,0.0959044563997526,0.216862033926943,0.451202305974869,0.990462602385611,0.0347219527676212,0.563134417929465,0.334367970698607,0.0258583632373888,0.110368877503951,0.0959091701964752,0.0313872926121345,0.0912193073511346,0.0909270394262717,0.0617729507344824,0.458747264698936,0.393086533738388,0.366542912830649
"hdp.18",0.0754255947772884,0.0496521978065756,0.382211674797085,0.702185384595406,0.29800119572183,0.0694783135175983,0.0763309633446621,0.0767061417026318,0.0657844484383112,0.0675931412848471,0.112708579549915,0.106822182381902,0.0214628130541077,0.0199412136699806,0.994781539411521,0.0466637059487979,0.0249633216833743,0.809416083695906,0.337091618246021,0.446795853179449,0.523295392871329,0.115985923435536,0.206575813371668
"hdp.19",0.0345467398254244,0.0392951193113281,0.371078024630449,0.306892525342468,0.264248472242464,0.0531632100814867,0.0622253724622039,0.185396911081026,0.0588957822179152,0.129871400985879,0.0274908496151339,0.190427502628026,0.0869894914287261,0.0203725862726621,0.0974640804335526,0.989448862027475,0.0385695596712179,0.077539289921252,0.484585638765681,0.0327904964842313,0.253883735232024,0.265469342492452,0.102284064657037
"hdp.20",0.23828402892179,0.09486170611141,0.0585724436997266,0.0209970693378693,0.18516299328775,0.206533732631762,0.222626349943457,0.0161952126826915,0.0346518832260501,0.0235014056386837,0.00659270166681691,0.0297597829433184,0.0119896265689383,0.00154855481593896,0.0697420468757477,0.0101247655368317,0.00687596614379482,0.0780183317193284,0.0367105412155401,0.0139591364516193,0.0716598514324701,0.0537579882549983,0.0562927956457766
"hdp.21",0.14762912378417,0.122711885486616,0.565421169186917,0.71195181863873,0.523390269494745,0.148829686217336,0.155036611303395,0.102556870320985,0.124420630799005,0.243870621448273,0.095843491276776,0.310898896316983,0.0679649214733765,0.0228097312378606,0.774321646883253,0.0792416590280147,0.0479768659509058,0.952558918422075,0.496852001153334,0.339880959426419,0.633745710418172,0.172623177006141,0.307631253338732
"hdp.22",0.0649499108590297,0.0392173692908661,0.267759541428092,0.139188574166689,0.224757177701202,0.0742655545666673,0.0913088302687995,0.0436134663594632,0.0563381993610064,0.0837931276274874,0.685812366790574,0.0998932040146154,0.0326892858234171,0.0117949479918923,0.166180994339744,0.0456442212279142,0.0195778668877771,0.111358032327342,0.112341329697855,0.0481734900916688,0.284298326743255,0.178342710251026,0.0946560370854822
"hdp.23",0.434127859528507,0.0370314412511181,0.101044018987314,0.0615034219431181,0.227298167117599,0.0673221939888835,0.113575617311759,0.0576517294419694,0.0471247211671435,0.0592308966719405,0.0158988985763762,0.0454141879552874,0.0283565239526774,0.0137518997491271,0.113079168567805,0.0317420819539739,0.0341979096110248,0.102906388351632,0.0565085813483664,0.0288078123468367,0.106848678352648,0.113461969415574,0.127198888405052
"hdp.24",0.015140596475215,0.0247468902185499,0.577458843610861,0.9933218648531,0.313013644546568,0.0532455405226745,0.110376691985583,0.0975306246470635,0.0632183430636144,0.0829738326558631,0.0777954054983548,0.143520451340391,0.0325159275599478,0.00635536455567376,0.700488915142113,0.258207436720697,0.0147571210007595,0.754292150026876,0.65112462729751,0.727478215927069,0.550041815993851,0.103915415718441,0.307366803948221
"hdp.25",0.0240019496558004,0.0432807308989559,0.199990506867495,0.102671451338669,0.225764733191522,0.165940941801507,0.369348440831182,0.03758582879302,0.14796980086982,0.0650178046430567,0.00711058924630203,0.0474981914624942,0.0095584027034713,0.00447955216821483,0.0848368379192902,0.019205301718859,0.00871704156201059,0.0619413196751248,0.0641927249862448,0.0252254219143216,0.228873307229883,0.0856439796570463,0.0726916454981027
