"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"signeR.1",0.0456860489777371,0.733851814442298,0.199521981809394,0.0770159395552641,0.349413442073504,0.99866224119063,0.684871974554807,0.0871771229068622,0.0708569324733657,0.0426394744236174,0.0173225976468536,0.0574486642274308,0.00701114102398903,0.00222586637314059,0.0967285248696033,0.0131907171100035,0.0150896093732886,0.0418676207979984,0.141586692018127,0.0314164672858758,0.391129228391941,0.100657660179504,0.049417287376608
"signeR.2",0.238061045226197,0.274915771201909,0.800688981858708,0.430973581545385,0.96744934650604,0.399416842373667,0.483918410968471,0.23726077109589,0.254831476906048,0.465353592168214,0.188309976291259,0.575276619424465,0.137590421795847,0.113508257948583,0.414758966089738,0.191343613886756,0.178750806935542,0.37507742473181,0.433488628090048,0.174285140274331,0.862586270825888,0.44520059288321,0.607527144041115
"signeR.3",0.0457022402476295,0.314055076279925,0.888706993578575,0.611103678967766,0.85298818094285,0.378907051346373,0.405200715425163,0.365097302931328,0.275491080029051,0.441590118071411,0.293111810219746,0.460076682656523,0.195140700418115,0.182415876867574,0.572773765268811,0.196780883470278,0.287515477049507,0.509447631104807,0.51580489457265,0.302043954858703,0.998851403769004,0.546810840770835,0.474659831782638
"signeR.4",0.0305390864690206,0.0437748542594529,0.640336589623792,0.999966957988327,0.3823524147877,0.0822080682168744,0.145118460686098,0.121402786733854,0.0811082858741237,0.118829526167842,0.104611968983169,0.171516244185269,0.0511271749211859,0.0134106007336185,0.733556306126171,0.282960251909799,0.022136475697539,0.785418353830901,0.67733694717793,0.686984416376502,0.617658545845601,0.142955591398981,0.332670666386599
"signeR.5",0.0517762070814289,0.678386171128629,0.232845028382064,0.0913260918677996,0.377193619225872,0.996288561584371,0.778042455808715,0.0847173571405863,0.0774171623372014,0.0439021196688838,0.0170917812607093,0.0632269791849883,0.00865714373194748,0.00251422236086984,0.102741610204204,0.0145538028193881,0.0155020460987143,0.0448834427130941,0.193218963113742,0.0331921487528768,0.409107804098945,0.102730437720367,0.0576988248000914
"signeR.6",0.104327776902055,0.119354452531943,0.650822976327087,0.232425046287381,0.892709934181459,0.160862271970762,0.215219273695584,0.234448556593645,0.408031707652975,0.92509782747678,0.0796415953158413,0.707492449806352,0.283657064422133,0.0543206521496022,0.19802746620049,0.173538436625429,0.0798634902069887,0.192814824070589,0.216428983503031,0.0782645315903342,0.629553483669661,0.475621946905835,0.488126550636113
"signeR.7",0.0701017871269836,0.259493664887713,0.348409756727601,0.144763104109236,0.429207872071624,0.714012073485394,0.999935533893212,0.0860139563606146,0.122309881239266,0.0605580712096498,0.014580093356376,0.0852633348799879,0.023336559742439,0.00516861365135712,0.11385336013814,0.0258675535967755,0.0182200022710977,0.0559493518339151,0.390248755995723,0.039110776882909,0.410144060889906,0.113195296969223,0.0972699495740156
"signeR.8",0.463055961051264,0.0473434337810478,0.497708754660727,0.323218593521608,0.667575524132386,0.0985533348947298,0.151904676877519,0.192495425931243,0.198947153979788,0.356482304069784,0.0468848861024158,0.238192412409115,0.0948115732701252,0.0285803470522531,0.281178004786714,0.0780313437242081,0.065943438062801,0.297202204585044,0.311337046433284,0.206209390287449,0.486760228570481,0.352431866495044,0.95949563629539
"signeR.9",0.0801090014914273,0.0820013157292929,0.998483412996639,0.631061182944237,0.805100156562078,0.186638620062569,0.331498143788811,0.321903471095244,0.277659082342619,0.487342650989412,0.279269821207885,0.418809815355672,0.247658046353981,0.107732194130616,0.432371911498124,0.345127499207201,0.141009747783926,0.454305639691724,0.630785833883855,0.318930005177035,0.873153825115935,0.48629771648521,0.482860433708803
"signeR.10",0.026888496827944,0.00157506066247137,0.111244559866258,0.0137165685373132,0.102976707622104,0.00270948774530477,0.00624415242453447,0.0420946891079699,0.0172081227497461,0.0196315571282045,0.00284751880522538,0.0302226379785068,0.0548567586430251,0.999692870839412,0.0347349295999321,0.0119421511388749,0.426760104074813,0.0136239730727979,0.0321493132625404,0.0224384450185866,0.188345433212875,0.168462191418241,0.0252828272570899
