Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,3200
low confidence hdp.4,2664
low confidence hdp.5,2131
low confidence hdp.6,2000
low confidence hdp.7,1751
low confidence hdp.8,1202
low confidence hdp.9,998
low confidence hdp.10,902
low confidence hdp.11,600
low confidence hdp.12,438
low confidence hdp.13,400
low confidence hdp.14,400
low confidence hdp.15,332
low confidence hdp.16,202
low confidence hdp.17,200
low confidence hdp.18,199
low confidence hdp.19,50
low confidence hdp.20,40
low confidence hdp.21,16
low confidence hdp.22,4
low confidence hdp.23,4
low confidence hdp.24,4
low confidence hdp.25,4
low confidence hdp.26,4
low confidence hdp.27,4
low confidence hdp.28,2
low confidence hdp.29,2
low confidence hdp.30,2
low confidence hdp.31,2
low confidence hdp.32,2
low confidence hdp.33,2
low confidence hdp.34,2
low confidence hdp.35,2
low confidence hdp.36,2
