"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7b","SBS7c","SBS7d","SBS8","SBS9","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS26","SBS28","SBS29","SBS30","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS44"
"signeR.1",0.170924722955724,0.110458383132796,0.760394461558949,0.349424126064332,0.969617663525071,0.377157624635323,0.146183042634048,0.241050735000422,0.22824406923665,0.315947662326177,0.437353098703472,0.562535158577621,0.718209007225514,0.147090769876904,0.713698114094217,0.191662802622772,0.0884172288782644,0.321865307402856,0.210029186090401,0.699590993183961,0.136662031102789,0.305265138092029,0.391509981775711,0.127925228369328,0.314635221788017,0.243925315915898,0.698643648268588,0.124042197291923,0.565227566606637,0.759114698330664,0.47289483156461,0.596185157810966
"signeR.2",0.0512209043010047,0.0744984786110746,0.993270114782163,0.634078633291824,0.785758706672256,0.206569020719069,0.153855357584866,0.287628359164028,0.322049818589598,0.261448975637616,0.699273792280009,0.507124362392445,0.468941212694164,0.29924192231876,0.418760097814549,0.233256530954094,0.107968724829275,0.439274984557111,0.288780948292857,0.430739766349955,0.137389879023606,0.468453947454708,0.348026939493277,0.133096686191393,0.596935574700701,0.339003016903086,0.523390126934193,0.318990191161113,0.803693530873035,0.881268206833684,0.468505864359027,0.464898866803607
"signeR.3",0.00709662936010236,0.463069942715938,0.165601832627509,0.0598032700210026,0.264627239501276,0.068557689596091,0.915910374187428,0.628291277337336,0.0755733993113074,0.0218251214706107,0.0317452383966127,0.0702403221294426,0.0290112374600124,0.0142300107898867,0.0339783835457677,0.00231748805347776,0.00171415909332784,0.0742980505200119,0.00972246566923485,0.0220551541373251,0.0129874943927675,0.0154504215694308,0.604023142075713,0.00466408170129684,0.103755982280926,0.0400647044262181,0.0331569016686545,0.0236505771842555,0.0589670655616797,0.303108245970526,0.0672332858061371,0.0306817042773988
"signeR.4",0.0758819812805559,0.226837475490502,0.147718341381804,0.0529840932951762,0.249830667815603,0.100433670191993,0.803382931933575,0.729220545336727,0.0487678715677117,0.0379534191565364,0.0150577911769225,0.0664020281505737,0.0182754172976952,0.0102289704224023,0.027788107234751,0.00281426435560217,0.00153255579951617,0.0733052577852504,0.00921952454514974,0.0198444340287648,0.00965309270091985,0.0269337802316416,0.526595742284095,0.0101770514798674,0.131304260140697,0.0352125671816745,0.0285086803752049,0.023365997744348,0.0563262937932136,0.228462604409158,0.0553288961191063,0.0196073862389607
"signeR.5",0.0166314699413134,0.0121972083092698,0.398866878896144,0.749722868734335,0.270630577935345,0.0506649513464609,0.0201505563812808,0.0471990404373185,0.0664604930787172,0.0532498168648597,0.634091443918596,0.225008737911698,0.0545333117853447,0.136609215343752,0.105151480173537,0.0150627783230598,0.00724638894928498,0.98213039613168,0.034770717920951,0.0345733088459628,0.0235703715346858,0.819924521475658,0.0586781262617797,0.0405840815420689,0.368213680674728,0.933841034544798,0.0596966106622417,0.468071712690915,0.216132125489446,0.5349169875754,0.0880900645152443,0.194778839300561
"signeR.6",0.999045201913772,0.0172853427989758,0.0575530669911939,0.0242628795646711,0.20391753221039,0.783448373529173,0.0440469472022084,0.0671913985760051,0.0194254450233021,0.0148357489866794,0.0402016801404159,0.0733898025416282,0.0184253717596171,0.0047862234561945,0.0306054149174039,0.00681604110663847,0.00193910699619537,0.125121689532768,0.011881788297621,0.0538970547200966,0.0147297840654262,0.160680497649018,0.118530706918492,0.0389184622414955,0.0218908022562152,0.0433871134008416,0.0689605607617575,0.022376361617686,0.0975616301056359,0.0442875256349645,0.0999953714667599,0.231525753944649
"signeR.7",0.0231843985460005,0.0147664202053032,0.613707822234518,0.920454819036586,0.323339133506595,0.0656917063922207,0.0308045439635974,0.0845763004822674,0.117996204134683,0.0660514876996952,0.751064351359372,0.169167527668372,0.122006473976179,0.0588034021405553,0.168386518875865,0.0594903057979618,0.0133328828308332,0.427992402491906,0.411349680651971,0.109910609365871,0.0141875840961624,0.593940663901258,0.0845914674288223,0.109896507265893,0.690148849873055,0.342242824450696,0.119849680758454,0.652977676787482,0.333336241888247,0.489378757813775,0.133772841901156,0.311114870673145
"signeR.8",0.0179685220690572,0.998434907047872,0.0946445079424001,0.0428394059149894,0.24495224424412,0.0619763941605483,0.705338829147646,0.24271498756955,0.0591210411238201,0.0666944430017735,0.0448976328040169,0.0489620955108683,0.0388372003774555,0.0165932335984088,0.0564755313894819,0.00205734737150376,0.00115902273257584,0.064497994648687,0.00681862889125884,0.0219658819843358,0.0118201712958049,0.0401929730494085,0.454144954081024,0.00565793700322226,0.0422401113738228,0.0504228907210524,0.0395242052079622,0.0236754966551088,0.0477133933449089,0.327295230809157,0.0883423872928796,0.0156683730746853
"signeR.9",0.036672956890772,0.127826286614697,0.62685365383245,0.293118200506273,0.680070966478467,0.159349986563063,0.149396638501714,0.193766429368083,0.39348393453065,0.23409984728634,0.418657297014079,0.854842091042673,0.378732241595924,0.147086239041587,0.439785555266489,0.166313022483299,0.345659572168336,0.32873416951073,0.179838357344188,0.36447834475274,0.641252157686861,0.24366955823538,0.294218501215905,0.272858333752992,0.258898537634598,0.291492191711432,0.606842270467616,0.0998152657316489,0.49455430620914,0.802435223387741,0.725579635499136,0.357704708183121
"signeR.10",0.283243637233006,0.00842770345650889,0.482387149098384,0.355912157111059,0.606024302200883,0.659872908675912,0.0359508546196152,0.0785586977387133,0.190013766881175,0.161165346050326,0.309153563533746,0.311330391371937,0.306661486248425,0.0472092449853985,0.211774339148268,0.0642724607983333,0.0289819815125433,0.276541632693935,0.0730222709661643,0.347179545769567,0.0726979569925448,0.295528989086324,0.393636952791872,0.156848067704887,0.324714829856222,0.231605386654262,0.287351254612939,0.234332829589912,0.280609404874729,0.471726526552624,0.332139656175054,0.988946802443563
