Approach,Noise_level,Run,CPU_time
mSigHdp,1k,seed.200437,2300224.641
mSigHdp,1k,seed.310111,2300023.205
mSigHdp,1k,seed.528401,2295492.415
mSigHdp,1k,seed.1076753,2336907.133
mSigHdp,1k,seed.145879,2329222.449
mSigHdp,3k,seed.200437,3007256.781
mSigHdp,3k,seed.310111,3015428.688
mSigHdp,3k,seed.528401,3015978.896
mSigHdp,3k,seed.1076753,2989747.226
mSigHdp,3k,seed.145879,3014169.645
mSigHdp,5k,seed.200437,4250514.221
mSigHdp,5k,seed.310111,4256412.337
mSigHdp,5k,seed.528401,4262815.372
mSigHdp,5k,seed.1076753,4248291.104
mSigHdp,5k,seed.145879,4281006.614
mSigHdp,no_down_samp,seed.200437,25439862.31
mSigHdp,no_down_samp,seed.310111,24911450.045
mSigHdp,no_down_samp,seed.528401,25037565.107
mSigHdp,no_down_samp,seed.1076753,24462112.846
mSigHdp,no_down_samp,seed.145879,23800788.824
mSigHdp,10k,seed.200437,7811830.414
mSigHdp,10k,seed.310111,7742424.276
mSigHdp,10k,seed.528401,7739043.66
mSigHdp,10k,seed.1076753,7766029.806
