"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.159701398458368,0.0408631014652493,0.589418640835668,0.222010252749525,0.891701144920825,0.0913733161518219,0.186735438025212,0.104166831333816,0.207058038048387,0.613940826477764,0.0462557492866643,0.777655156603879,0.124401829508354,0.0367994125475875,0.203569824594831,0.149725266178557,0.0369421322993742,0.209222288058173,0.198308227902033,0.0469611473293743,0.580360135272878,0.288454795888219,0.55499816841906
"SBS96B",0.0822823838628,0.012065563129896,0.922437451765553,0.529910591113598,0.642731642143971,0.0821864681499986,0.237571659034116,0.156148658001918,0.132507988460437,0.300460695686969,0.273102336924203,0.3038816183909,0.0871651863229417,0.0391698062411477,0.338510806876573,0.173721339217936,0.0929922898430349,0.402000964455317,0.517856405449851,0.27237086977292,0.731276957872258,0.334970517941845,0.35426348287938
"SBS96C",0.0757790009798114,0.345638443991507,0.728162750712019,0.518563623835993,0.777634826334213,0.351707311315852,0.337617534848153,0.27218937056682,0.202147171566781,0.360698366743742,0.168166815219035,0.473634075505373,0.0776484062464858,0.0675982292425443,0.55160740566837,0.163139136062554,0.187700210466661,0.47174268234995,0.384809236619075,0.195120401364429,0.917440606263676,0.382659932482514,0.377820717589281
"SBS96D",0.0216428903649672,0.0306060424711028,0.582207219343634,0.982779600673585,0.324248305178207,0.066605491180854,0.128459402795555,0.0881054131039392,0.0635654272885601,0.0875486141252652,0.0765546676130886,0.136799755235294,0.0250868118933886,0.00715707768967766,0.691840416783659,0.125239935828608,0.0158863055370565,0.781627779214709,0.622965721674804,0.715127507667439,0.565753096914845,0.088177408230131,0.320946588539547
"SBS96E",0.0509172116047624,0.396426725586901,0.204260017581473,0.0749207646192632,0.316815276412473,0.924113303473512,0.763508659426966,0.0722572295692182,0.04697454826658,0.030760436951105,0.0140519985214049,0.0408532553821842,0.00528221615897717,0.00194341961989497,0.0901035246994983,0.0116913256728096,0.0127326009510963,0.031497618220429,0.15890189113891,0.0273116835506481,0.324213556139324,0.0762713464415581,0.0518454422809275
"SBS96F",0.999391110314629,0.0195367442765818,0.0560862237866862,0.0245131323618517,0.191890938501118,0.0450449465700546,0.0659688498775354,0.0241406060599229,0.0154492853140726,0.0186317095486745,0.00798661608967743,0.0270940161678017,0.00760000091049817,0.00340632801375795,0.12202519651905,0.012422118669671,0.0163427085714781,0.158062748062483,0.0219806879432277,0.0215236716043798,0.0424557240907597,0.100183252597999,0.211918580778889
"SBS96G",0.0388022931991128,0.178103686865768,0.538917781481634,0.144342239447895,0.760737630848326,0.159241094698998,0.19762340770599,0.230924235858578,0.385727916317754,0.938583942998441,0.125746037352407,0.586561604164643,0.203072365087553,0.0265516102777654,0.115618339462249,0.119059648467101,0.0558303301332458,0.108560816923494,0.128949158759759,0.0414869131780626,0.529130035578679,0.505101628125905,0.38253194015515
"SBS96H",0.0200783976390955,0.997523280145185,0.0912416050028181,0.0417095191165617,0.241152612030526,0.683844366191601,0.223983523677062,0.0594724787047016,0.0664950741681074,0.0378269727860129,0.0152508954449799,0.0562034821893893,0.00195250809504421,0.00110961668294784,0.0638330028492808,0.00685031503354538,0.0117909507582642,0.0410346623212621,0.040506984359814,0.0230661714489835,0.322385473488216,0.0878550008092704,0.0164315557385163
"SBS96I",0.0204540884450278,0.00113180125815981,0.106348620804403,0.0128326826072727,0.098073715678387,0.00234818878748488,0.0057330325958147,0.0387578220037968,0.0133971732365359,0.0125182484078793,0.00258497292346116,0.0281392845646906,0.0368889385470295,0.999558264363535,0.0338032733310158,0.0106653101355838,0.420296506112908,0.012383217901075,0.030841666522853,0.0220658201004064,0.183208476008812,0.163310052433493,0.0229860082193938
"SBS96J",0.0688960191650866,0.24078134048098,0.353959912834032,0.145555624482725,0.424137331787042,0.613174642828428,0.979899090367499,0.083407876881712,0.131788076220796,0.0593794553480406,0.0112649268766238,0.0860635075397935,0.0258545953435745,0.00410055773838514,0.106736991428707,0.022456080644276,0.0125004730259605,0.0537821317070742,0.42314082813074,0.0362919893588712,0.401977365974182,0.109512350907578,0.096588279729341
