"ex.sig","gt.sig","sim"
"SBS96B","SBS3",0.924738157995848
"SBS96C","SBS40",0.920213991212558
"SBS96D","SBS4",0.983734473662194
"SBS96E","SBS7a",0.935695609287302
"SBS96F","SBS1",0.999322264964786
"SBS96G","SBS12",0.929897092236135
"SBS96H","SBS17b",0.999598156831011
"SBS96I","SBS2",0.997198736684219
"SBS96J","SBS18",0.987991579819817
"SBS96K","SBS7b",0.982786455872791
"SBS96L","SBS44",0.99440441100864
"SBS96M","SBS17a",0.999671564422766
"SBS96N","SBS13",0.998509390915362
"SBS96O","SBS7c",0.996253886071974
"SBS96P","SBS7d",0.963541831049818
"SBS96Q","SBS22",0.983672828531749
"SBS96R","SBS28",0.943299821309007
