Signature,NumberOfPostSamples
low confidence hdp.1,2800
low confidence hdp.2,2600
low confidence hdp.3,2384
low confidence hdp.4,2176
low confidence hdp.5,1997
low confidence hdp.6,1989
low confidence hdp.7,1881
low confidence hdp.8,1528
low confidence hdp.9,1400
low confidence hdp.10,1019
low confidence hdp.11,985
low confidence hdp.12,802
low confidence hdp.13,800
low confidence hdp.14,407
low confidence hdp.15,321
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,73
low confidence hdp.19,14
low confidence hdp.20,14
low confidence hdp.21,10
low confidence hdp.22,8
low confidence hdp.23,4
low confidence hdp.24,3
low confidence hdp.25,2
low confidence hdp.26,2
low confidence hdp.27,2
low confidence hdp.28,2
low confidence hdp.29,2
low confidence hdp.30,2
low confidence hdp.31,2
low confidence hdp.32,2
low confidence hdp.33,2
