Signature,NumberOfPostSamples
low confidence hdp.1,3239
low confidence hdp.2,2597
low confidence hdp.3,2516
low confidence hdp.4,2481
low confidence hdp.5,2399
low confidence hdp.6,2345
low confidence hdp.7,2212
low confidence hdp.8,2196
low confidence hdp.9,1800
low confidence hdp.10,1784
low confidence hdp.11,1400
low confidence hdp.12,1201
low confidence hdp.13,800
low confidence hdp.14,688
low confidence hdp.15,421
low confidence hdp.16,400
low confidence hdp.17,400
low confidence hdp.18,382
low confidence hdp.19,372
low confidence hdp.20,314
low confidence hdp.21,302
low confidence hdp.22,279
low confidence hdp.23,255
low confidence hdp.24,245
low confidence hdp.25,202
low confidence hdp.26,200
low confidence hdp.27,200
low confidence hdp.28,200
low confidence hdp.29,200
low confidence hdp.30,200
low confidence hdp.31,200
low confidence hdp.32,114
low confidence hdp.33,85
low confidence hdp.34,42
low confidence hdp.35,31
low confidence hdp.36,17
low confidence hdp.37,17
low confidence hdp.38,15
low confidence hdp.39,12
low confidence hdp.40,8
low confidence hdp.41,8
low confidence hdp.42,6
low confidence hdp.43,6
low confidence hdp.44,6
low confidence hdp.45,6
low confidence hdp.46,6
low confidence hdp.47,4
low confidence hdp.48,4
low confidence hdp.49,4
low confidence hdp.50,4
low confidence hdp.51,4
low confidence hdp.52,4
low confidence hdp.53,4
low confidence hdp.54,4
low confidence hdp.55,2
low confidence hdp.56,2
low confidence hdp.57,2
low confidence hdp.58,2
low confidence hdp.59,2
low confidence hdp.60,2
low confidence hdp.61,2
low confidence hdp.62,2
low confidence hdp.63,2
low confidence hdp.64,2
low confidence hdp.65,2
low confidence hdp.66,2
low confidence hdp.67,2
low confidence hdp.68,2
low confidence hdp.69,2
low confidence hdp.70,2
low confidence hdp.71,2
low confidence hdp.72,2
low confidence hdp.73,2
low confidence hdp.74,2
low confidence hdp.75,2
low confidence hdp.76,2
low confidence hdp.77,2
low confidence hdp.78,2
low confidence hdp.79,2
low confidence hdp.80,2
