prog,noise,seed,ex.sig,gt.sig,sim
mSigHdp,1k,145879,hdp.1,SBS1,0.999
mSigHdp,1k,145879,hdp.2,SBS7a,0.957
mSigHdp,1k,145879,hdp.3,SBS17b,0.999
mSigHdp,1k,145879,hdp.4,SBS17a,0.998
mSigHdp,1k,145879,hdp.5,SBS4,0.999
mSigHdp,1k,145879,hdp.6,SBS12,0.993
mSigHdp,1k,145879,hdp.7,SBS18,0.998
mSigHdp,1k,145879,hdp.8,SBS3,0.998
mSigHdp,1k,145879,hdp.9,SBS41,0.994
mSigHdp,1k,145879,hdp.10,SBS40,0.999
mSigHdp,1k,145879,hdp.11,SBS13,0.998
mSigHdp,1k,145879,hdp.12,SBS5,0.999
mSigHdp,1k,145879,hdp.13,SBS28,0.984
mSigHdp,1k,145879,hdp.14,SBS22,0.989
mSigHdp,1k,145879,hdp.15,SBS2,1
mSigHdp,1k,145879,hdp.16,SBS44,0.994
mSigHdp,1k,145879,hdp.17,SBS7c,0.999
mSigHdp,1k,145879,hdp.18,SBS7d,0.979
mSigHdp,1k,145879,hdp.19,SBS16,0.99
mSigHdp,1k,200437,hdp.1,SBS1,0.999
mSigHdp,1k,200437,hdp.2,SBS2,1
mSigHdp,1k,200437,hdp.3,SBS17b,0.999
mSigHdp,1k,200437,hdp.4,SBS18,0.998
mSigHdp,1k,200437,hdp.5,SBS22,0.989
mSigHdp,1k,200437,hdp.6,SBS44,0.994
mSigHdp,1k,200437,hdp.7,SBS28,0.984
mSigHdp,1k,200437,hdp.8,SBS40,0.999
mSigHdp,1k,200437,hdp.9,SBS5,0.999
mSigHdp,1k,200437,hdp.10,SBS3,0.998
mSigHdp,1k,200437,hdp.11,SBS4,0.999
mSigHdp,1k,200437,hdp.12,SBS13,0.997
mSigHdp,1k,200437,hdp.13,SBS12,0.993
mSigHdp,1k,200437,hdp.14,SBS41,0.994
mSigHdp,1k,200437,hdp.15,SBS17a,0.998
mSigHdp,1k,200437,hdp.16,SBS7d,0.978
mSigHdp,1k,200437,hdp.17,SBS7c,0.999
mSigHdp,1k,200437,hdp.18,SBS16,0.99
mSigHdp,1k,310111,hdp.1,SBS1,0.999
mSigHdp,1k,310111,hdp.2,SBS7a,0.958
mSigHdp,1k,310111,hdp.3,SBS17b,0.999
mSigHdp,1k,310111,hdp.4,SBS44,0.994
mSigHdp,1k,310111,hdp.5,SBS22,0.989
mSigHdp,1k,310111,hdp.6,SBS4,0.999
mSigHdp,1k,310111,hdp.7,SBS28,0.984
mSigHdp,1k,310111,hdp.8,SBS2,1
mSigHdp,1k,310111,hdp.9,SBS41,0.994
mSigHdp,1k,310111,hdp.10,SBS5,0.999
mSigHdp,1k,310111,hdp.11,SBS12,0.993
mSigHdp,1k,310111,hdp.12,SBS3,0.998
mSigHdp,1k,310111,hdp.13,SBS40,0.999
mSigHdp,1k,310111,hdp.14,SBS7c,0.999
mSigHdp,1k,310111,hdp.15,SBS13,0.998
mSigHdp,1k,310111,hdp.16,SBS17a,0.998
mSigHdp,1k,310111,hdp.17,SBS18,0.997
mSigHdp,1k,310111,hdp.18,SBS7d,0.98
mSigHdp,1k,310111,hdp.19,SBS7b,0.986
mSigHdp,1k,310111,hdp.20,SBS16,0.99
mSigHdp,1k,310111,hdp.21,SBS29,0.953
mSigHdp,1k,528401,hdp.1,SBS1,0.999
mSigHdp,1k,528401,hdp.2,SBS17b,0.999
mSigHdp,1k,528401,hdp.3,SBS5,0.999
mSigHdp,1k,528401,hdp.4,SBS7c,0.999
mSigHdp,1k,528401,hdp.5,SBS13,0.998
mSigHdp,1k,528401,hdp.6,SBS18,0.998
mSigHdp,1k,528401,hdp.7,SBS3,0.998
mSigHdp,1k,528401,hdp.8,SBS41,0.994
mSigHdp,1k,528401,hdp.9,SBS17a,0.998
mSigHdp,1k,528401,hdp.10,SBS40,0.999
mSigHdp,1k,528401,hdp.11,SBS28,0.984
mSigHdp,1k,528401,hdp.12,SBS22,0.989
mSigHdp,1k,528401,hdp.13,SBS44,0.994
mSigHdp,1k,528401,hdp.14,SBS4,0.999
mSigHdp,1k,528401,hdp.15,SBS2,1
mSigHdp,1k,528401,hdp.16,SBS12,0.993
mSigHdp,1k,528401,hdp.17,SBS7d,0.979
mSigHdp,1k,528401,hdp.18,SBS16,0.99
mSigHdp,1k,528401,hdp.19,SBS29,0.954
mSigHdp,1k,1076753,hdp.1,SBS1,0.999
mSigHdp,1k,1076753,hdp.2,SBS17b,0.999
mSigHdp,1k,1076753,hdp.3,SBS5,0.999
mSigHdp,1k,1076753,hdp.4,SBS13,0.998
mSigHdp,1k,1076753,hdp.5,SBS28,0.984
mSigHdp,1k,1076753,hdp.6,SBS4,0.999
mSigHdp,1k,1076753,hdp.7,SBS7c,0.999
mSigHdp,1k,1076753,hdp.8,SBS17a,0.998
mSigHdp,1k,1076753,hdp.9,SBS7d,0.976
mSigHdp,1k,1076753,hdp.10,SBS41,0.994
mSigHdp,1k,1076753,hdp.11,SBS12,0.993
mSigHdp,1k,1076753,hdp.12,SBS40,0.999
mSigHdp,1k,1076753,hdp.13,SBS3,0.998
mSigHdp,1k,1076753,hdp.14,SBS22,0.989
mSigHdp,1k,1076753,hdp.15,SBS18,0.998
mSigHdp,1k,1076753,hdp.16,SBS2,1
mSigHdp,1k,1076753,hdp.17,SBS44,0.994
mSigHdp,1k,1076753,hdp.18,SBS16,0.99
mSigHdp,1k,1076753,hdp.19,SBS29,0.954
mSigHdp,1k,1076753,hdp.20,SBS7b,0.996
mSigHdp,1k,1076753,hdp.21,SBS7a,0.978
mSigHdp,3k,145879,hdp.1,SBS1,0.999
mSigHdp,3k,145879,hdp.2,SBS7a,0.968
