Approach,Noise_level,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_sigs,FN,FP
mSigHdp,1k,seed.145879,1.00,0.83,0.99,2.82,19,4,0
mSigHdp,1k,seed.200437,1.00,0.78,0.99,2.78,18,5,0
mSigHdp,1k,seed.310111,1.00,0.91,0.99,2.90,21,2,0
mSigHdp,1k,seed.528401,1.00,0.83,0.99,2.82,19,4,0
mSigHdp,1k,seed.1076753,1.00,0.91,0.99,2.91,21,2,0
,,,,,,,,,
,,,,,,,,,
mSigHdp,3k,seed.145879,1.00,0.91,0.99,2.90,21,2,0
mSigHdp,3k,seed.200437,0.95,0.91,0.99,2.86,22,2,1
mSigHdp,3k,seed.310111,1.00,0.91,0.99,2.90,21,2,0
mSigHdp,3k,seed.528401,1.00,0.87,0.99,2.86,20,3,0
mSigHdp,3k,seed.1076753,1.00,0.83,0.99,2.82,19,4,0
,,,,,,,,,
,,,,,,,,,
mSigHdp,5k,seed.145879,1.00,0.87,0.99,2.86,20,3,0
mSigHdp,5k,seed.200437,1.00,0.91,0.99,2.90,21,2,0
mSigHdp,5k,seed.310111,1.00,0.83,0.99,2.82,19,4,0
,,,,,,,,,
,,,,,,,,,
mSigHdp,10k,seed.145879,0.95,0.91,0.99,2.85,22,2,1
mSigHdp,10k,seed.200437,0.96,0.96,0.99,2.90,23,1,1
mSigHdp,10k,seed.310111,0.96,0.96,0.99,2.90,23,1,1
