Approach,Down_samp_level,Run,CPU_time
mSigHdp,1k,seed.145879,1040638.122
mSigHdp,1k,seed.200437,1099475.886
mSigHdp,1k,seed.310111,1114226.387
mSigHdp,1k,seed.528401,1144956.794
mSigHdp,1k,seed.1076753,1295039.572
mSigHdp,3k,seed.145879,1378118.505
mSigHdp,3k,seed.200437,1459552.914
mSigHdp,3k,seed.310111,1414006.838
mSigHdp,3k,seed.528401,1616929.555
mSigHdp,3k,seed.1076753,1694469.415
mSigHdp,5k,seed.145879,1982553.849
mSigHdp,5k,seed.200437,2099864.753
mSigHdp,5k,seed.310111,2414064.866
mSigHdp,5k,seed.528401,2132705.959
mSigHdp,5k,seed.1076753,1855850.949
mSigHdp,10k,seed.145879,3737989.369
mSigHdp,10k,seed.200437,3985939.807
mSigHdp,10k,seed.310111,4548819.569
mSigHdp,10k,seed.528401,4112199.206
mSigHdp,10k,seed.1076753,3503522.863
mSigHdp,no_down_samp,seed.145879,17777271.397
mSigHdp,no_down_samp,seed.200437,17756133.684
mSigHdp,no_down_samp,seed.310111,17459401.501
mSigHdp,no_down_samp,seed.528401,18103805.217
mSigHdp,no_down_samp,seed.1076753,17875397.175
