"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.928980819346825
"SBS96B","SBS7b",0.977797157243882
"SBS96C","SBS2",0.990492268077866
"SBS96D","SBS4",0.975002773328865
"SBS96F","SBS3",0.916685871820851
"SBS96G","SBS40",0.909021388015119
"SBS96H","SBS44",0.992810446872052
"SBS96I","SBS17b",0.999343907388328
"SBS96J","SBS1",0.986601507094673
"SBS96K","SBS18",0.989067266854061
"SBS96M","SBS12",0.970460071093456
"SBS96N","SBS16",0.947085758345213
"SBS96O","SBS7c",0.998294638254915
"SBS96P","SBS17a",0.999674212998537
"SBS96Q","SBS7d",0.964501739605396
"SBS96S","SBS13",0.999198098689527
"SBS96T","SBS22",0.98191342753355
"SBS96U","SBS28",0.979331061131381
