"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.930769484512379
"SBS96B","SBS7b",0.984301922122628
"SBS96C","SBS2",0.998874253989901
"SBS96D","SBS4",0.982382604890019
"SBS96E","SBS5",0.900722599977723
"SBS96F","SBS3",0.931911777701137
"SBS96G","SBS40",0.930926717965958
"SBS96H","SBS44",0.994000687952897
"SBS96I","SBS1",0.999656233753575
"SBS96J","SBS17b",0.999463394364765
"SBS96K","SBS12",0.936477703937453
"SBS96L","SBS18",0.988748438325987
"SBS96M","SBS7c",0.994778484925067
"SBS96N","SBS17a",0.999691624517938
"SBS96O","SBS7d",0.95867012500455
"SBS96P","SBS13",0.998239399293794
"SBS96Q","SBS22",0.980448199385259
"SBS96R","SBS28",0.968216378698578
