"ex.sig","ref.sig","sim"
"W.20","SBS1",0.993212161693925
"W.33","SBS2",0.961494384666953
"W.13","SBS4",0.997179595747805
"W.30","SBS5",0.900555661359986
"W.15","SBS7a",0.995580208450917
"W.23","SBS7b",0.997524837937049
"W.11","SBS7c",0.998745896498082
"W.36","SBS7d",0.987731053919624
"W.31","SBS12",0.98101457142129
"W.7","SBS13",0.999787965741783
"W.14","SBS17a",0.999596469279552
"W.10","SBS17b",0.999867276339848
"W.9","SBS18",0.979044163596836
"W.37","SBS22",0.985755387038707
"W.17","SBS28",0.978502359247067
"W.35","SBS41",0.902654198268447
"W.27","SBS44",0.960787142647187
