"ex.sig","ref.sig","sim"
"W.1","SBS40",0.925745011264334
"W.2","SBS7a",0.999997780618753
"W.3","SBS2",0.999508000233343
"W.4","SBS1",0.999993584830376
"W.5","SBS35",0.930329310085773
"W.6","SBS7d",0.999673143474827
"W.7","SBS12",0.992111911499324
"W.8","SBS17b",0.999898381939511
"W.9","SBS7b",0.999618375869627
"W.10","SBS4",0.999661847215206
"W.11","SBS16",0.975326316375709
"W.12","SBS13",0.999969882800243
"W.13","SBS17a",0.999881005145446
"W.14","SBS44",0.95619226859341
"W.16","SBS18",0.990137241620759
"W.17","SBS28",0.978669850085659
"W.18","SBS5",0.939323133962157
"W.19","SBS7c",0.999330751586802
"W.20","SBS3",0.913334991009818
"W.21","SBS41",0.921192301919934
"W.22","SBS22",0.998084536772484
