"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"W.1",0.00899660639064814,0.016857150504776,0.23713031001175,0.0602735455844239,0.510807131917,0.012818503535979,0.0234937430810389,0.0134406467416408,0.0854693045319735,0.476549911417878,0.0520376880018742,0.97533751087899,0.00859316353977069,0.00146808582511393,0.0238557745504433,0.103277130329715,0.00307501855095738,0.0172721534614201,0.0337210309439927,0.0175232628638861,0.256276267607664,0.136172161054854,0.101389293228025
"W.2",0.0741446492110754,0.0227039272949358,0.352992256215826,0.0943195624357109,0.332050764608154,0.0280967277144938,0.0662306587250009,0.266442364984218,0.226307728241336,0.305863754991104,0.241669112828647,0.164830329993071,0.0311948015572391,0.0771582880767065,0.118108789621283,0.192432742631835,0.3509251142273,0.0578703836677354,0.110482969415146,0.0411023482663223,0.375931219162929,0.921212169692925,0.258145818180167
"W.3",0.00143416773302663,0.00115710675668368,0.106766388678667,0.0123173685675236,0.0956043007986288,0.00193460371713028,0.00464370631436384,0.0395236681325233,0.0154942267337773,0.0148691681378931,0.00259869717472616,0.0287389819560506,0.0412702163647584,0.999904544010182,0.0312048005544127,0.0105069525274161,0.426272126821748,0.00918696683385989,0.0301444973093703,0.021675168818087,0.18501865553834,0.165148642026438,0.018742485599579
"W.4",0.999993586555568,0.0202652749347019,0.0519579862441266,0.0231274090502938,0.191809704386012,0.0474774748380768,0.0687480544871268,0.0226367553260924,0.0141258112885163,0.0140171087181679,0.00632460710741822,0.0226282436418619,0.00670865684741018,0.00176335358554291,0.121887272979875,0.0110921022153571,0.0143370090578825,0.158362556954448,0.0209076591313024,0.021406534400944,0.0387106273809622,0.0976801651785658,0.212488698077565
"W.5",0.0129799442788302,0.0661713228835644,0.266643961073744,0.0797226135864177,0.321846092142866,0.055066294239992,0.104979386178088,0.187065862928146,0.99967301072585,0.4283152251345,0.0155203987851652,0.141033853073344,0.124899140242888,0.016419250264555,0.0804096769124003,0.0430361041138916,0.0183860348607177,0.0519820629930741,0.0459365753310809,0.0630125225683071,0.258731854079596,0.26136821454172,0.184167267844549
"W.6",0.0477362162310864,0.713143340380986,0.211420253976679,0.0821480818696732,0.359429258207018,0.999997778316866,0.722185427531936,0.0835997527194521,0.0718305970043271,0.0417762950908579,0.0171690939856499,0.0591154385137488,0.00577001560709622,0.00216174497828026,0.0988028710652689,0.0130295134990448,0.0149107505326863,0.0427309252195505,0.161287908771914,0.0319678174212914,0.397331810156176,0.0998997579807793,0.0519542336420747
"W.7",0.00298333402185214,0.00134681292267969,0.403876379058375,0.444001967109814,0.219577592275127,0.0795823324968772,0.296923253834314,0.122114255810544,0.0108157612866616,0.0205953638351425,0.0304148772812222,0.0564282908472786,0.0936084187879751,0.00844961573583902,0.167498880797707,0.523515601184827,0.00775157637896506,0.325957339511023,0.930269328417352,0.189693519829393,0.28624597614186,0.0701077600588602,0.182816883920526
"W.8",0.0425709423213881,0.0408506948754301,0.365966947130281,0.685774112623314,0.276708174647599,0.0371135839438821,0.0367048599731575,0.0495881787736004,0.0571240368662289,0.0641586618340114,0.111706935094728,0.108029086396254,0.0115545363872451,0.00937596016852327,0.990093079044517,0.0424149548868274,0.0285454460394061,0.805336524092007,0.31079616562063,0.434465816856558,0.508181271708849,0.102450794594673,0.16987123912603
"W.9",0.00625170717125045,0.00235269863202736,0.241618854594172,0.0498336504954401,0.200297555687963,0.00665253657582809,0.0207976857624196,0.173256878473988,0.117580180065572,0.341166243743352,0.00582552684319637,0.0757586122694127,0.999881322112177,0.0431953172838488,0.0271220550211173,0.0744552033136866,0.0176136803392872,0.0236072046265002,0.0993797076093141,0.0160251389246048,0.189236930144616,0.0889769563505788,0.083907415377823
"W.10",0.01879714172237,0.999511113694382,0.0939325157174008,0.0427492244559747,0.245497722139292,0.692788250924761,0.248231203869727,0.056866150429594,0.0732180696483349,0.0371663146547678,0.0161450713218699,0.0580003129817698,0.00151466585261451,0.0013892553284609,0.0626769228208557,0.00636463992365721,0.0115735562580046,0.0400012278644872,0.0426748368210327,0.0235500308288952,0.32621555380197,0.0887150316580978,0.0160846789060386
