"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"hdp.1",0.0370033953404229,0.2683670476158,0.22340474576151,0.0868313257869809,0.317679564559738,0.839159962291695,0.83543552479115,0.0657040487729719,0.085114159485429,0.0387426395808228,0.0123278151929638,0.0535373092104674,0.00674405410063394,0.00303499780550776,0.084760960528804,0.0131604145264932,0.0129247725992692,0.0282703531593526,0.172794824187703,0.0275006652908766,0.316134831091249,0.0778026572457877,0.048417078836822
"hdp.2",0.0211703461471527,0.51023903280536,0.157304010541523,0.0808012157176967,0.265547889182271,0.390456296024158,0.443442396204955,0.0441147882829468,0.175677258879626,0.0723502308064242,0.0196816087803139,0.110536920380803,0.0107010240359235,0.00721897051252729,0.0617341177569601,0.0145483377081235,0.0148301236796504,0.0492123765461391,0.0994139703279023,0.0291392596207696,0.278984872256242,0.107310817495854,0.056330770306565
"hdp.3",0.196910746155792,0.244791824225622,0.781062900080062,0.362905512835771,0.999507507365956,0.353281369041357,0.424427329392053,0.250350827490037,0.338324048692831,0.678907948153794,0.148975203854285,0.656183617742209,0.202823076449859,0.0939484637191811,0.341352779635769,0.193992872166415,0.146340794696571,0.308742783867932,0.366263900185061,0.136942785334933,0.817448966612117,0.481447667942768,0.596153263287338
"hdp.4",0.0544614865525109,0.328939918865704,0.881115532760427,0.618567358738896,0.828306265604834,0.395142338320714,0.410023892099357,0.369934347514154,0.263886794000957,0.411138991302289,0.303599130135543,0.433982468889014,0.191758976389055,0.190690152985419,0.579965844563562,0.192055936677449,0.294188897081653,0.51916142510327,0.521362423436572,0.307514293671722,0.999661058600845,0.545052588905944,0.452938732119304
"hdp.5",0.0221682993502811,0.999927508140303,0.1025317965734,0.0465966587728014,0.256763179749065,0.716375701961709,0.267245227028266,0.0605569519522158,0.0743883281904157,0.0426712661487364,0.0171251692342494,0.0622422138373434,0.0041935256224287,0.00179792558792535,0.0669975811086213,0.00800094980303456,0.013100679897331,0.0425583035827998,0.047143412425168,0.0252303034422539,0.33566718291239,0.0932850048751818,0.0196877600737649
"hdp.6",0.038682770526922,0.685493546062397,0.204453144180746,0.0784084666527987,0.345447214889459,0.998019436619446,0.720078903325576,0.0805916069366909,0.0645912085748985,0.0379517479381211,0.0164926145218459,0.0541979584166882,0.00549952320658209,0.00195810667874652,0.0944621957848508,0.011936005209834,0.0144038827180142,0.0373995255460915,0.15789835624464,0.0305163934252745,0.385635329317601,0.09325933349614,0.0467624908277187
"hdp.7",0.0288477792582965,0.0299757717465386,0.270372097755381,0.121959136786416,0.266778686384387,0.188904708146648,0.446659121571929,0.0951833365793386,0.0556983320516146,0.0628663980118291,0.0123102288870598,0.0945532315285224,0.0279514149167195,0.00531124304231445,0.0641334587947666,0.020782993631147,0.0160114394096622,0.0300543890133994,0.287033696477783,0.0276079870605213,0.254811424230586,0.0928988723722448,0.0711330613014403
"hdp.8",0.999435999510389,0.0230675106349393,0.0622870775886673,0.0276556479314364,0.200236983142058,0.0510491159444607,0.0726549052107076,0.0290666214716255,0.0185058859324848,0.0225105257401083,0.00849727047649484,0.0305964462867641,0.00896206068077554,0.00482747462293953,0.124361312938953,0.0145498972270346,0.0163122587262818,0.160578797131469,0.0251030208642872,0.0228922940672825,0.0493939236287393,0.102628872696218,0.213979183998088
"hdp.9",0.0958332326912835,0.0760100096052568,0.459600438542774,0.12892020561103,0.456767974090794,0.08102979234551,0.0961680938709603,0.543499411946264,0.272520779378412,0.406974315774406,0.221446680978688,0.257813461829835,0.0972464592161885,0.154713326899172,0.140724457016007,0.244143858670626,0.468804932116047,0.0773255616367006,0.162113713392808,0.0492970409959337,0.514240185272872,0.996551949350608,0.317368785860287
"hdp.10",0.0250712086246596,0.0841231994241285,0.290106637946314,0.0881023069580915,0.3557478982803,0.120201628384424,0.171733044084485,0.196742217152945,0.997982776119105,0.438604383143207,0.0177112458408404,0.150733250279556,0.127037688953024,0.0175826393012344,0.0897643890863615,0.0497924451807619,0.0207069430257005,0.0573918671113722,0.0650214757662915,0.0621607119318844,0.288435393094185,0.276662662205604,0.194924620201393
"hdp.11",0.0357941089924917,0.00171428460192014,0.108900557912187,0.013186673331699,0.103166186395632,0.00346356240186751,0.00682081433993464,0.0406353182114539,0.0158642742902664,0.0177631910418502,0.0026767981679523,0.029692596935445,0.0486699945328584,0.999274161159067,0.034906752525897,0.0110475572015545,0.425851022509524,0.0143145195825253,0.0307169889681479,0.0222885040778324,0.186138921821348,0.168137045549355,0.0264858467008527
"hdp.12",0.0588363388557593,0.0238315268080425,0.374377284353348,0.312994157301037,0.261365247357109,0.0380498330616542,0.056132788978919,0.21346222112911,0.0690623914902688,0.127278330927876,0.0244874088321498,0.193145345700624,0.089574253661767,0.0179765728778244,0.100237746549749,0.995412147977864,0.034612587176273,0.0882014173842314,0.480960043026866,0.0440209306467612,0.253356086079085,0.275069935172216,0.0997471757536836
