"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"signeR.1",0.140833577615719,0.0663692761334228,0.656067902721592,0.232515074683816,0.929625770230577,0.0989743617233408,0.19637017979328,0.186667662040814,0.327605114033267,0.812871343357363,0.0953400860364977,0.756193197075279,0.194166384704668,0.0647337690095653,0.221192611224743,0.174790448657175,0.105757069350717,0.211388025699137,0.222334947016204,0.0554703080033021,0.643181463116181,0.442022141112769,0.544055570765707
"signeR.2",0.104735694489846,0.0415454650292553,0.99235068137715,0.628983130718149,0.796582823601479,0.119686418570036,0.282958190975611,0.316879065678272,0.2711567335558,0.471644072446345,0.303027898577737,0.420697273536829,0.240930169583764,0.108712686945449,0.439732468798711,0.316835844641934,0.135579932954593,0.464331121933834,0.615148968235504,0.316524005229509,0.864289753664821,0.479163660657191,0.494478426753326
"signeR.3",0.0247449004384334,0.0242118208961439,0.63549038218908,0.979662774541379,0.356294088013384,0.0512561924606209,0.124136633593253,0.116096907647522,0.0724512121657258,0.122331992611497,0.0876726210336279,0.171076046548366,0.0541799823364182,0.00840895455786572,0.585831563741251,0.323661693748418,0.0176718589090248,0.697840079819228,0.697460302389747,0.682979821590569,0.565635061145817,0.132258193182156,0.332644648096605
"signeR.4",0.0375324819370668,0.281988472293477,0.798552416055197,0.536719331364805,0.801996562453607,0.299166340828369,0.318459816772776,0.372325365607625,0.251225077300453,0.407843355151311,0.265637904591792,0.466506336897474,0.16441146691132,0.246393857294102,0.529580674329349,0.157521124577794,0.44998099837565,0.459220703408618,0.430227947740733,0.257364354794147,0.970257696001065,0.603886662875659,0.441394408406111
"signeR.5",0.0690950473095765,0.241858643169124,0.354287519495537,0.148446743381455,0.424821438878647,0.638096558240811,0.987280566850382,0.082483514477847,0.119684573452763,0.0562227511763841,0.0137588373745179,0.0860627177039525,0.0235351927208489,0.00532788640643622,0.111469756688596,0.0263725580268672,0.0180606869960929,0.0569903006072717,0.426760664805385,0.0382911555294118,0.404830119660202,0.109347475563529,0.097624060051823
"signeR.6",0.0858824200049231,0.782403660079605,0.263670982632726,0.103847789172418,0.432092688281108,0.941448563360451,0.756017616046618,0.0990417518923489,0.105947305879727,0.0512933191315766,0.0176093185300149,0.0778220094677409,0.016044777038962,0.00242780583554925,0.117351676935961,0.0188761374410948,0.0154946942558591,0.0657474746710773,0.232260481636124,0.0359241014220885,0.453440132845629,0.125649046755141,0.107943779410261
"signeR.7",0.0433895238276732,0.0266107842901309,0.412209889968956,0.727921535399765,0.309318363241174,0.0447499044472384,0.0700221311183895,0.0874357366295868,0.068649806097005,0.0692781977278072,0.122347872809002,0.112263551810438,0.0254023735478448,0.0279205321834861,0.994625443611133,0.0490258790242006,0.0324929583147426,0.825867931154531,0.360818111110191,0.462017238223355,0.547402777509902,0.121767633461243,0.229231414691078
"signeR.8",0.00409555997765987,0.233489196735813,0.191648748252737,0.0702957705432345,0.260716486901864,0.825300371989279,0.774539900188247,0.0610273713642601,0.0372835463863508,0.0232149142089599,0.0109149016588747,0.0336052352773257,0.00315274705479907,0.00182804986855456,0.0682675400735427,0.00974326509185053,0.0104410557349983,0.00971897019817136,0.180246861846475,0.0230857390463116,0.274526692419161,0.0541833228243727,0.0288272891048803
"signeR.9",0.0224037926153777,0.810510390857836,0.138494806321935,0.0521468778970894,0.281640519056608,0.955191423551434,0.505361439748026,0.074486385341989,0.0422568363953025,0.0361074317129961,0.0177731858407489,0.0402165776341536,0.00224793154114444,0.0017790453023534,0.0815108596528242,0.00956866962039737,0.0141277631865845,0.0324124951391201,0.0790826976633576,0.0263813334579082,0.347023363894194,0.0863090972572195,0.0218435594171954
"signeR.10",0.0416728529938443,0.00147345492455686,0.111096704957679,0.0132570673723317,0.106006141635964,0.00309580771202422,0.00684068792018344,0.0417914117931907,0.015422283452998,0.0150965861805853,0.00248787583112753,0.0311024811959479,0.040415865974454,0.998533169292099,0.0367676719536398,0.0110610961126987,0.455315658498811,0.0156262518326225,0.0314275683266039,0.022767405143387,0.192309125477968,0.182464902911997,0.0285691491473337
"signeR.11",0.454381953160718,0.0195819673235013,0.448669504113053,0.314222464396014,0.596799457987624,0.0549341214327159,0.107341875392831,0.184152988464348,0.171377239610197,0.288951017273276,0.0395357776081721,0.174069062889661,0.082548070617705,0.0216984049486467,0.269789850135385,0.0614137776680044,0.0515584221675873,0.288691273904152,0.297252509357267,0.21081540310794,0.434450445573065,0.317931831491206,0.966128513141718
"signeR.12",0.999750602007931,0.018411198709719,0.0585309648576561,0.0246697832273925,0.198214433317133,0.0459039367551936,0.0687276283520165,0.0253171744122878,0.0158035837691456,0.0142904304698934,0.00641204581490418,0.0242221910013615,0.00610822828104707,0.00444094354386915,0.12208411937162,0.0168042145059547,0.0235291842340483,0.157453321459728,0.023477921872737,0.0216996007543396,0.0454014177559695,0.108569975976547,0.221817902327662
"signeR.13",0.0747574796156094,0.365201610353296,0.196908543704439,0.0678881255193281,0.315125071528109,0.887112575970656,0.750557535391001,0.0769813183412632,0.0680596213495495,0.0367869398563024,0.0141328361641686,0.0366964451493558,0.0120019290525335,0.00285064087066045,0.0932014975106882,0.0152017400171642,0.0126722584799078,0.0393630436217578,0.183049844542907,0.0281723730487832,0.304290926377325,0.0744296666467966,0.0620133979701609
"signeR.14",0.0155167294971887,0.606021416859463,0.207214870362663,0.0792758827608752,0.327189495436745,0.975285065140994,0.715042859112888,0.0824995343956815,0.052112077996246,0.040056652626287,0.0173275339404255,0.0547324958247372,0.00349144713143945,0.00236702617638118,0.0877822805871875,0.0128919451447276,0.0155583475808141,0.0282271548366186,0.167373613445104,0.0304291257776936,0.369765582325903,0.0880295321923741,0.0446739258449491
"signeR.15",0.171185062893939,0.58137489837176,0.252687397303375,0.10222873210901,0.430862371755985,0.77171764940902,0.722898134074386,0.0763574539977921,0.114180717703047,0.0557094807879192,0.0137238467261972,0.0809172363632766,0.0178785415537797,0.0031570475260978,0.12434432550093,0.0193711357329885,0.0143810568699705,0.0875101084461233,0.1867095105785,0.0335372743735025,0.392629463992206,0.129613321218167,0.106695189785212
"signeR.16",0.021091757959393,0.992222417188028,0.105823925310361,0.0503202265653903,0.262658551147307,0.698888794645012,0.291953187735983,0.0567957405388956,0.0892741206138424,0.044702193633909,0.0161687052601358,0.0707926443409861,0.00309858882701008,0.00187167301253133,0.066451123427349,0.00685389819396787,0.0120031000791729,0.0438163189452889,0.0495823617731442,0.0265835327432282,0.337657522395026,0.0938610090310853,0.0202196313546872
"signeR.17",0.0189696785815434,0.9944941465076,0.0912136793416969,0.0410823601902849,0.239559118602223,0.695658382748432,0.221773940434062,0.0600172135867517,0.0612785185505046,0.0371402650923279,0.0156124638103454,0.052857495046993,0.00380954662774902,0.0012953157131721,0.0646206949014408,0.00720086744544712,0.0121729657277445,0.0403665778199673,0.0407419556922954,0.0232337126193857,0.321969928945882,0.0873787471053001,0.0178710935262649
