"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"signeR.1",0.198570596764337,0.233860933666917,0.790889797395937,0.377620028641806,0.999536321968019,0.335754692418804,0.412447028812478,0.251115745183175,0.332133358332937,0.677687668068802,0.156518823886867,0.664460459681913,0.203991110889937,0.0970700137408195,0.353084134451776,0.19604887485037,0.150367588700725,0.324485540022309,0.374495252406038,0.145602488859862,0.824723775727742,0.485330044533576,0.5975116204665
"signeR.2",0.0511065251631596,0.312157533277792,0.889218712691084,0.612956483515296,0.850391128230589,0.378030179299177,0.40441017752773,0.367589022168916,0.275602306530021,0.441309965157038,0.294617732237164,0.456521064364448,0.197400121178193,0.183690601861406,0.574557615316724,0.197037217023995,0.289018113762918,0.511203453284499,0.516628356351448,0.304552140607823,0.999073657526827,0.549119558313417,0.472769630872098
"signeR.3",0.0288655043727645,0.0426519867409906,0.63896215720536,0.999977467943826,0.380374471776186,0.0807752711432128,0.143581047040622,0.120821842303435,0.0808382446070007,0.118891488694054,0.104032773936058,0.170825749852253,0.0511576358098123,0.0130258963859368,0.733105289684279,0.283332217797736,0.0214089886029999,0.785119662753721,0.677032301441734,0.687275509296974,0.615844721975175,0.141960781051795,0.331414725779318
"signeR.4",0.0470060341780333,0.715953473673418,0.208355974694033,0.08082472087449,0.356192009728673,0.999899134610092,0.712397143412054,0.0871024306046616,0.0699318383683027,0.0418284657327835,0.0171471577721282,0.0583189764877525,0.00744089842095641,0.00223924789468721,0.0981893098855003,0.0133075008338598,0.0150388529941995,0.0422988131572487,0.155962695222788,0.0322385489448009,0.395404032375269,0.10038583858628,0.0513801698393638
"signeR.5",0.0508138936733669,0.611859394690029,0.223477968362926,0.0853708570189906,0.361212846271192,0.990508001403551,0.771408459795797,0.0827497642088497,0.0704355625098161,0.0408524710760947,0.0161770902273868,0.0563825033980545,0.00858427545000717,0.00243281585256494,0.0995677959564456,0.0131972107620082,0.0149201192605436,0.0408236554557643,0.17826296747227,0.0310292243246747,0.387671752279057,0.0946223678727411,0.0562709544494311
"signeR.6",0.0693093610739237,0.265389199578508,0.347968818837862,0.145001924852174,0.429153089142203,0.71787264729629,0.999958759052292,0.085797554975563,0.120042557592207,0.0596567898009265,0.0147824311143598,0.0852919522967295,0.023176432060206,0.005224785615772,0.1141403400407,0.0253212059800636,0.0184216253576203,0.0560121697857318,0.390079445816632,0.0402891674552418,0.411193302912053,0.112512802525097,0.0964853102529234
"signeR.7",0.052512619280076,0.673817484719284,0.239373781779116,0.0941483638356517,0.383476527533073,0.994420896976675,0.790007844813968,0.0850054312492723,0.086333473948053,0.0463229470949373,0.0173409912060924,0.065244756357151,0.00998673601579991,0.00279924154082589,0.104464377582976,0.014215462886495,0.0159795292249196,0.0463474491857903,0.20069839160221,0.0335135052652673,0.414008965622356,0.101940440033395,0.0598284897371674
"signeR.8",0.0514133837573045,0.541327154906636,0.219405860722199,0.0826099473105892,0.350937893641403,0.974839651670729,0.767198224599281,0.0798619270517376,0.0604807957593803,0.0407844920469516,0.0162267073204306,0.0548534437307807,0.00761286627100966,0.00282849081538772,0.0980967987244015,0.0139398780281198,0.0148388833702398,0.0389708674580416,0.169610041331666,0.0300477030529548,0.369807158960869,0.0916572732586922,0.0599883877116361
"signeR.9",0.462174348395578,0.0450024953288667,0.492721469864307,0.325091025843212,0.656827359838446,0.094890723477378,0.146065622392739,0.193757128410343,0.197354186004806,0.351299751947002,0.0460659399865025,0.226547497640967,0.0953398819351832,0.0279098786130417,0.281628385473392,0.0754623024594993,0.0651800281943347,0.298202515113277,0.311527945003953,0.210029189765359,0.481291043965337,0.351012444259193,0.961261932844027
"signeR.10",0.0286389546865888,0.0015445828194689,0.111579846629969,0.0137991001238397,0.10362446823675,0.00273165533972941,0.00638423411955136,0.0422825829051252,0.0173552404723893,0.0199873267716021,0.00288646173659535,0.030561574915078,0.0549416726116868,0.999647682349066,0.0349871311829094,0.0120548081820188,0.427120732198772,0.0139021471918397,0.0322512245484271,0.0224568709737867,0.188655028223851,0.168982018787504,0.0258394996938027
"signeR.11",0.071448818491786,0.0774186176364056,0.999011350161777,0.636535391159898,0.790838972240143,0.183035326921203,0.329464150548357,0.321932002117437,0.272141718592494,0.472089421063362,0.283918029880234,0.404052589685316,0.24634721626459,0.108232039460552,0.433991902764275,0.344315876914663,0.141038518290166,0.45648344560469,0.635771387426599,0.323640213225183,0.870498312247162,0.482051843858616,0.474364449128204
