"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"signeR.1",0.204149575119859,0.241853428053163,0.791629366825059,0.382184640983749,0.999656367847594,0.346225814591061,0.420955919066968,0.249522095773255,0.32747316305488,0.664150857102176,0.157776388593048,0.658746598786494,0.197571484703059,0.0976441194565014,0.359610829363301,0.195177169064656,0.151683721877549,0.329340238145442,0.378562016392006,0.148400234059244,0.829032162091737,0.482539330817933,0.599068270391114
"signeR.2",0.0475801568282155,0.718961543035438,0.210877043146622,0.0820776356559236,0.359329948574407,0.999976077538291,0.718421937052048,0.0842542840592986,0.0719268946230515,0.0421515055963073,0.0172291651771589,0.0592595838141686,0.00726385984845213,0.00223677112560328,0.0988065137103066,0.0130240702794416,0.0150494393762782,0.0429137487474244,0.160177406737387,0.0324129736824283,0.397972689804818,0.09990740354487,0.0518628249093126
"signeR.3",0.0309621829672082,0.0440196284231312,0.640028361198817,0.999963432050527,0.382597491421012,0.0822275468107426,0.144952300840756,0.120937380459278,0.0811289045406416,0.119161514835157,0.10428576078406,0.171907602367914,0.0510353804489272,0.0132398681036127,0.733871118090891,0.283160276946195,0.021817121052099,0.785578359004421,0.677256779672306,0.687100705927699,0.617390264571308,0.142677830612844,0.332976147355059
"signeR.4",0.0446481480681585,0.318562093192221,0.887537563812124,0.612758654813179,0.848718451162772,0.384493641566904,0.407620052424143,0.366223079856977,0.274886308348891,0.438902728176464,0.294023850141848,0.455045762861701,0.195095627259951,0.182856311936955,0.574236198799445,0.195975971750597,0.288107148292348,0.510329235110225,0.516608931864397,0.304804103507208,0.999313104751282,0.547087664944953,0.469990059009876
"signeR.5",0.0490319339757083,0.699202408150747,0.219023275107093,0.0853325668701967,0.36559096990721,0.999535851078977,0.741227656650989,0.0841549292598608,0.0723866224997199,0.042714338460261,0.0174209784231584,0.0607747447153708,0.00604487893007932,0.00241740256722267,0.100418096891718,0.0141794495702257,0.0152872933876852,0.043519079738214,0.171466196742308,0.0324020821391652,0.401400592891139,0.10279635601159,0.054710401068528
"signeR.6",0.0696510676768024,0.265147659848975,0.348794801081713,0.144838465547943,0.430329106541046,0.717429713404196,0.999958443951407,0.0869323462254533,0.124337369817483,0.0616714458603774,0.0148969165568399,0.0856349038851456,0.024545737337393,0.00525946793048726,0.114027664553872,0.0252972169719838,0.018355813019177,0.0559405170376042,0.389674654401952,0.0400675687992609,0.411833327199586,0.113095459636916,0.0974558223483551
"signeR.7",0.0486509543750157,0.714593236160271,0.238105637719989,0.0909839189914626,0.380764362255173,0.996014699757659,0.714212287918561,0.167209367442588,0.113276579520357,0.0700410911822468,0.0202856669354357,0.0685943560648569,0.0254286158771786,0.00576806329942492,0.106550620994755,0.0293696801113396,0.0225614941985075,0.0473778128151676,0.169135411922819,0.0358079231813024,0.426367683107188,0.146612432382522,0.0701794231459396
"signeR.8",0.099140045116228,0.0877632551980354,0.998300134131569,0.632855919873919,0.802396476052729,0.196448216353823,0.339040719635235,0.321499554001256,0.27475289029436,0.477188524688696,0.280255545559372,0.409540668922384,0.245731064929488,0.107805997870225,0.4352108585144,0.343790972849711,0.141331653006842,0.457626900258486,0.633330623109776,0.32096547435929,0.873448405921855,0.485071687195995,0.482196266458491
"signeR.9",0.0363315628947362,0.00176345260976041,0.111881157822106,0.0139611631093375,0.104954837259682,0.00328278461572218,0.00704365822434383,0.0424370268005395,0.0174940007177411,0.0200986827520417,0.00286639736696304,0.0305148704141562,0.0552079840024635,0.999414583022642,0.0358826657657656,0.0121726811414081,0.426625388593743,0.0151127506860222,0.0324243223091353,0.0226405727549381,0.188765579882428,0.169469160494561,0.0273172537622781
"signeR.10",0.466603230191119,0.0453765717420316,0.472430561737481,0.311548599440063,0.646403911741246,0.0933847906115371,0.141093021407401,0.187492725470179,0.192813622812858,0.343224483519697,0.039058907136118,0.220776485642255,0.0888545060850252,0.0258563142655486,0.274274965229031,0.0669562599039352,0.0631854699283704,0.289944240775993,0.297920543305078,0.203028754880051,0.465714175975451,0.343136165406887,0.960825037532814
"signeR.11",0.999952926214139,0.0184208309367946,0.0546563422258104,0.0227682119764525,0.195770429211868,0.0462932921246517,0.0689830283983363,0.0237068012739565,0.016502068750789,0.0193625703447508,0.0064736217200273,0.0259177011498484,0.00754919937101683,0.00199970651327197,0.121912191617111,0.0135925570234257,0.0144922299009588,0.157336894771013,0.0211871271289935,0.0212642282562417,0.0404655076794868,0.103313188390715,0.216079329764876
"signeR.12",0.182883060891921,0.054630445295738,0.426936944998856,0.725569094070674,0.348152173427909,0.0869171514719236,0.104852594345191,0.0934757989334661,0.0745989545707175,0.0784655891947742,0.122343647762642,0.119883535428076,0.0254394612754025,0.0290992824351232,0.997728091864983,0.0584389319584617,0.044088407757613,0.837611409604749,0.369309182795852,0.461505396798165,0.561008144188809,0.14665740741226,0.254362288354457
"signeR.13",0.0914070421678175,0.125170990742372,0.634664141392647,0.198955895555668,0.876504800844419,0.168318470387467,0.214961457751065,0.236389415906488,0.411009853774703,0.936160634374005,0.0752052697673284,0.700052135594886,0.293634758855527,0.0540857797026481,0.150216492600019,0.169132890690814,0.0799190912620519,0.152132182554418,0.199112239295871,0.0578889339790518,0.607750620369604,0.476581768102523,0.469266921335399
