"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"signeR.1",0.0469912106616647,0.25396181943376,0.891576411408254,0.630520525140674,0.831312901453929,0.279830292385747,0.305353712983776,0.366326296829565,0.265349563718954,0.450405135771505,0.291849425646237,0.472158769181736,0.189601710425638,0.181814766482484,0.587533589210157,0.202712599401085,0.287508822471315,0.53456738909743,0.503696551489558,0.312363087218093,0.989192475082933,0.543984181144231,0.469171032181743
"signeR.2",0.0230971023036163,0.030445516215257,0.618248051773951,0.997002366779828,0.352569276312284,0.0598573261415069,0.117268630103526,0.104773863843817,0.0687159455149149,0.107634913088862,0.0888625436735493,0.160766664088379,0.0426205673935958,0.00919691725895921,0.6994745261688,0.250042678650777,0.0170961832811716,0.776073034624941,0.663398803718914,0.692239285677032,0.586015065648371,0.1187929918796,0.329120417331506
"signeR.3",0.00550338027679476,0.680868867577637,0.199618597065986,0.0746484591310216,0.317924888689103,0.969699481997284,0.666889559695109,0.0824554789541969,0.0465166368636575,0.0372705590609005,0.0173122933775116,0.0436846247501864,0.00798649432079135,0.00204487027907485,0.0876170960410143,0.0123413034825426,0.0139165524685551,0.0279344517045387,0.176759358810268,0.0294275707251869,0.376389298806109,0.0849615653452618,0.0451882384029118
"signeR.4",0.0964314788389691,0.0911321255917753,0.635626944342483,0.234847125948351,0.876436915433726,0.100537574267167,0.162373646410287,0.209343283284011,0.365114837379318,0.920169729119099,0.0891703518562547,0.71743304819318,0.231903700415747,0.049404879158232,0.207535357061194,0.130062045143547,0.080480306363497,0.21466272067256,0.201111352960209,0.0797618429869789,0.615769265881576,0.446629224619333,0.476187219908604
"signeR.5",0.00600615393934834,0.63813042573441,0.18402342470218,0.0689357852317953,0.305464862360135,0.970820805712794,0.683601432448483,0.07701993026934,0.0560467275399809,0.0355102526659067,0.0160484705694385,0.0483773211004966,0.00619918336456315,0.00208713724358822,0.0800479177734383,0.0114106199873616,0.0139978753336885,0.0226939587133723,0.142849679545245,0.0278289379359096,0.356134309805183,0.0835055821917808,0.0325764076310517
"signeR.6",0.0488604145060011,0.513249978496667,0.168776331124163,0.0606848920325562,0.297515911672599,0.953309093502944,0.669357078180281,0.0737521216727373,0.0436069111601154,0.0319848113432308,0.0158267694299675,0.0387624738108169,0.00529441714078738,0.00188710486143029,0.0863661513166396,0.0103353745317767,0.0133306718715285,0.0316109520930794,0.103728173433556,0.0264545442543136,0.317708153995951,0.0777745577605465,0.04241005164379
"signeR.7",0.205614269940413,0.0954998802762281,0.628366711244238,0.246469493478074,0.897364134169437,0.139363692595367,0.239029613177091,0.110706319304794,0.2108113917611,0.474615780531882,0.102291582965436,0.671345864437683,0.102812713545183,0.0752320488495193,0.252154660211081,0.19248789016911,0.111968860303309,0.222800951552422,0.254111612957024,0.0548628150001553,0.636936147756398,0.353770461286988,0.630517848214521
"signeR.8",0.0904305646491843,0.0188811923132011,0.988180313108382,0.637655682985364,0.764858174675805,0.0803606437170481,0.229066955925488,0.299904081035893,0.256566049509017,0.471976612013359,0.282423516371872,0.399838133143417,0.236174023659779,0.103515283427919,0.43737481161785,0.320346058399962,0.1387463809155,0.474472755317251,0.603934131211944,0.332850163877248,0.839796591267572,0.467860637415039,0.479605843066601
"signeR.9",0.0175665842006414,0.946164085678434,0.0711113997476192,0.0313653648692298,0.20287979849901,0.620746889629003,0.113068082930815,0.0585341777233271,0.0316318679633842,0.033365364471286,0.0151194312870095,0.0391452000905127,0.00173902137511561,0.000838812223453278,0.0598252790154142,0.00676582563602379,0.0110291304449347,0.0378120995992649,0.0277105570568622,0.0202300726052129,0.287083264493414,0.0766946369087532,0.0130418604737071
"signeR.10",0.0629225753931331,0.086168461452933,0.354063762830091,0.14252978634572,0.387165721927291,0.535242729859419,0.917988163019102,0.0885207016430596,0.0781919590381865,0.0563298583908034,0.0124367024781673,0.069486566705607,0.0292794459783858,0.00489184188729064,0.104109352573122,0.0280690159155241,0.0157140087559079,0.047309560977565,0.46785986657738,0.0338873631664859,0.359152617751298,0.0987901282620594,0.104459894713907
