"ex.sig","ref.sig","sim"
"signeR.11","SBS1",0.999952564449891
"signeR.19","SBS2",0.999968245345299
"signeR.9","SBS3",0.998483412996639
"signeR.4","SBS4",0.999966957988327
"signeR.2","SBS5",0.96744934650604
"signeR.18","SBS7a",0.999126395595647
"signeR.7","SBS7b",0.999935533893212
"signeR.15","SBS7c",0.998582127534059
"signeR.22","SBS7d",0.999880336547267
"signeR.6","SBS12",0.92509782747678
"signeR.21","SBS13",0.999932418565185
"signeR.17","SBS17a",0.997769354990068
"signeR.10","SBS17b",0.999692870839412
"signeR.14","SBS18",0.996512557397669
"signeR.26","SBS28",0.968399762692044
"signeR.3","SBS40",0.998851403769004
"signeR.8","SBS44",0.95949563629539
