"ex.sig","ref.sig","sim"
"hdp.1","SBS1",0.998835069149049
"hdp.2","SBS17b",0.999296594212244
"hdp.3","SBS2",0.999516118536615
"hdp.4","SBS5",0.999160384166822
"hdp.5","SBS12",0.992894068620711
"hdp.6","SBS7c",0.999323805040795
"hdp.7","SBS4",0.998571616832871
"hdp.8","SBS7b",0.988222021282459
"hdp.9","SBS3",0.997480819450778
"hdp.10","SBS16",0.990573201725929
"hdp.11","SBS17a",0.998411051916383
"hdp.12","SBS28",0.984581827917269
"hdp.13","SBS22",0.988694824110098
"hdp.14","SBS41",0.993820070781626
"hdp.15","SBS44",0.994564429827809
"hdp.16","SBS13",0.997300705460018
"hdp.17","SBS18",0.997923008814807
"hdp.18","SBS40",0.999239895941646
"hdp.19","SBS7d",0.978214755034735
"hdp.20","SBS29",0.951246048426886
