"ex.sig","ref.sig","sim"
"hdp.1","SBS1",0.998973644138531
"hdp.2","SBS17b",0.999334913405783
"hdp.3","SBS2",0.999277478242345
"hdp.4","SBS22",0.988744300907228
"hdp.5","SBS3",0.997492412955641
"hdp.6","SBS7c",0.999289057110949
"hdp.7","SBS7b",0.994415979671322
"hdp.8","SBS18",0.997761430492459
"hdp.9","SBS12",0.992979064099192
"hdp.10","SBS28",0.984189873803494
"hdp.11","SBS40",0.99925749346576
"hdp.12","SBS44",0.994175448987436
"hdp.13","SBS13",0.997635386066663
"hdp.14","SBS4",0.999121867512816
"hdp.15","SBS17a",0.9984299070491
"hdp.16","SBS16",0.989699107813355
"hdp.17","SBS7a",0.980494081304423
"hdp.18","SBS41",0.993809158733148
"hdp.19","SBS5",0.999167983099729
"hdp.20","SBS7d",0.975184886627064
"hdp.21","SBS29",0.950333357440376
