"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"hdp.1",0.998527475067712,0.0244547416531246,0.0756337518000835,0.0349689721336912,0.212200919610292,0.0537979285903265,0.0764951229355297,0.0315119148733198,0.0229217037227588,0.0333317684074755,0.0114735305102958,0.0410785212642357,0.0116223613186144,0.00549000534614497,0.129694040195811,0.0187707728906403,0.0208078508494819,0.166235036521295,0.0338337287678,0.0258167115038072,0.0622175053078891,0.111056311043379,0.225353364125288
"hdp.2",0.044010962817816,0.468294139456729,0.211429804611381,0.0794040342708325,0.33202758172881,0.949502760266484,0.785434969094893,0.0753144094940084,0.0651846524171846,0.0357092426647567,0.0146477203113241,0.0490814070540435,0.00638836682881638,0.00223463746875241,0.0910871783884259,0.0121623169772485,0.0133452172264446,0.032558459410774,0.163898439759069,0.0291957760304279,0.347652987061303,0.0845219894191256,0.0513684920978468
"hdp.3",0.0320579395280011,0.00182217029279874,0.109040539548381,0.0139830208985988,0.102309032009182,0.00381835245243989,0.007547098455705,0.0403072596178856,0.0159378405861319,0.0183952572782033,0.00339336335749263,0.0289575064235436,0.0511649888268981,0.999198128105383,0.0352601391292529,0.0120123642988385,0.406611351753249,0.0145397383641083,0.0320835693699416,0.0223325974059342,0.18275943312608,0.160391589887038,0.02634087612592
"hdp.4",0.0369516846291968,0.0152667750076839,0.294245250999618,0.105007140805439,0.167831819130498,0.0179095298847461,0.0185179643828768,0.0454569934276385,0.0180103091026887,0.0270467348597846,0.997436438301023,0.103177946790931,0.00761836090525059,0.00338842357421643,0.13123000280562,0.014519795400198,0.0066619155351697,0.0758066462803864,0.134003161653314,0.0288562882512191,0.30446230381772,0.266686974601145,0.0434405095055898
"hdp.5",0.0560228898576246,0.0054773831517787,0.258043615350811,0.057163149353133,0.225626914225994,0.0129484204206318,0.0310238600464597,0.18299400266342,0.13099341799136,0.354309947573844,0.00905091970987748,0.084475750861279,0.998374719873399,0.0515457320876943,0.0380005091864352,0.0798062688913719,0.0256115248817488,0.03560468302913,0.107907829601966,0.0191222201344461,0.206146990896631,0.105731095374739,0.104289348506133
"hdp.6",0.0639549059705288,0.235138626783589,0.360037554500492,0.150334369928169,0.427560594416424,0.635662227604435,0.98775315739043,0.0863609177814684,0.127344712968319,0.061787263085013,0.0135667216670199,0.0876270643184054,0.0278731929002745,0.0054674384720691,0.11130559611266,0.0262083082361588,0.0167441089368612,0.0559382364613711,0.424476079896613,0.0386768474007854,0.409273300005922,0.114027089152784,0.10173905784148
"hdp.7",0.137368656644118,0.076230820798829,0.45090128485353,0.128592152176295,0.457323817671692,0.0868538708377748,0.102953673438434,0.51378011719754,0.255447042348836,0.369393836002346,0.25594204949012,0.25752885735021,0.0818124759380199,0.148094046072116,0.146929448722763,0.245332903552293,0.468146635769674,0.0815338230177048,0.162080059017987,0.0466701778038934,0.512207666451113,0.993879333795851,0.321951987810418
"hdp.8",0.200601849500278,0.0324943449413031,0.504668181630446,0.351577322138625,0.637999745292869,0.0708759593403336,0.115790057093667,0.199026521725639,0.209264374293007,0.380297752244828,0.0417736090489154,0.231260472478253,0.0990249567855621,0.0253951375851238,0.262080972495181,0.0731055266797964,0.0596360313087504,0.276438459022944,0.336543292330246,0.237975523996614,0.492133514131307,0.350626262848936,0.994294752412285
"hdp.9",0.0323759984393364,0.0545024422822378,0.514878800220516,0.147703780537102,0.708200342774956,0.059772055404854,0.0909703793337741,0.240120788319522,0.466597522083574,0.992590627779769,0.0418650589113707,0.530361063102492,0.351946791535699,0.027090665013722,0.116092694945268,0.101692807234437,0.0381683068763851,0.0962805649102539,0.0997806947038214,0.0724340616397542,0.467170035255648,0.425187638252431,0.378504849213119
"hdp.10",0.0796505044535476,0.059888081088637,0.993734787124729,0.652256108118906,0.737293813688576,0.176235906944777,0.32644690078137,0.31673765200767,0.261962784176707,0.425945513719962,0.279068147784953,0.346625947585181,0.249500034936197,0.106255350811939,0.434414706978577,0.331761393433106,0.133852602268102,0.468112115735335,0.640341719419278,0.354663234061305,0.84777212789532,0.457904677573501,0.436033441006459
