"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7b","SBS7c","SBS7d","SBS8","SBS9","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS26","SBS28","SBS29","SBS30","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS44"
"hdp.0",0.194055028402392,0.395135240187812,0.74403938521143,0.429867008082238,0.854482335757768,0.394874399531213,0.642211323179919,0.784513227699835,0.252275840132228,0.282621095897731,0.439368260491704,0.463673455982224,0.400878113029238,0.138073494556155,0.381657754263413,0.151233695100892,0.0878355453957773,0.382108257940088,0.171648818225117,0.387557107992036,0.118647867666589,0.341167707786439,0.766182344151266,0.134890054806406,0.510741900709377,0.293162769739461,0.4242747513576,0.186197439298177,0.473234623338422,0.821835865750993,0.402439988540828,0.461775230342468
"hdp.1",0.0349995663420685,0.467772055894493,0.1913076127445,0.0717474995257983,0.307011769257365,0.0969905660753388,0.944904057623812,0.750205625023181,0.0712347545144993,0.0530985774236113,0.0345606617558324,0.0818501857880864,0.0320646086907823,0.0141361346026153,0.0437336363031565,0.00468094580257905,0.00191538266242886,0.0846973106439961,0.0106294662690365,0.0247472071084417,0.0127924436215026,0.0269606096113154,0.659861358991754,0.00886429975620462,0.143529303482587,0.0463364834529023,0.0387174328188621,0.0274042567300427,0.0704184605908529,0.328909274511173,0.0769393923482405,0.0364589730046347
"hdp.2",0.203525710584029,0.248524982140291,0.7685343492599,0.355131462050844,0.998263266217834,0.424035584226965,0.350988458488227,0.424197572323253,0.240130334939135,0.319427556118086,0.419954404245857,0.55772487409582,0.67262172450894,0.149990003486803,0.670065375802651,0.19403743527462,0.0914611854706345,0.331443894608769,0.191997133077236,0.662310157659394,0.146126036917186,0.302434762900711,0.551172491908373,0.124032733064952,0.36166924267098,0.246427159378278,0.660366429834185,0.137803709959358,0.544330655516395,0.807600556922115,0.474370518498147,0.594128306951166
"hdp.3",0.0195771834178833,0.990113899093241,0.100684642806482,0.0437783283221854,0.249267881806282,0.0691362634770893,0.720447279871446,0.243910816632094,0.0632964198485531,0.0587547144189534,0.046075504683073,0.0519238957579006,0.038759986388855,0.0166879739309966,0.0531697399837519,0.00284041301403282,0.00139236159135925,0.0678657232857587,0.00810750534033799,0.0230714540798467,0.0124435723446783,0.0410728689661409,0.470617507667107,0.00726430779502574,0.0494588751203355,0.0506831980103981,0.0400808707985433,0.0238004990777511,0.0497719702823113,0.331047692890036,0.0891527045357465,0.021732574719857
"hdp.4",0.0372011853474641,0.340830893022592,0.851174724003363,0.624195878282134,0.773324211040414,0.195735623734004,0.393632382146443,0.394657977918292,0.380525730648098,0.241408136290238,0.666149645379088,0.607577666840625,0.347263428534278,0.308334706820145,0.394100174527139,0.174851828690081,0.202737522144183,0.595139959257111,0.173228175520067,0.315136927754683,0.321005389802864,0.521222979222735,0.494890107353837,0.161674661512388,0.510862299955887,0.524588198219755,0.462123297365312,0.321126625502657,0.639415780058923,0.993369385725794,0.539511892954149,0.412075273829241
"hdp.5",0.999341465780116,0.021455231673262,0.061067994137683,0.026762462173695,0.199000006900562,0.758312829412781,0.0495598581775194,0.0712451189219822,0.0267222623433889,0.0185578928338541,0.0442697257942344,0.0763240511730375,0.0233373502235787,0.00774713597028376,0.0312078739685182,0.00933219203657887,0.0032960143524986,0.123176369044752,0.0130810446433877,0.0578119901002476,0.0165265324641728,0.159840362840062,0.116213811089552,0.0370805855312706,0.0251981553101386,0.0448574337708337,0.0729423302199381,0.0230140295641016,0.0995733019347472,0.0474314070079945,0.100435398098418,0.214157103697474
"hdp.6",0.0182486848589227,0.017830895024558,0.581787968845012,0.99118074065287,0.312391126418811,0.0601055484804635,0.0456522570394673,0.101966975505693,0.0973703117430654,0.0614558533731584,0.774277942463408,0.184579787739949,0.0858915897427333,0.0780178476437133,0.136756849005711,0.0357490446967375,0.00578998052466007,0.699311084677512,0.281719754173948,0.0695476071776642,0.0145184889210491,0.756056221281516,0.0942743399377444,0.0759527584922941,0.653897644365704,0.622995784971047,0.0842073387168175,0.685875392505847,0.291788785339695,0.545092305485856,0.103731113537304,0.304457674282618
"hdp.7",0.213685537837122,0.0197195359802558,0.470502536607874,0.362836379346757,0.580182441436718,0.613306696838862,0.0528466402619538,0.0907472030114564,0.201413269853725,0.166956100602743,0.294977916703693,0.297619909007276,0.31788356555979,0.0346493116173796,0.189265332210162,0.0693663506436324,0.0224121249309448,0.253933887770059,0.0626847352673281,0.349930799392436,0.0682106216902807,0.282943872807522,0.388428824714901,0.128034088183948,0.350490035865439,0.215971372480512,0.290444358238433,0.263520438769134,0.253139400336673,0.455100768048535,0.323561354303918,0.990940598352936
"hdp.8",0.00355574650622514,0.000882166096733972,0.0959279358481813,0.0111069429062276,0.0868636329061212,0.00891126147431109,0.00161351528977427,0.00358605824498448,0.0329596982272493,0.0121178678728241,0.014690167776763,0.445319361452859,0.0146018328877648,0.00215709238007289,0.0235351631955538,0.0451914725373356,0.994740826607659,0.0276353451712336,0.00943936291830205,0.0585996940486762,0.354855647916041,0.00789310283608058,0.00757528247073092,0.00271973230165279,0.0266669219337474,0.00833936259512547,0.0849671971652608,0.0201859349658664,0.064959196924552,0.16459851480843,0.130688694784572,0.015312388390039
"hdp.9",0.0128486943801565,0.019868191685678,0.28779332888252,0.0984221296814669,0.162876158841942,0.0193628885352254,0.020987595277202,0.0185476714305375,0.0435221498288972,0.0185309861918207,0.0658795658619089,0.0767794717095815,0.0282445114523523,0.999470097158116,0.100150467429608,0.00902142565504538,0.00381522912799226,0.119288808577004,0.0146838066165003,0.0224051866693198,0.00682662943232704,0.0666014174616412,0.0260589677393148,0.00829765096652924,0.128866437919731,0.158857517496376,0.0345803932983093,0.0269811512216672,0.485639322322436,0.29720082351474,0.260223558812985,0.0374067994562123
"hdp.10",0.111702215740325,0.0432176895073003,0.985854530560719,0.636012990320224,0.712367663222643,0.232276673873935,0.160519908915614,0.321246787195296,0.316129839175735,0.239748732472928,0.680147993225014,0.471248969204528,0.397936461113282,0.291246498858553,0.335780115026843,0.236439597443611,0.094645293441749,0.40652556523625,0.32609389104635,0.359420660519045,0.118111035508569,0.443136864484414,0.343205994164745,0.126428616452296,0.638182482054889,0.303903977003145,0.464523608380681,0.333258035115837,0.799412366956399,0.818912159727032,0.44538863865385,0.430342962474956
"hdp.11",0.0514523282455993,0.158772784518003,0.331488439524814,0.148425130022694,0.366088827112842,0.142663100737109,0.364967663557218,0.67891295026038,0.0975346289497383,0.10836117254084,0.126801400932926,0.140228560270408,0.0636006250527438,0.0116661918355199,0.100712920779767,0.0235121337243042,0.00505582404112681,0.0950303630205535,0.0214727937879707,0.0459460146214342,0.0179638742050865,0.0525541468227227,0.509834046453247,0.0343491343688157,0.319039301265223,0.0593348629078209,0.0841465467052618,0.0291152700783089,0.119367119957035,0.356822387262594,0.112122808013284,0.0857816784130214
"hdp.12",0.159807006703252,0.0507725315818731,0.399107576478387,0.705968362336223,0.323402267347475,0.183263199959559,0.0873674698029159,0.0977469491735006,0.0807578601649439,0.0669864565139293,0.611370194943314,0.25445161749695,0.0686317654801786,0.109942301013912,0.110722486937654,0.0162480737413867,0.0232176385531812,0.996608521343636,0.0543889957982533,0.0520850430319697,0.0366973938014125,0.83451610641546,0.120170587497428,0.0760095756978708,0.345377067939351,0.888777160732348,0.0827521280760427,0.444968083254505,0.220703446636529,0.535800596776434,0.135081618738319,0.227880550718126
"hdp.13",0.0370188547532054,0.0743670391379865,0.248912623156128,0.0948348887079846,0.25480642905746,0.121733983244405,0.219851227612574,0.642098643433087,0.0464675618611751,0.071655430185145,0.0601713917835754,0.101615167139022,0.0387162645221919,0.0074077175208086,0.0420391980963258,0.0206571303911276,0.00340630106876527,0.0611815390224153,0.0253837236531433,0.0441308136235217,0.0084176983847668,0.0319968575374451,0.470506805084333,0.0281118071892372,0.459560760283488,0.0420124509306088,0.054469273859465,0.022355559786475,0.0662566788974315,0.232271180230589,0.0626740150271125,0.0726990771139886
"hdp.14",0.0210642569407588,0.00883016850416862,0.255311197581586,0.0598972364619895,0.220178332248866,0.0319520998039731,0.0216809833846592,0.0497046451800741,0.182410644749002,0.137030529356343,0.128359077911129,0.294565641134066,0.338950239867677,0.0107655840242588,0.087370799607024,0.994758190053647,0.06354675497988,0.0409778019722736,0.0651898149856995,0.364551367365216,0.027342808965379,0.0359634325095708,0.0487916092097016,0.0140194908548126,0.106371239063696,0.0269870084812583,0.368059526023717,0.0228771094112989,0.128487744230004,0.210327871506826,0.102851475099497,0.0938895546534204
