"ex.sig","ref.sig","sim"
"hdp.5","SBS1",0.999341465780116
"hdp.3","SBS2",0.990113899093241
"hdp.10","SBS3",0.985854530560719
"hdp.6","SBS4",0.99118074065287
"hdp.2","SBS5",0.998263266217834
"hdp.1","SBS7a",0.944904057623812
"hdp.15","SBS7c",0.994178551037773
"hdp.17","SBS7d",0.989995089192198
"hdp.49","SBS8",0.989758474362411
"hdp.25","SBS9",0.993977637297006
"hdp.20","SBS12",0.995983646017021
"hdp.9","SBS13",0.999470097158116
"hdp.24","SBS16",0.943016100169711
"hdp.14","SBS17a",0.994758190053647
"hdp.8","SBS17b",0.994740826607659
"hdp.12","SBS18",0.996608521343636
"hdp.47","SBS22",0.988892815672043
"hdp.21","SBS26",0.992561477788652
"hdp.34","SBS28",0.980660236872124
"hdp.36","SBS29",0.976431952369901
"hdp.52","SBS34",0.988662348329292
"hdp.31","SBS36",0.996840864986582
"hdp.39","SBS37",0.994607157605937
"hdp.28","SBS38",0.972273098873288
"hdp.4","SBS40",0.993369385725794
"hdp.45","SBS41",0.991167394848668
"hdp.7","SBS44",0.990940598352936
