"ex.sig","ref.sig","sim"
"hdp.5","SBS1",0.999262951056916
"hdp.1","SBS2",0.958985364443269
"hdp.9","SBS3",0.985586999243281
"hdp.6","SBS4",0.986470745564948
"hdp.4","SBS5",0.997571652832105
"hdp.14","SBS7c",0.994820536198671
"hdp.16","SBS7d",0.987734169613732
"hdp.46","SBS8",0.990387545761758
"hdp.25","SBS9",0.994000285247039
"hdp.21","SBS12",0.996592633537238
"hdp.13","SBS13",0.990559468889828
"hdp.23","SBS16",0.951941464203964
"hdp.15","SBS17a",0.997706782585741
"hdp.8","SBS17b",0.995085188612961
"hdp.11","SBS18",0.99668459555338
"hdp.44","SBS22",0.988938917054872
"hdp.22","SBS26",0.991475006767218
"hdp.34","SBS28",0.979865258791407
"hdp.37","SBS29",0.971964029359373
"hdp.47","SBS34",0.987972554232124
"hdp.49","SBS35",0.907274228219479
"hdp.29","SBS36",0.996618644591907
"hdp.38","SBS37",0.995109552223296
"hdp.32","SBS38",0.991854717305739
"hdp.3","SBS40",0.99749804963456
"hdp.42","SBS41",0.991712273258623
"hdp.7","SBS44",0.98927836167047
