"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7b","SBS7c","SBS7d","SBS8","SBS9","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS26","SBS28","SBS29","SBS30","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS44"
"hdp.1",0.999666388553461,0.0211987360964998,0.0613557342184883,0.027300136147508,0.200516545438122,0.767924345868039,0.0487739951316579,0.0705543912511536,0.0267425872678628,0.0182416545240153,0.0449256368819948,0.0769394523967133,0.0231405168758185,0.00781836922086021,0.0312664254355105,0.00964486016972321,0.00358837817155622,0.124101199688865,0.0132465724718687,0.0579810058056602,0.0165478256620847,0.160867106754137,0.115455027180348,0.038164157111887,0.025764366722826,0.045101251827588,0.0733692032949256,0.0235757405129868,0.100317765050493,0.0477734139508224,0.102859841804031,0.219795271436428
"hdp.2",0.0681060879730767,0.0273387680498501,0.466406988909793,0.113303610029192,0.686174749379939,0.106661677322626,0.0444528448799029,0.0740311165210651,0.194381009719434,0.405235092640609,0.172118053396901,0.456423239938919,0.980635621825371,0.0221216489443594,0.550541909003523,0.355872666398236,0.0433974642964339,0.0871397799793802,0.0875370204769095,0.978529930403725,0.0441525286208627,0.0756620365966854,0.0746627300952012,0.0395832648938845,0.0776585540563628,0.0680770088966506,0.800925440337211,0.0511111613043,0.271671936356724,0.414391502288309,0.374665409097902,0.378848792432211
"hdp.3",0.0162926641828811,0.993713083070686,0.0908806976441801,0.0407906550328165,0.237464343519145,0.0601331792407702,0.69137411163668,0.217063067035425,0.0601145791344422,0.0601281825228195,0.0446586851431048,0.0477205945855599,0.0376138265950864,0.0161041345789514,0.0532057802232233,0.00227539920167008,0.00129966959068417,0.0637080892547421,0.00726155293278052,0.021390490011413,0.0120116386896406,0.0396193742452965,0.445014734165239,0.0065324430519853,0.0401929713494517,0.049343364634935,0.0385054159811725,0.0229419663831537,0.0461076375658754,0.32133342170644,0.0869201915238017,0.0155547238197543
"hdp.4",0.0157153222878084,0.00575279805222484,0.237686934747037,0.0521683698524202,0.20172985923068,0.0238259794192611,0.0132213676872099,0.030013833143631,0.176226974945027,0.130921648074545,0.120005434030457,0.279621619108399,0.328497029681998,0.0077260257880053,0.0800707063631135,0.994681462762233,0.0509858111000988,0.0343810879896896,0.0616194882294853,0.354765444494723,0.0210398377567999,0.0305415604537261,0.0317253804612695,0.0118304269670321,0.0892689773591095,0.0220606191196533,0.357086304907619,0.0200897328528443,0.118678744495956,0.192720097209453,0.0922008939006653,0.0849417460233997
"hdp.5",0.00405280856536816,0.00132085474320032,0.0975706743804969,0.0118876901990385,0.088713529992783,0.00973986658590109,0.00242770800196768,0.00450800773519988,0.0335761442255054,0.0129354208869382,0.0156119844897766,0.446407537136459,0.0156767156432593,0.00243989030616787,0.0246714753930819,0.0453320296274414,0.994954159799425,0.0282959023979387,0.00988514890917358,0.0597137779993203,0.355107597386608,0.0087060503301204,0.00866177695038239,0.00302222615071512,0.0274338904717819,0.00866517857225824,0.0863637846223785,0.0205215273874974,0.0662185267757837,0.166145688251125,0.131649084476667,0.0163388607334432
"hdp.6",0.00987515396894867,0.0719276856493386,0.241939494906568,0.077103676408344,0.284813744766323,0.0380391806539359,0.0644024821444089,0.111109855650828,0.175206130820229,0.989432036828003,0.146785790017127,0.210693227654044,0.375141055637894,0.0171350979162456,0.110131984919463,0.109771230721656,0.0191766004678093,0.0773203828715949,0.0395551552006099,0.361295591495911,0.0226319144328241,0.0508935329843689,0.0894642114744097,0.111623033323107,0.0502336732333827,0.0594609961828391,0.386467722437788,0.0568222779042323,0.144556440086443,0.238341002419461,0.215536324666276,0.151722822222928
"hdp.7",0.0205153415593246,0.0358864597602163,0.284193343662463,0.103853782796862,0.216856417346492,0.0289853172030292,0.0430702168614276,0.0512789770188161,0.994202886822431,0.19938785877002,0.368899367271942,0.308189785453207,0.189685634008149,0.0275356152719747,0.0828891895187018,0.141006581949872,0.0325367866852369,0.0843133095627039,0.186926114923032,0.147405662901828,0.0754189414066234,0.0458265752235191,0.0494685328876993,0.260703934757715,0.147611800642615,0.0500735129688014,0.214437866380839,0.0353739483738207,0.176547631677013,0.330188414815875,0.511504678072924,0.17475058702135
"hdp.8",0.0334881022708214,0.344629991374034,0.849763071381672,0.621338381511183,0.773587463411978,0.192270621182582,0.39861831529037,0.399153168883401,0.377812376813398,0.239767370247066,0.662153153809583,0.606777495001451,0.347001654605469,0.309431017069181,0.3953412623436,0.174275549292322,0.204005522783525,0.59226449793929,0.170838945423517,0.314363640147445,0.326318330072917,0.517156418687348,0.498277559497292,0.159333222021129,0.509289885386167,0.520951750349874,0.460198920786181,0.321647479984077,0.637141622817276,0.993226949335531,0.540317672299507,0.408406261848536
"hdp.9",0.471621693735207,0.0397847131328402,0.139245983793352,0.0764460048789539,0.293976148118029,0.473842408385077,0.0817667674950959,0.155224496171159,0.0614409810639831,0.0663772848346641,0.0781690636951856,0.130107987761831,0.0994313943789047,0.0295981971671976,0.087299451779438,0.041635298617646,0.0178605368196877,0.132809410838932,0.033094028833066,0.115181172874216,0.0268708821908765,0.127688489965328,0.145753781790616,0.0484246794501956,0.078015485273177,0.0604659016748601,0.10989011351272,0.0310908002133339,0.137343239090167,0.143936168524851,0.125983863830035,0.153590057531737
"hdp.10",0.0392024116745892,0.246824012222841,0.175451464360402,0.0651220009797085,0.268921230568308,0.0890731387581641,0.826779742596357,0.75945378658913,0.0561794842457596,0.0537212293712434,0.0248789504111213,0.0743950834109228,0.0251866249379471,0.0107575658758047,0.0389553351325814,0.00417704628216564,0.00184146133682117,0.0721986730898904,0.00884286875680207,0.0210943481307421,0.0104580478197779,0.0198477664763103,0.571794929939268,0.0077826526845759,0.132751808333833,0.037052968017838,0.0331408137917069,0.0239450476980528,0.0631574262969899,0.264808397383681,0.0616421728165398,0.0340616011755858
"hdp.11",0.02299319047698,0.0307489124606672,0.197980564591576,0.065497601840657,0.218667583724756,0.0469263468407057,0.0478720307853413,0.061582665274552,0.104757390860082,0.0351161306973597,0.0748855477728192,0.52871366841679,0.0636772086795586,0.0190691441329213,0.116369879153564,0.0352561388786183,0.353010172157692,0.0860147627230406,0.0228942021366192,0.102267644701024,0.98216192313849,0.061378832042832,0.0989260207773706,0.0132967927462349,0.0722003942762182,0.0559761339716759,0.243433054393647,0.0347091443453841,0.149470645594562,0.333825402586502,0.508743122116259,0.10111468053569
"hdp.12",0.0251750497807127,0.0240453996087785,0.168646026004696,0.0567631891374031,0.230227694425703,0.275633095885387,0.0813274697872379,0.0757678367460723,0.0531274808916806,0.165331070081439,0.0851244213971889,0.120696692422104,0.0649297975627904,0.0113036158515031,0.0695079454583596,0.0195949795559851,0.00432454656714021,0.0620869565720467,0.030556056986469,0.0635204214831088,0.00827553667571679,0.0497837252769486,0.123588139243183,0.0565111002788447,0.0710786167189612,0.033325390078271,0.0673723096532279,0.0252739720181498,0.106294908678845,0.183998720111131,0.11149718842417,0.345903164585739
"hdp.13",0.113315734799558,0.0280509879144996,0.478901272821216,0.201401235720696,0.519782969733117,0.14599551030474,0.071978807911525,0.120994563545819,0.3262648262486,0.223809715794156,0.283026871467613,0.994092123664236,0.408396025854363,0.0630270190156972,0.33268876996649,0.275285752404774,0.478025551569613,0.268916261135908,0.188806904890698,0.412666889740657,0.554666234832762,0.176917782899039,0.130581630312691,0.231306760024261,0.194443042542066,0.247388379674215,0.607517717891102,0.0876503333369043,0.341989571120229,0.569061537930497,0.667215957238025,0.267155546753431
"hdp.14",0.180631489805766,0.0237338943401648,0.475652119768085,0.352006003498287,0.589392048970944,0.600390115214782,0.0562622198633865,0.0932733757260187,0.20358562063843,0.178834326801667,0.289744417777882,0.302497138263467,0.32733611725038,0.0348062097838711,0.202459894999823,0.0739940995725999,0.0219106641138455,0.247987228036655,0.0646014459370073,0.353685917898346,0.0652237227931685,0.272610974262849,0.396443822266073,0.131000948458275,0.339412991279247,0.209716621425732,0.302199482237671,0.250630302389947,0.254740352803643,0.46177087879235,0.328692082657947,0.992748153071651
"hdp.15",0.0173309810019225,0.036348819452894,0.370583783802611,0.707573681137442,0.195444874694014,0.0698276110926033,0.0508180624437007,0.0829727705791089,0.0491900036738625,0.0662305108053349,0.445580585116513,0.114077705262113,0.0704990312865327,0.0390710423706392,0.0925161030680542,0.0310237047905565,0.00855890540738302,0.493660418623194,0.0454085669336074,0.0620557539391706,0.0160744090797165,0.440524249749358,0.0821062462841555,0.0437090875641075,0.418361106964963,0.391377093515779,0.0662804543087891,0.993098709941137,0.167603077061134,0.355388377789229,0.0762774588479407,0.260199630143332
"hdp.16",0.0177820409193464,0.0097602473953603,0.1537184555723,0.025622170568625,0.1313955309879,0.0268895977934832,0.0152328862118714,0.0240658186537618,0.0772464516111757,0.0536334893960152,0.0454024447232181,0.40542197785648,0.046554350387616,0.00907543014840084,0.0610417669508729,0.0743859402043503,0.367894899993328,0.046484569551648,0.02046797165769,0.0952222087624961,0.582610300394956,0.0258321834695834,0.0344031003001248,0.0106467530635952,0.0557753858151501,0.0247919524591684,0.240073727722745,0.0231619569233806,0.12743788106786,0.231637766753175,0.28369331446155,0.0609804063279223
"hdp.17",0.0280753573572986,0.0384462217019275,0.310076913919746,0.616065288768176,0.241452555614588,0.0459309929714817,0.0422267485498545,0.0527250909254425,0.0561866031093661,0.0497501536696234,0.513343246419642,0.248163806546877,0.058597143153756,0.171716337693184,0.100598581109383,0.0126643854280111,0.0102644228455369,0.882536081146183,0.029382452622347,0.0435617438470719,0.0258042803249504,0.625577004234223,0.0545672147782821,0.0270950988439229,0.309564054633097,0.997230160759989,0.0611256727048588,0.321802518459872,0.166324063202248,0.475167342409283,0.0843717412324884,0.188678652118003
"hdp.18",0.0304400513826562,0.054543665501503,0.238637479047302,0.0909668965609487,0.236824832473311,0.10606670015172,0.204010761462102,0.621153584925184,0.0430001825564054,0.05925889115762,0.0554666457998253,0.0958529497218958,0.0353561860528087,0.00709814566000466,0.0363661031238562,0.0219464722602131,0.00352355297523688,0.057721874647107,0.0240248283219141,0.0413882930312851,0.00866878622658074,0.0292093769753347,0.453889349419913,0.0224530082686982,0.453926555303916,0.0400488254344313,0.0502152782834291,0.0214266684763459,0.0614939363965188,0.218079893732372,0.0545818642280255,0.0606977610034743
"hdp.19",0.017437813158371,0.0165435497538963,0.581885498714298,0.991061304119344,0.311343796974822,0.0588477904058674,0.0447783396591592,0.100594942410581,0.0969088170040618,0.0608898110415671,0.77349193585588,0.185637377563154,0.0845087324309318,0.0797464115942851,0.138276828575551,0.0341372104132674,0.00576819768138703,0.706395569055128,0.278376495923303,0.067396153269306,0.0145410406872147,0.756904777030973,0.09194554779196,0.0746119079352432,0.645394809386697,0.629337245834491,0.083532540363683,0.682113831548592,0.293883619727793,0.546898733355835,0.102728534114485,0.298169354755711
"hdp.20",0.1099790620731,0.0436577030055669,0.987475021723786,0.638551867296397,0.721277684824967,0.234681694198278,0.164534077678732,0.326044526596641,0.315999439073993,0.240233673698846,0.680852885739413,0.472101957451823,0.405923288450828,0.288023361297042,0.345228082178033,0.235473544839325,0.0949427946852934,0.408037564730123,0.325497552274787,0.366818150669465,0.116462072294634,0.444918697395526,0.349334599304284,0.12509901614282,0.636542923308586,0.304140696942677,0.468288815894697,0.334497792309352,0.796163472635597,0.823064222431069,0.444717695747506,0.435141593681803
"hdp.21",0.156692814006332,0.0513982459108803,0.4006758924053,0.706792144393217,0.325359658618339,0.182904864624578,0.087912848418004,0.0983629762690406,0.0806974223478326,0.0673224833677118,0.611820759769685,0.255277354440306,0.0697624927944894,0.109900733469898,0.111688067045601,0.0168747959130789,0.023146456818566,0.996742885322222,0.0543713751050996,0.0528940495654527,0.0371503465777629,0.8342305213155,0.121795524078062,0.0761210223137417,0.346310910834554,0.888448414269425,0.0841056736497588,0.445180555505461,0.221507661825459,0.537412126370123,0.136003543196252,0.229515994199588
"hdp.22",0.0288837860243737,0.698366683900511,0.179162391741729,0.0674169913937379,0.314468740580644,0.0971446737436421,0.987440029108431,0.642802634062674,0.0784786024179578,0.0467378125794979,0.0397927384218892,0.0786751046289773,0.0352858372247989,0.0166963375322349,0.0444725206890071,0.00389690409388499,0.00169569318237273,0.0887720270040626,0.0110952037845961,0.0257451911112558,0.013981695492012,0.0326250957425386,0.678836646011895,0.00914155232467861,0.129086290913057,0.0518175091631629,0.0399306159372051,0.0283855461338567,0.0688515352538241,0.363886734182437,0.0861137002730937,0.036196943409937
"hdp.23",0.0990412830086956,0.0354436074793563,0.367978392209914,0.158726194231453,0.534925098829325,0.342806281847408,0.0861348613348947,0.139031223976806,0.0962411798240743,0.13822700116122,0.167728394459603,0.235566545217849,0.23226552705214,0.0771093343357456,0.142788374225546,0.0596839735780965,0.0350619107716085,0.153291456329867,0.0643895745286099,0.233482028828344,0.0767030517304564,0.108429783123752,0.508995326697505,0.0456612052999802,0.13293882585362,0.115926325768298,0.227003000527507,0.050904702060624,0.250642205908783,0.406863677972197,0.213036064661744,0.59468047329991
"hdp.24",0.215299321795127,0.243225503862035,0.746672859673725,0.328244655413259,0.995464502262241,0.438796716809694,0.349513200903988,0.42541327715545,0.225061723337823,0.320407637490047,0.39346001944241,0.543218732416629,0.678758051427882,0.130208458804498,0.661373433839674,0.195137140679149,0.0810539658150459,0.309197870925837,0.187020137341764,0.670577273640228,0.13261697077426,0.281767332216827,0.555163861006476,0.117413416029573,0.345096334438646,0.224144382834697,0.655712866863735,0.121363547376429,0.523511437146856,0.780560659262334,0.458685898525827,0.599679241648632
"hdp.25",0.0138663229543509,0.0111726128092572,0.28850613593154,0.0958257335348852,0.159370191230312,0.0187259443982524,0.014912376395436,0.0157557480976579,0.0448622590026764,0.0155978571379961,0.0628419804075974,0.0753069501139034,0.0259079204616605,0.992811683667081,0.10339989965133,0.00681987200390655,0.00353309029422888,0.117956308365745,0.0127448350282131,0.0197941577542168,0.00553357055179993,0.0647277692675028,0.0215773534861788,0.00854434922357405,0.132745372781037,0.158188923430545,0.0312768547349275,0.0267814249660859,0.486857999958017,0.296301873290092,0.266096382491057,0.0366054880134432
"hdp.26",0.0770010366986718,0.0412850130558688,0.537009372399266,0.123518166736556,0.656963920548284,0.0944441281455987,0.0506028222507144,0.0819624642668582,0.25088070799326,0.442238322891989,0.197234542818526,0.6250067441774,0.809530942861994,0.0392677426687692,0.560908653060703,0.3658547072715,0.105404920867178,0.106360917026309,0.0990142689836848,0.744536738644294,0.230320847469482,0.0860327681678225,0.0957206981915526,0.0479983542029844,0.113708442684659,0.0734416119322353,0.995321411425252,0.0581975836549681,0.41411255774541,0.519838600306743,0.505066756341977,0.295585750804668
"hdp.27",0.230253806004758,0.0923501869336855,0.0483391153661124,0.0204232435962425,0.168999845736829,0.201610630325393,0.199833691972012,0.206003663344182,0.015178127508555,0.0304687590055358,0.0230467566951661,0.0444998040417955,0.0145361492429149,0.00565429693536801,0.0239233578861653,0.00437688984741613,0.00190240455525814,0.0689015172734371,0.00799998513905165,0.0246722001854293,0.00610155377214849,0.0774172090087007,0.101918771596138,0.0247750457863908,0.0318274552988821,0.0254165375833342,0.0350831378707877,0.016584865622301,0.0542448159655987,0.0624872032587396,0.0519967765077044,0.0445451413362494
"hdp.28",0.09130974269019,0.182362664130971,0.51710075213707,0.177010606926005,0.779179017325944,0.255167543857108,0.286327173127026,0.293451013012611,0.147100166321148,0.335648541121738,0.264132626030795,0.419697075821617,0.598468878712326,0.0663227149171584,0.585029755035694,0.117462908098879,0.0371756984454451,0.173866609342802,0.0877441975358909,0.511253874245088,0.0635609647480014,0.138163305646694,0.395360354397864,0.0616802739302906,0.171573062599453,0.126831308042922,0.522611450108993,0.076923903021596,0.337310168719675,0.565402966029556,0.327106540921032,0.400614315786192
"hdp.29",0.0230802282782915,0.016387618956939,0.343390591570175,0.292079237588536,0.238384359452563,0.0357998888050013,0.0340679691761114,0.0504241385686995,0.191666891519384,0.0563963368273436,0.454373745509512,0.219201814659716,0.1211507064096,0.0258733156180286,0.187550328751728,0.076843737020168,0.0163601385173965,0.0771788095163176,0.988770407038656,0.104746101316331,0.0177070527199,0.0584564163523333,0.0508236906617797,0.300818598637973,0.444584044730769,0.0462310382719413,0.125631230592885,0.0288585967574265,0.192833094178912,0.222056298960656,0.253461463378019,0.0878780563164245
"hdp.30",0.0637367711099217,0.0186866349879827,0.235950002360897,0.151931879845854,0.226241630623434,0.0778824390958883,0.0368016164319046,0.070686232085785,0.292714237436742,0.160707747679935,0.323748491663283,0.307491252048828,0.108009669869154,0.0280353259408883,0.140543147509717,0.0320124357281439,0.0141041116047858,0.132165370006427,0.337310404688351,0.0878175154063898,0.0309095388854836,0.082891546874591,0.0699426671832417,0.988800608705537,0.132129331854126,0.063203289645568,0.111004996626338,0.053842680835119,0.176727192796928,0.256252006242935,0.63497882448956,0.209279744371518
"hdp.31",0.0671422529816068,0.0676007073216113,0.710210976269603,0.799782350285554,0.494169864794353,0.103366691363341,0.10136611760748,0.130808654591937,0.398050344313025,0.177035463784685,0.990191976636869,0.336917110670581,0.227132152013625,0.0677657165588432,0.265294988354384,0.144668933168476,0.0234948602378627,0.629153819009716,0.469900495955712,0.190992230255615,0.0338536931560839,0.679724447917263,0.135731340898255,0.261097127591195,0.671879146067005,0.521162823001728,0.223066692905661,0.414773417240765,0.387715640991626,0.682967134729289,0.311667858954345,0.299435758688351
"hdp.32",0.136268201893608,0.0656328300895761,0.473130651239186,0.146902190705364,0.45508662688016,0.163231774292951,0.0734946966910636,0.0968501524167191,0.564116400346371,0.269647281635881,0.308237888343953,0.67901354763101,0.386829958223872,0.244850399898456,0.239389144946618,0.0959594369102956,0.176754065086474,0.16053725829968,0.252046532602818,0.304215798133269,0.446925566627542,0.0961984844696084,0.125716579947253,0.609457539430639,0.178205246339214,0.0987354390135312,0.482544721805403,0.0513135756430803,0.408253563337739,0.52795712843996,0.990858772593014,0.317189087631982
"hdp.33",0.0323310510675179,0.0924121026280084,0.224743731385426,0.323188742945927,0.203897723209502,0.0590989105905592,0.0866203872861186,0.0831967715770121,0.0641049729438605,0.0658152019063583,0.28948902046966,0.192172586582993,0.0819509924245633,0.208659226441136,0.104969576752951,0.0345496117393873,0.0284694069253884,0.409695818865329,0.04160356906058,0.0687784045018768,0.0588961576627149,0.297970900831844,0.103666126509829,0.0358953407659486,0.139395109767829,0.544761973373773,0.0895287142335655,0.0902134772637756,0.158660071729719,0.375719388916744,0.0978173448045412,0.0817550031493735
"hdp.34",0.105691537642538,0.0634863712296225,0.522895953540672,0.758798610017586,0.418229934410087,0.172676036973312,0.0947754533841101,0.116032535074424,0.0863887062164128,0.0928639763914147,0.696179625145658,0.244537076206919,0.149968458242478,0.0984423197666807,0.200779434607682,0.0694516401229605,0.0161452353701502,0.794563538667015,0.0666242494151065,0.142962447548976,0.0338791683338793,0.983281423448492,0.15647768338987,0.0385484431656421,0.522889603716479,0.631981276904895,0.158105532372838,0.386228656823474,0.309736328497873,0.581033612002231,0.130360536470034,0.305796450081599
