"ex.sig","ref.sig","sim"
"signeR.1","SBS5",0.975054326115556
"signeR.2","SBS40",0.982181730372288
"signeR.3","SBS7a",0.963977772127966
"signeR.4","SBS4",0.963416162111085
"signeR.5","SBS3",0.994586228482363
"signeR.7","SBS1",0.998720177984952
"signeR.9","SBS2",0.994974570630692
"signeR.10","SBS44",0.966967118719933
"signeR.11","SBS17b",0.999814307878273
"signeR.13","SBS18",0.98228448417269
"signeR.15","SBS13",0.999793428057121
"signeR.16","SBS26",0.979434992174636
"signeR.17","SBS7c",0.997410656261653
"signeR.18","SBS17a",0.999543976448101
"signeR.23","SBS7d",0.994584997800979
"signeR.25","SBS7b",0.932231014771519
