Approach,Noise_level,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_sigs,FN,FP
signeR,Noiseless,seed.145879,0.708333333333333,0.53125,0.994035570610758,2.233618903944091,24,15,7
signeR,Noiseless,seed.200437,0.727272727272727,0.5,0.99407948796539,2.221352215238117,22,16,6
signeR,Noiseless,seed.310111,0.64,0.5,0.988375678979811,2.128375678979811,25,16,9
signeR,Noiseless,seed.528401,0.833333333333333,0.46875,0.986736200659402,2.288819533992735,18,17,3
signeR,Noiseless,seed.1076753,0.75,0.5625,0.994182796211817,2.306682796211817,24,14,6
signeR,Realistic,seed.145879,0.575757575757576,0.59375,0.980743886548871,2.1502514623064473,33,13,14
signeR,Realistic,seed.200437,0.620689655172414,0.5625,0.982473111497071,2.165662766669485,29,14,11
signeR,Realistic,seed.310111,0.576923076923077,0.46875,0.978820845610858,2.024493922533935,26,17,11
signeR,Realistic,seed.528401,0.56,0.4375,0.981652090343084,1.9791520903430841,25,18,11
signeR,Realistic,seed.1076753,0.551724137931034,0.5,0.982810996506863,2.0345351344378972,29,16,13
SigProfilerExtractor,Noiseless,seed.145879,0.76,0.59375,0.983968321604077,2.337718321604077,25,13,6
SigProfilerExtractor,Noiseless,seed.200437,0.944444444444444,0.53125,0.978428111782808,2.4541225562272517,18,15,1
SigProfilerExtractor,Noiseless,seed.310111,0.72,0.5625,0.987321206006796,2.269821206006796,25,14,7
SigProfilerExtractor,Noiseless,seed.528401,0.944444444444444,0.53125,0.977186144457213,2.4528805889016567,18,15,1
SigProfilerExtractor,Noiseless,seed.1076753,0.72,0.5625,0.988145990499847,2.270645990499847,25,14,7
SigProfilerExtractor,Realistic,seed.145879,0.916666666666667,0.34375,0.962918424511739,2.2233350911784058,12,21,1
SigProfilerExtractor,Realistic,seed.200437,0.846153846153846,0.34375,0.963640877300637,2.153544723454483,13,21,2
SigProfilerExtractor,Realistic,seed.310111,0.944444444444444,0.53125,0.972835636366253,2.448530080810697,18,15,1
SigProfilerExtractor,Realistic,seed.528401,0.846153846153846,0.34375,0.964313312168733,2.154217158322579,13,21,2
SigProfilerExtractor,Realistic,seed.1076753,0.923076923076923,0.375,0.958883805051522,2.256960728128445,13,20,1
SignatureAnalyzer,Noiseless,seed.145879,0.76,0.59375,0.987449942780734,2.341199942780734,25,13,6
SignatureAnalyzer,Noiseless,seed.200437,0.76,0.59375,0.987355596296503,2.341105596296503,25,13,6
SignatureAnalyzer,Noiseless,seed.310111,0.76,0.59375,0.987363623236754,2.3411136232367538,25,13,6
SignatureAnalyzer,Noiseless,seed.528401,0.76,0.59375,0.987566732753516,2.341316732753516,25,13,6
SignatureAnalyzer,Noiseless,seed.1076753,0.76,0.59375,0.986835266971521,2.3405852669715212,25,13,6
SignatureAnalyzer,Realistic,seed.145879,0.19047619047619,0.375,0.978139791996592,1.543615982472782,63,20,51
SignatureAnalyzer,Realistic,seed.200437,0.19047619047619,0.375,0.970489316937565,1.535965507413755,63,20,51
SignatureAnalyzer,Realistic,seed.310111,0.17741935483871,0.34375,0.969148332098816,1.490317686937526,62,21,51
SignatureAnalyzer,Realistic,seed.528401,0.209677419354839,0.40625,0.965288666679937,1.581216086034776,62,19,49
SignatureAnalyzer,Realistic,seed.1076753,0.19047619047619,0.375,0.968395248534633,1.533871439010823,63,20,51
mSigHdp,Realistic,seed.145879,0.684210526315789,0.8125,0.987723329355012,2.484433855670801,38,6,12
mSigHdp,Realistic,seed.200437,0.78125,0.78125,0.990491184815968,2.552991184815968,32,7,7
mSigHdp,Realistic,seed.310111,0.684210526315789,0.8125,0.99087944590986,2.487589972225649,38,6,12
mSigHdp,Realistic,seed.528401,0.742857142857143,0.8125,0.990219987594533,2.545577130451676,35,6,9
mSigHdp,Realistic,seed.1076753,0.735294117647059,0.78125,0.991522547424943,2.508066665072002,34,7,9
mSigHdp_ds_3k,Realistic,seed.145879,0.925925925925926,0.78125,0.992657970915991,2.699833896841917,27,7,2
mSigHdp_ds_3k,Realistic,seed.200437,0.862068965517241,0.78125,0.992250121615821,2.635569087133062,29,7,4
mSigHdp_ds_3k,Realistic,seed.310111,0.923076923076923,0.75,0.992382695936197,2.66545961901312,26,8,2
mSigHdp_ds_3k,Realistic,seed.528401,0.892857142857143,0.78125,0.99170260402899,2.665809746886133,28,7,3
mSigHdp_ds_3k,Realistic,seed.1076753,0.892857142857143,0.78125,0.991736056332528,2.665843199189671,28,7,3
