"ex.sig","ref.sig","sim"
"hdp.1","SBS1",0.999339040565012
"hdp.2","SBS2",0.997142475466373
"hdp.3","SBS13",0.999631791900323
"hdp.4","SBS40",0.997521140763357
"hdp.5","SBS17a",0.996802943400739
"hdp.6","SBS17b",0.997602330417023
"hdp.7","SBS5",0.997625431555285
"hdp.8","SBS7c",0.998122528448335
"hdp.9","SBS3",0.98950968288484
"hdp.10","SBS34",0.988579586561256
"hdp.11","SBS22",0.990584331823098
"hdp.12","SBS9",0.995642528546845
"hdp.13","SBS26",0.988284924139104
"hdp.14","SBS37",0.995652511327009
"hdp.15","SBS7d",0.998705315771549
"hdp.16","SBS44",0.99563978401499
"hdp.17","SBS28",0.990240870281761
"hdp.18","SBS8",0.989535589852901
"hdp.19","SBS36",0.997227809424104
"hdp.20","SBS12",0.996916112041286
"hdp.23","SBS18",0.995126656397758
"hdp.24","SBS4",0.996575054383672
"hdp.26","SBS29",0.982679005689404
"hdp.27","SBS41",0.989887900110565
"hdp.28","SBS16",0.971502579160073
"hdp.29","SBS7b",0.98356208996373
