"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7b","SBS7c","SBS7d","SBS8","SBS9","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS26","SBS28","SBS29","SBS30","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS44"
"hdp.1",0.99938946666513,0.0264862949019675,0.079649214368945,0.035323598901736,0.225503735954599,0.773843519238394,0.0576220470485903,0.0822635129551874,0.0324439897778751,0.026416033183163,0.054441840250493,0.0900118339714789,0.040240618567934,0.0109167743058585,0.0480776627877301,0.014378057853441,0.00524869036787001,0.13136564984735,0.0179466933320229,0.0743107554529779,0.0196862455221063,0.167102808827951,0.12894384619105,0.041486797183891,0.0341869459965424,0.0499910198211274,0.0892566012875738,0.0261890551825746,0.113023452152799,0.0669767604252828,0.113844651096364,0.231439854812809
"hdp.2",0.0169967133816847,0.996690229737472,0.0946411705435952,0.0423674240432395,0.243565299018665,0.0620647571238123,0.700845576613538,0.23311444614297,0.0604214942022058,0.0643924131548211,0.0456235894450338,0.0495543789674378,0.0388371111560191,0.0162994155275371,0.0558562531704619,0.00247891422248214,0.00145187671538893,0.0644773172987968,0.00746681820281547,0.022283129031372,0.0122461184907442,0.0401868868324203,0.452379914551822,0.00620209036257113,0.0425482667308833,0.0499930795717939,0.0400582836544272,0.023518933632514,0.0478137607887212,0.326319250070786,0.0884868015051645,0.0172122745853965
"hdp.3",0.0193790609501082,0.0190059390958074,0.291638653395091,0.101182676185076,0.166433243776088,0.0246493927780796,0.0211642715290957,0.019460994023848,0.044566454421662,0.0188606572778123,0.0683798965858794,0.0790524833571156,0.0294691219607275,0.999644182636853,0.102341539917386,0.00920779940033223,0.00401074845304561,0.123912417141395,0.0150137504194746,0.0237315121504238,0.00703489205423857,0.0701279181950197,0.0272911058238048,0.00890109853661825,0.13124495763216,0.163797787201869,0.0358208016044959,0.0280188205877745,0.489358583994736,0.301336546788778,0.263208816776287,0.040125035900863
"hdp.4",0.198223775067461,0.243713519368671,0.764014008682584,0.347297113663598,0.997656739133686,0.424617415925322,0.344799169488129,0.414262109277125,0.233902574067666,0.326230742001899,0.412533854637826,0.555371778670504,0.685264266025414,0.139490482890355,0.665675220558847,0.198497330520689,0.0872073134579763,0.324041772268406,0.194617102805785,0.675978533251784,0.134531850334663,0.294628177190685,0.54438664102608,0.123652822112653,0.353579965267002,0.240307309400224,0.666061845031423,0.132346542712067,0.538305153686478,0.79658085683766,0.468431868303806,0.602815060982466
"hdp.5",0.0298608916091622,0.00538095189374355,0.247990160379897,0.0572081238541171,0.210772862791262,0.0351503940891994,0.0136662315430264,0.0316810187493511,0.180024779923751,0.131959978597472,0.130942952588849,0.284788080899216,0.337459124123797,0.00880943079806418,0.0830236202525725,0.997125934996207,0.0520002937176579,0.0371897633849074,0.0705037134379123,0.362598254419626,0.0206424928469402,0.0343471968711286,0.0333915692808281,0.0127568155822047,0.100327293726092,0.0235381093246573,0.362780593457684,0.0214586213788396,0.125079421718493,0.199130298945623,0.0973122778041702,0.091288167002316
"hdp.6",0.0413010779545566,0.338275090276928,0.866955265382387,0.62212839855911,0.797042753820359,0.206947173470309,0.391921785021334,0.397620004848864,0.376240074592504,0.250747469913546,0.665473876404203,0.617391462006611,0.374560331836987,0.308579107414023,0.408243480689871,0.182036973212613,0.199845570600852,0.589779441905913,0.183818748667144,0.343292837556203,0.313462482417719,0.518189445959422,0.500401420356596,0.164127723310241,0.51756538815737,0.517346041928264,0.483620687152928,0.320118109595669,0.652982746445426,0.99747958701541,0.54718930014695,0.431877222612126
"hdp.7",0.00448564843243426,0.00131819267200217,0.102904757590339,0.0126807883047446,0.0926555966508313,0.0101778983940011,0.00235134746010246,0.00470718987592855,0.0367048103752254,0.0147602355547235,0.0176407407701816,0.459059424729865,0.0173956750999267,0.00290969958521903,0.0263692109688337,0.0495179748218855,0.998049898925274,0.0298652234995487,0.0108865816896706,0.0628181274870754,0.378404906105581,0.00945823568904114,0.00920039275169715,0.003567241905584,0.0296808862200107,0.00961109943653515,0.095946889278863,0.0211168857304422,0.0709154417944503,0.174674369891034,0.143016002178473,0.0181417401459465
"hdp.8",0.0860412900213916,0.0871049076041276,0.475469594137548,0.185585943878709,0.760932502089361,0.172726931768551,0.153637122248676,0.20457157656039,0.119117385548415,0.198261301103193,0.247729771196444,0.383471163872741,0.632263548503623,0.0844438643245917,0.963798709750404,0.113590513240756,0.0341042820075176,0.144265476041803,0.152229661624129,0.620225842430701,0.047579630289732,0.125667508398761,0.225516162799969,0.0765589179090208,0.170372920198248,0.121163944129063,0.635750448321222,0.0707869671694806,0.320691955946114,0.498702518470898,0.29578860790172,0.317447123456077
"hdp.9",0.0394547644850716,0.252509377098307,0.190334862149534,0.0695118070596831,0.283166174006281,0.103143722355733,0.847065939019933,0.768439196285891,0.0620985904395527,0.0496228193010125,0.0286356381454831,0.0807234017617907,0.026267729315139,0.0113873068256305,0.0369097714416553,0.00524200465482216,0.00197455269291746,0.0782479669254457,0.0103697452530951,0.0230765089682106,0.0110679838802012,0.0222461719054388,0.607661080182312,0.0104514347916447,0.149062167507976,0.0390686950115022,0.0342603517585391,0.024928682309131,0.0686894686153995,0.280416941813211,0.0648965675808285,0.0477922442384062
"hdp.10",0.116093629813286,0.0482778061279007,0.98930368441722,0.638612118565442,0.725272583736812,0.240580982928854,0.16751754113338,0.324376311367258,0.320694369321916,0.243641457676095,0.686388162013866,0.485597502062921,0.408618297495736,0.29073613705323,0.340146785712097,0.240721561975096,0.0993129846951116,0.417793102797128,0.327485394780507,0.369776010380393,0.123246107585554,0.451563351376039,0.348366724729809,0.13351093111924,0.63767280816848,0.314525017722967,0.476536425027937,0.333949262433015,0.800980524913126,0.830129387966264,0.455142535550149,0.43830832585646
