Signature,NumberOfPostSamples
low confidence hdp.1,2550
low confidence hdp.2,2194
low confidence hdp.3,2000
low confidence hdp.4,1800
low confidence hdp.5,1200
low confidence hdp.6,1130
low confidence hdp.7,959
low confidence hdp.8,804
low confidence hdp.9,781
low confidence hdp.10,599
low confidence hdp.11,579
low confidence hdp.12,400
low confidence hdp.13,200
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,32
low confidence hdp.17,23
low confidence hdp.18,5
low confidence hdp.19,4
low confidence hdp.20,3
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
low confidence hdp.26,2
low confidence hdp.27,2
low confidence hdp.28,2
low confidence hdp.29,2
low confidence hdp.30,2
low confidence hdp.31,2
low confidence hdp.32,2
