"ex.sig","ref.sig","sim"
"hdp.1","SBS1",0.999305886319695
"hdp.2","SBS12",0.993716285343689
"hdp.3","SBS2",0.998886759665286
"hdp.4","SBS13",0.999781960951577
"hdp.5","SBS5",0.999538530308138
"hdp.6","SBS17b",0.999316634846019
"hdp.7","SBS40",0.998419358258013
"hdp.8","SBS17a",0.998852891188632
"hdp.9","SBS22",0.989737882448017
"hdp.10","SBS7d",0.99893250144127
"hdp.12","SBS36",0.997740164896912
"hdp.13","SBS44",0.995662898241022
"hdp.14","SBS3",0.995383942620716
"hdp.15","SBS7c",0.998409307394464
"hdp.16","SBS8",0.990411635272146
"hdp.17","SBS34",0.988973880680269
"hdp.18","SBS4",0.999357000369723
"hdp.19","SBS18",0.993900869081146
"hdp.20","SBS9",0.995438788558085
"hdp.21","SBS28",0.990312601195722
"hdp.22","SBS37",0.996234218983715
"hdp.23","SBS29",0.988353748665299
"hdp.24","SBS41",0.99124815924239
"hdp.26","SBS30",0.927063183665512
"hdp.27","SBS7b",0.981273950758063
