Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I
DEL,C,1,0,0.00217106,4.07e-06,0.0047887,0.03202777,0.09267916,0.02513018,0.35070989,0.01556352,0.00320414
DEL,C,1,1,7.9e-07,1.826e-05,0.00719433,0.01926617,0.22582444,0.00214923,0.09074544,0.00107947,9.821e-05
DEL,C,1,2,0,0,0.00907859,0.00133461,0.20052025,0.00337936,0.00056313,0.00130692,0
DEL,C,1,3,0.00239653,0.00201151,0.00698989,0.00551565,0.07282886,0.00015592,0.01046752,0.00107586,0.00054046
DEL,C,1,4,0.00370377,0.00065538,0.00022213,0.00101911,0.04286335,0.00163119,0.01427804,0.00240673,0.00129055
DEL,C,1,5+,0.01551303,0.00255906,0.00014675,0.0018698,0.02561695,0.00095004,0.00091487,0.00285645,0.00350512
DEL,T,1,0,0.00674262,0.00160157,0.11020705,0.04283151,0.02946968,0.00206304,0.1148239,0.00640344,0.01625948
DEL,T,1,1,0,0,0.20401742,0.02240489,0.00301705,7.438e-05,0.00530639,0.02027675,1.868e-05
DEL,T,1,2,0.00731368,0.00032382,0.12474135,0.01681832,0.00760243,0.00853803,0.08683833,0.00303163,0.00597181
DEL,T,1,3,0.02024752,0.00205627,0.10051804,0.01374938,0.00753672,0.01942802,0.11318482,0.00713552,0.01283706
DEL,T,1,4,0.04728452,0.0044853,0.0482968,0.0089298,0.00698365,0.01448414,0.10827484,0.00765257,0.01070001
DEL,T,1,5+,0.81666181,0.00051081,0.00397787,0.00063891,0.0010917,3.495e-05,0.01149823,0.00114225,0.06478627
INS,C,1,0,0,0,5e-08,1.1e-07,1.4e-07,2e-08,1.8e-07,1.3e-07,0.51150424
INS,C,1,1,0.00022501,4.42e-06,0.00583924,0.00259792,0.0063788,0.00142443,0.00032346,0.00012314,0.01401891
INS,C,1,2,2.326e-05,3.46e-06,0.00554962,0.0022119,0.00407593,5.937e-05,0.0002618,9.965e-05,0.00048999
INS,C,1,3,0.00041767,0.00079171,0.00057688,0.0003439,0.00855385,0,0.00014205,0.00068466,0.00072687
INS,C,1,4,0.00288623,0.00145901,2.98e-06,0.00087239,0.00801158,0.00025515,0.00032715,0.00025036,0.00073536
INS,C,1,5+,0.00874807,0.02220763,1.137e-05,0.00949861,0.00829435,3.905e-05,0.00183154,0.00327832,0.00256092
INS,T,1,0,0.0010876,0.00231764,0.01175059,0.00489752,0.0159591,0.00604202,0.01408153,0.00568834,0.03683013
INS,T,1,1,2e-07,3.89e-06,0.01445874,0.00599938,0.0619592,0.00028788,0.00506667,0.00047786,0.00281465
INS,T,1,2,0.00064412,2.926e-05,0.02946484,0.00345364,0.05559736,0,0.0013659,0.00052641,0.00142454
INS,T,1,3,0.00116021,0.00371371,0.02308708,0.00392609,0.031119,3.348e-05,0.00114951,0.00096159,0.00026247
INS,T,1,4,0.00374849,0.01513633,0.01462595,0.00620449,0.00838052,0.00049774,0.00328427,0.0020807,0.00487298
INS,T,1,5+,0.00293652,0.90375158,0.00037682,0.01601979,0.00198078,0.00559035,0.01834248,0.01126063,0.17866521
DEL,repeats,2,0,3.102e-05,0.00016188,0.02531541,0.00949187,0.00893084,0.0003783,0.01248217,0.0881848,0.00195142
DEL,repeats,2,1,0.00311369,0.00015222,0.01420114,0.00819954,0.01203633,0.00064585,0.00131893,0.1891508,0.00879625
DEL,repeats,2,2,0.00177038,0.00043611,0.00200309,0.00035312,0.0126546,0.00156393,0.00015442,0.04380885,0.00280134
DEL,repeats,2,3,0.00095092,0.00015334,0,3.344e-05,0.00598094,0.00035301,1.167e-05,0.00970287,0.00031813
DEL,repeats,2,4,0.00091462,7.03e-06,0.00032903,0.00027089,0.00320506,0.00013409,0.00023941,0.00326679,0.00035327
DEL,repeats,2,5+,0,1e-08,0.02190388,0.00336901,0.00029725,2e-08,0.00090501,0.00126018,0
DEL,repeats,3,0,1.883e-05,2.909e-05,0.01759483,0.01369683,0.00164997,0.00149217,0.00147405,0.00485695,0.00151349
DEL,repeats,3,1,0.00463171,0.00425895,0.000623,0.0027682,2.398e-05,0.00366851,0.00239333,0.09990183,0.00591293
DEL,repeats,3,2,0.0021359,0.00059672,0.00043157,0.00040231,5.55e-06,0.00046377,0.0007506,0.01336239,0.00166436
DEL,repeats,3,3,0.00051993,0.00032813,0.00034923,0.00046635,3.855e-05,0.00012463,0.0002954,0.0036185,0.00039761
DEL,repeats,3,4,0,1e-08,0.00600416,0.00060091,8.33e-06,2e-08,0.00021051,0.00045932,6.21e-06
DEL,repeats,3,5+,0,1e-08,0.00872096,0.00099056,0.00023809,5.601e-05,0.0003483,0.00039438,2.56e-05
DEL,repeats,4,0,1.85e-06,6.187e-05,0.01170771,0.00734651,0.00020256,0.00257654,0.00081802,0.00564237,0.00024411
DEL,repeats,4,1,0.00197219,0.00053736,0.00019352,0.00088248,0.00101013,0.00234489,0.00281703,0.05403863,0.0011321
DEL,repeats,4,2,0.00045768,0,8.04e-06,3.19e-06,0,0.00049319,7.698e-05,0.01046975,0.0006382
DEL,repeats,4,3,2.6e-07,0,0.00357195,0.00045354,1.646e-05,0.00011514,0.00013811,0.00369801,6.661e-05
DEL,repeats,4,4,0,5e-08,0.00487705,0.00067027,0.00016234,1.851e-05,0.00018266,0.00010704,0
DEL,repeats,4,5+,0.00018363,2.867e-05,0.00150701,0.00017042,8.391e-05,7.532e-05,5.762e-05,0.00072054,5.003e-05
DEL,repeats,5+,0,0,0,0.01820264,0.25746256,0.00145641,0.03224321,0.00068805,0.0023934,0.00063927
DEL,repeats,5+,1,0.00317316,4.3e-07,0.00010825,3.614e-05,1.7e-07,0.00700353,0.0003004,0.01190063,0.00057049
DEL,repeats,5+,2,0.0004303,8.977e-05,0.00025172,0.00029015,2.014e-05,0.00044903,7.508e-05,0.00270652,3.977e-05
DEL,repeats,5+,3,0.00013441,8.22e-06,0.00017862,2.849e-05,3.495e-05,0.00016503,0.00015439,0.00096242,9.826e-05
DEL,repeats,5+,4,8.815e-05,1.02e-06,4.146e-05,1.19e-05,4.823e-05,7.092e-05,0.00012148,0.00013925,1.417e-05
DEL,repeats,5+,5+,4.034e-05,1.905e-05,0.00068828,9.175e-05,3.2e-07,0,4.216e-05,0.00011702,2.679e-05
INS,repeats,2,0,0.00024124,0.00058755,0.00819226,0.002409,0.00207999,0.00194287,0.00101154,0.00118866,0.02478517
INS,repeats,2,1,0.00028404,6.05e-06,0.01971789,0.00315244,0.00348048,0.00017049,0.00120941,0.00048776,3.85e-06
INS,repeats,2,2,0.00102786,0.00025112,0.00742382,0.00104857,0.00145046,0.00037765,0.00048199,0.00014154,0.0011027
INS,repeats,2,3,0.00046774,0.00045733,0.00123257,0.00054296,0.00089353,0.00037109,0.00044762,0.00030356,0.00094803
INS,repeats,2,4,0.00218722,0.00262253,3.596e-05,0.00100047,0.00022891,5.67e-05,0.00039318,0.00033289,0.00343577
INS,repeats,2,5+,0.01622364,0.016634,0.00060962,0.01121038,4.23e-06,5.494e-05,0.00265615,0.00325116,0.0004063
INS,repeats,3,0,2.604e-05,5.144e-05,0.00403059,0.0007113,0.0002633,0.00098724,0.000582,0.00013365,0.00771743
INS,repeats,3,1,0.00112739,0.0003927,0.00675389,0.00112184,0.00040537,0.00010711,0.00077846,0.00062957,0.00295715
INS,repeats,3,2,0.00018565,5.103e-05,0.00133475,0.00016149,0.00016517,0.00076969,5.199e-05,0.00106334,0.00030388
INS,repeats,3,3,1.926e-05,0.00016213,1.94e-05,8.221e-05,3.59e-06,0.00028894,3.224e-05,1.431e-05,0.00027763
INS,repeats,3,4,0.00012937,0.00010538,1.252e-05,0.00011432,2.281e-05,0.00014875,5.859e-05,0.00012997,0.00088157
INS,repeats,3,5+,0.0021905,0.00116865,1.433e-05,0.00053702,1.12e-05,1.06e-06,0.00019266,0.00022102,0.00186281
INS,repeats,4,0,1.952e-05,1.8e-06,0.00272053,0.00085693,3.734e-05,0.00161854,9.901e-05,0.00048257,0.005003
INS,repeats,4,1,0.00123896,0.00071509,0.00450365,0.00142164,2.759e-05,0.0006824,0.00129824,0.00169748,0.00173432
INS,repeats,4,2,5.61e-06,5.134e-05,0.00030614,0.00016138,0.00013561,0.0004137,4.489e-05,2.29e-05,5.609e-05
INS,repeats,4,3,0.00024608,5.897e-05,8.2e-07,3.822e-05,2.31e-06,0.0003602,7.53e-06,6.934e-05,0.00077269
INS,repeats,4,4,0.00015865,0.00039762,1.33e-05,0.000206,2.51e-06,1.277e-05,0.00017299,0.00026496,0.00139847
INS,repeats,4,5+,0.00229997,0.00091977,0.00080356,0.00132012,9.54e-06,9.364e-05,0.00013267,0.00026407,0.00019226
INS,repeats,5+,0,0,2e-08,0.00495765,0.00046736,5.444e-05,0.00817282,0.00016074,0.00011506,0.00268224
INS,repeats,5+,1,4.345e-05,0.00174511,0.0069496,0.01028522,0.00024544,0.00605766,0.00155577,0.00276656,0.02358275
INS,repeats,5+,2,1.119e-05,0.00024756,0.00034793,8.636e-05,6.02e-06,0.00123115,3.678e-05,4.458e-05,0.00052534
INS,repeats,5+,3,9.485e-05,0.00022947,0.00016348,0.00015908,9.237e-05,5.658e-05,0.00015511,5.555e-05,0.00010265
INS,repeats,5+,4,9.74e-06,0.0002183,0.00015681,5.817e-05,1.119e-05,2.051e-05,0.00017009,1.218e-05,1.653e-05
INS,repeats,5+,5+,7.577e-05,0.00020273,0.00062701,0.00045789,4.496e-05,1.533e-05,4.063e-05,3.732e-05,0
DEL,MH,2,1,2.405e-05,6.023e-05,0.01998861,0.00235838,0.0099642,7.848e-05,0.00084761,0.19967218,0.00516035
DEL,MH,3,1,4.94e-06,7.75e-06,0.01384171,0.01128847,0.00115554,0.00140616,0.001491,0.0061715,0.00123143
DEL,MH,3,2,0.00270223,0.00162042,0.00706727,0.0040758,0.00064705,0.0038932,0.00068778,0.04133816,0.00389205
DEL,MH,4,1,6.237e-05,5.971e-05,0.00882359,0.00551125,0.00036511,0.00270514,0.00185082,0.01207498,0.00015508
DEL,MH,4,2,0.00052154,5.125e-05,0.0043477,0.00120664,0.00038856,0.00907956,0.00151077,0.02993723,0.00102157
DEL,MH,4,3,0.0005539,3.92e-06,0.00106513,0.0001973,6.7e-06,0.00463289,0.00169718,0.04648873,0.00225123
DEL,MH,5+,1,0.00052326,0,0.00433527,0.29015304,0.00092477,0.08747688,0,0.00025667,0.00186884
DEL,MH,5+,2,2e-08,1e-08,0.00201768,0.09744416,0.00106099,0.259915,4.396e-05,1.322e-05,0.00153868
DEL,MH,5+,3,0,1.1e-07,0.0020647,0.01799895,0.00055339,0.22733797,0.00015188,0.00027812,5.049e-05
DEL,MH,5+,4,0.00040047,9.3e-07,8.469e-05,8.466e-05,0.00080539,0.12819625,3.35e-05,0.00293383,4.282e-05
DEL,MH,5+,5+,0.00241185,0.00040337,0.00069991,0.00154888,0,0.1045831,7.751e-05,0.00087924,0.00066049
