MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	0.00291577	0.00000531	0.00606588	0.04158327	0.10796620	0.02724322	0.33212839	0.01023687	0.00615703
1:Del:C:1	0.00000561	0.00024202	0.00856655	0.02067849	0.22018219	0.00278732	0.09341308	0.00291636	0.00003469
1:Del:C:2	0.00000000	0.00000000	0.00996064	0.00062667	0.19296144	0.00410750	0.00077494	0.00043216	0.00000001
1:Del:C:3	0.00247211	0.00154386	0.00805807	0.00531960	0.07068405	0.00003415	0.01206646	0.00091710	0.00059025
1:Del:C:4	0.00365490	0.00081312	0.00016909	0.00065619	0.04268997	0.00179341	0.01106871	0.00210233	0.00174086
1:Del:C:5	0.01473752	0.00323044	0.00009724	0.00220578	0.02327953	0.00072196	0.00295155	0.00217202	0.00298764
1:Del:T:0	0.00750935	0.00141898	0.10868044	0.04131846	0.03592928	0.00371495	0.09875023	0.00850839	0.01628625
1:Del:T:1	0.00000000	0.00000000	0.18406429	0.03065435	0.00443876	0.00002904	0.01056817	0.04476856	0.00000000
1:Del:T:2	0.00687313	0.00095791	0.12138661	0.01125907	0.01765287	0.01185844	0.08480301	0.00083234	0.00946574
1:Del:T:3	0.02015733	0.00204703	0.09819512	0.01326730	0.01402183	0.02217354	0.11087186	0.00402732	0.01832102
1:Del:T:4	0.04734168	0.00347365	0.05054388	0.00664397	0.01121139	0.01752614	0.09186990	0.00165355	0.01351877
1:Del:T:5	0.81884629	0.00079844	0.00285060	0.00051933	0.00087715	0.00014810	0.01705215	0.00134586	0.04917777
1:Ins:C:0	0.00000000	0.00000000	0.00000082	0.00000015	0.00000013	0.00000291	0.00000017	0.00000021	0.46309708
1:Ins:C:1	0.00023643	0.00000028	0.00678310	0.00235482	0.00484362	0.00127121	0.00106697	0.00000656	0.01116790
1:Ins:C:2	0.00001501	0.00000000	0.00630816	0.00145661	0.00431670	0.00012424	0.00088305	0.00001511	0.00049384
1:Ins:C:3	0.00046842	0.00069281	0.00089645	0.00033110	0.00801079	0.00004816	0.00058011	0.00002886	0.00184537
1:Ins:C:4	0.00285138	0.00155734	0.00000461	0.00142495	0.00736002	0.00011152	0.00098566	0.00001877	0.00121820
1:Ins:C:5	0.00848582	0.02213568	0.00000000	0.00752127	0.00604862	0.00000152	0.00765613	0.00007954	0.00138893
1:Ins:T:0	0.00124290	0.00212871	0.01199584	0.00604454	0.01497074	0.00534001	0.01166851	0.00507648	0.03236828
1:Ins:T:1	0.00000006	0.00000070	0.01826100	0.00506314	0.05822425	0.00026129	0.00726088	0.00047467	0.00282423
1:Ins:T:2	0.00068412	0.00011176	0.03148762	0.00132082	0.05160397	0.00000000	0.00316527	0.00002425	0.00160960
1:Ins:T:3	0.00118537	0.00373607	0.02164211	0.00249088	0.03043679	0.00006523	0.00311076	0.00019931	0.00051725
1:Ins:T:4	0.00309022	0.01558000	0.01492370	0.00848304	0.00716499	0.00086354	0.00506318	0.00107958	0.00515791
1:Ins:T:5	0.00225045	0.90626249	0.00044762	0.04727714	0.00111549	0.00373436	0.03175138	0.00489870	0.23680663
2:Del:R:0	0.00013890	0.00019287	0.02882569	0.00935186	0.00648297	0.00138070	0.01274572	0.06788146	0.00095142
2:Del:R:1	0.00356727	0.00008544	0.01441212	0.00535771	0.00974831	0.00045760	0.00199888	0.22432064	0.00632120
2:Del:R:2	0.00177783	0.00011515	0.00199288	0.00023786	0.01188643	0.00116505	0.00050058	0.04994502	0.00197943
2:Del:R:3	0.00076525	0.00022825	0.00000000	0.00011526	0.00615665	0.00021733	0.00012567	0.00905943	0.00042977
2:Del:R:4	0.00095140	0.00000666	0.00037710	0.00010861	0.00328365	0.00014261	0.00012874	0.00273418	0.00001005
2:Del:R:5	0.00000000	0.00000000	0.02324073	0.00085546	0.00028002	0.00000986	0.00117779	0.00183227	0.00000003
3:Del:R:0	0.00000056	0.00011394	0.01874776	0.01157502	0.00099078	0.00188500	0.00286344	0.00459115	0.00105746
3:Del:R:1	0.00500482	0.00378600	0.00214409	0.00258243	0.00006700	0.00490729	0.00230149	0.08578637	0.00473837
3:Del:R:2	0.00237724	0.00049974	0.00009538	0.00066507	0.00002074	0.00019569	0.00173119	0.01826440	0.00119937
3:Del:R:3	0.00046465	0.00038366	0.00036513	0.00028801	0.00002049	0.00008923	0.00047990	0.00362765	0.00041540
3:Del:R:4	0.00000000	0.00000002	0.00645190	0.00022184	0.00000766	0.00000292	0.00037465	0.00025458	0.00001061
3:Del:R:5	0.00000000	0.00000001	0.00946829	0.00039293	0.00007064	0.00000927	0.00054945	0.00040950	0.00000001
4:Del:R:0	0.00000301	0.00005554	0.01195209	0.00650084	0.00056125	0.00242600	0.00139016	0.00740461	0.00025645
4:Del:R:1	0.00224222	0.00044731	0.00020434	0.00081014	0.00029785	0.00249572	0.00382033	0.05859667	0.00077754
4:Del:R:2	0.00053683	0.00000120	0.00000000	0.00002230	0.00000517	0.00020880	0.00000871	0.01217503	0.00057428
4:Del:R:3	0.00000489	0.00000006	0.00400982	0.00012663	0.00001063	0.00003507	0.00022823	0.00465710	0.00001672
4:Del:R:4	0.00000000	0.00000001	0.00460668	0.00015548	0.00005017	0.00014388	0.00028064	0.00073526	0.00000423
