MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	0.00240836	0.00000000	0.00040679	0.00064451	0.02417603	0.02014904	0.09262150	0.40329641	0.00263323	0.00348814	0.00004527	0.00565765
1:Del:C:1	0.00000009	0.00001663	0.00000474	0.00352288	0.01946272	0.00076064	0.24527519	0.10014311	0.00511201	0.00005192	0.00018069	0.00000000
1:Del:C:2	0.00000000	0.00000001	0.00000068	0.00354648	0.00000067	0.00449565	0.22780971	0.00000000	0.00705210	0.00001592	0.00357439	0.00000001
1:Del:C:3	0.00130997	0.00092357	0.01119672	0.01094657	0.00536093	0.00000428	0.07291135	0.00851299	0.00625972	0.00125543	0.00136842	0.00064300
1:Del:C:4	0.00254455	0.00032967	0.01016661	0.00040270	0.00006426	0.00187798	0.04689135	0.01206429	0.00005778	0.00100862	0.00031794	0.00216798
1:Del:C:5	0.00886177	0.00080741	0.05502839	0.00143386	0.00040306	0.00064688	0.02572079	0.00007577	0.00002965	0.00294660	0.00245580	0.00555900
1:Del:T:0	0.00410799	0.00006403	0.02579327	0.14947810	0.03640459	0.00028038	0.02983729	0.10597118	0.06351637	0.00334495	0.00469734	0.01889089
1:Del:T:1	0.00000000	0.00000001	0.00000000	0.00161595	0.00064924	0.00000001	0.00161966	0.00747236	0.49052340	0.00000256	0.00004009	0.00000003
1:Del:T:2	0.00309566	0.00007130	0.02027112	0.18694964	0.00251049	0.01067102	0.01013036	0.08441771	0.03616620	0.00062250	0.00029214	0.00960851
1:Del:T:3	0.00755939	0.00040453	0.08296717	0.13441940	0.00080216	0.01894042	0.00351838	0.12621641	0.06496759	0.00020480	0.00575989	0.01673473
1:Del:T:4	0.01746920	0.00023619	0.23781202	0.10139860	0.00000000	0.01329944	0.00288710	0.08783558	0.00939249	0.00027765	0.00012949	0.01462415
1:Del:T:5	0.91493197	0.00026119	0.02729647	0.01742688	0.00040851	0.00048770	0.00049277	0.00439756	0.00142733	0.00123879	0.00328658	0.01393607
1:Ins:C:0	0.00000000	0.00000001	0.00000000	0.00000007	0.00222027	0.00120963	0.00000117	0.00000015	0.00000005	0.00000014	0.00000023	0.53295672
1:Ins:C:1	0.00017136	0.00000000	0.00004242	0.00028518	0.00019187	0.00091093	0.00015394	0.00000000	0.00053068	0.00078792	0.13567824	0.02288281
1:Ins:C:2	0.00000228	0.00000001	0.00000086	0.00137687	0.00018583	0.00000405	0.00055228	0.00000711	0.00161496	0.00043511	0.08931733	0.00498986
