Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11
DEL,C,1,0,2.06769638468899e-12,0.0260434089771906,0.00382826272049441,0.108029336358932,0.00608140656660329,0.0238533246897033,0.00485044113050358,0.0361277989739851,1.10915188963402e-54,1.1504316494726e-123,0.355881967483829
DEL,C,1,1,0,0.000708206392189628,0,0.235091311804997,9.38882895103268e-71,0.0315142569712687,2.87052218022345e-05,0.0215052578513462,0.00070171165739819,1.36582225501538e-103,0.102153076535896
DEL,C,1,2,0,0.0071949400934668,0,0.208223930502419,0,0.0292161269814451,0,1.01608742645567e-79,0,0.00767516835133094,0
DEL,C,1,3,0,3.60333406866976e-194,0,0.0743774712975954,0.000216440804051322,0.015748468050761,0.00248331246711898,0.00464462625223381,0.00188326194415534,0.00464058526033387,0.0101620729913942
DEL,C,1,4,0,0.00207224494906833,0.00188173856124567,0.0503035403610714,0.00057810843115477,0.00238631361850075,0.00388827332709264,0.000392300118052957,0.000620329139027417,0.00256423797061154,0.0131123229953919
DEL,C,1,5+,0,0.000999920839435553,0.000232454254182643,0.0257637183134988,0.00198602120125137,0.00336787305490835,0.0146290258160223,0.000426889399065136,0.00337817463604613,0.000452253268184267,0
DEL,T,1,0,0.000243577457703206,2.85752084716687e-38,0.0217469444326249,0.0317784133751037,0.00274748217392463,0.118926131814876,0.00792076278706077,0.0342807628419792,0.00126875347916141,0.0399674033958122,0.110465195644557
DEL,T,1,1,0,0,0,1.72626584493516e-14,0,2.76724237881634e-10,0,3.12732869844246e-10,0,0.690454266568588,0.0402035865940783
DEL,T,1,2,1.85269181270068e-296,0.0111726625812279,0.012146993022416,0.0100626825143327,0,0.142014958017754,0.00706491558861001,0.0075603763188723,0.000874344767350043,0.00569954728945205,0.0904644780482844
DEL,T,1,3,1.18477243036313e-221,0.0227140983338024,0.0187920912328248,0.0101147625269518,0,0.10130112894077,0.0202624162494465,0.0073845598489452,0.00227493450688699,0.0518162517270109,0.119256643982233
DEL,T,1,4,0.000248816928399018,0.0180853941912356,0.00971067275238611,0.00763562583376169,0,0.0650900387358496,0.0471515829534081,1.05662479707709e-72,0.00432667037451112,0.00203849306210679,0.0996790017645363
DEL,T,1,5+,3.53364554427196e-223,1.38802624077736e-31,0,0.00885022240637816,1.49789892838685e-216,0.0331932322135769,0.814943772713969,0.0114249763584283,1.48688715859432e-52,1.82152437261621e-73,5.23879324448012e-134
INS,C,1,0,0,0,0.699241189287603,0,0,0,0,0,0,0,0
INS,C,1,1,0.177374165326725,0.00190476993000917,0.0178536123495065,0,0,0,0.000208576448392719,7.6151285616169e-238,0,0,0
INS,C,1,2,0.100080349089374,0,0,0.000859951777793837,0,0.00344350522509232,1.90192281157559e-05,0,0,1.91384583895022e-72,0
INS,C,1,3,0.0376066047300568,0,0.00192457758137769,0.00679784137333413,0.000214253759544505,0,0.000478384569077097,0,0.000606580269149308,0,0
INS,C,1,4,0.0118877597309785,0.000152485723696313,0.0011070039710153,0.00835197122097215,0,0,0.00293078937351893,0,0.00173635081687859,0,0
INS,C,1,5+,0.00146877600311725,0,0,0.00777595687908722,7.52285606918126e-05,0.000356835540982329,0.0090472235744724,3.67076973941207e-292,0.024399116821325,0.000183087714201753,4.12555859569784e-178
INS,T,1,0,0.000306857413460751,0.00635096003913676,0.0485807249714184,0.0188300334922277,3.40171883214472e-05,0,0.0013294119236105,0.00321535730228301,0.00228859133448044,0.0457070157405759,0.0128996917559479
INS,T,1,1,0.327841421909695,2.30674667075872e-169,0.00110595536512528,0.0454082817986101,0,0.0140748744865772,0,0.0023924279952321,0,6.41749288798862e-139,0.0106815031028336
INS,T,1,2,0.169813315400071,0.00010811777638888,0.00105331290099983,0.0455690893252199,0,0.0354061790221781,0.00067226786965246,0,6.74509691117269e-05,0.000718939817192588,3.25430588105165e-21
INS,T,1,3,0.11260105869001,0.000555496423808229,0,0.0278926284629675,0,0.0203310563587519,0.00108813664880698,1.36924650684415e-63,0.00426273304568358,0.0105299485908084,0.000830886251002232
INS,T,1,4,0.0503898655701942,0.00103439064720986,0,0.00619657348495144,0,0.0108652770015767,0.00348539337105871,5.1139556422304e-60,0.016849470134926,0.0148712809512327,0.000636290357737924
INS,T,1,5+,1.98623875965196e-253,2.17662918256096e-31,1.75626908428389e-275,2.26505664607818e-30,2.40713473960751e-200,1.16440994331387e-17,0.0031631147372031,5.13019960354713e-08,0.900344866717375,1.10869630881346e-88,7.01628166197362e-60
DEL,repeats,2,0,0,0.000865999023407739,0,0.00642332928765857,0.0744767415822685,0.0292080003789557,0.000105877600291996,0.00939799573719625,0.000179533170893345,0.0264358653960928,0.0128885163745228
DEL,repeats,2,1,0.00203682752945253,0.00126069312487614,0.00558669749740166,0.01047984696694,0.236199016200499,0.0272268063581017,0.00330366480569293,0.012094391814541,0.000117332809921721,0.00492523559001226,0.000596623060584006
DEL,repeats,2,2,0,0.00235929242908988,0.00309346047904843,0.0142772069031774,0.057587253506037,0.00444086293928733,0.00184065473103442,0,7.41070437983316e-06,0.00426631414067032,0
DEL,repeats,2,3,0,0.000198692044612285,0.000665015612609653,0.00816156131573962,0.0139636594219067,0,0.000779470182292296,0,0.000100843012712131,0,0
DEL,repeats,2,4,0,0,0,0.00382401807447119,0.00279298863759352,0.000960243118648273,0.000864713510976999,0,0,0,0
DEL,repeats,2,5+,0.0039268425912802,0,0,0,1.97017381000964e-244,0.0310891454137009,0,0,0,0,0
DEL,repeats,3,0,0,1.1127505336586e-34,0.00114787303782627,0.000313088435814174,0.00477345102449072,0.0208182909439487,1.18600796834675e-05,0.0122101918172943,7.16528189777562e-05,0.00259258189470207,0.0018155553832474
DEL,repeats,3,1,1.53777077504508e-07,0.00561292403686893,0.0034329542361142,1.29208962699363e-06,0.0999951864995778,0.00637801573260747,0.00486618703109663,0.00166485421070545,0.00470870033052152,0.000417997311514761,0.0036705498721912
DEL,repeats,3,2,2.84988582357066e-05,0.000775524649633835,0.00102716174374059,0,0.0242426953367703,0.000456179126787004,0.00234620280629316,0,0.000429662034924816,0.000785218197187098,7.0812477093946e-277
DEL,repeats,3,3,0,0,0.000585360237382558,0,0.00596389916765891,0,0.000448471479089896,0,0.000123004497808538,0,0
DEL,repeats,3,4,0.000540942802308809,0,0,0,0,0.00827619499850189,0,0,0,0,0
DEL,repeats,3,5+,0.00102772112759877,0,0,0,0,0.012134843638826,0,0,0,0,0
DEL,repeats,4,0,0,0.0020531053644612,0,2.15802688373711e-41,0.00756728574377048,0.0130983741754516,8.42092490249683e-06,0.00743189382721921,2.7068632986847e-05,0.00201877042881498,0.000340045450928512
DEL,repeats,4,1,0.000153840434049982,0.00290919900655081,0,0.000553389301083427,0.0656232690467749,0.00283609406112602,0.00206631825556396,0.00205209212582625,0.000505672618564512,0,0.0037031178594707
DEL,repeats,4,2,0,0.00030484546319262,0.000438623256798444,0,0.0146389567910388,0,0.000473698631553484,0,0,0,0
DEL,repeats,4,3,0,0,0,0,0.00335473794990072,0.00536055515733354,4.71766474786284e-07,0,0,0,0
DEL,repeats,4,4,1.81475319078057e-05,0,0,0,0,0.00653130723522009,0,0,0,0,0
DEL,repeats,4,5+,0,0,0,0,0.000190240374983438,0.001630620682514,0.000202017108513966,0,0,0,0
DEL,repeats,5+,0,0.00082598764124914,1.50948508081095e-99,5.52379907410892e-107,0.000279323126699798,0.00141660341906592,0.012249676905116,0,0.260548052989908,0,0.011267484709346,0
DEL,repeats,5+,1,0,0.00876145791282593,0.000438045709021582,0,0.0168379307264742,0,0.00298626816674643,0,0,0.00159767448191833,0
DEL,repeats,5+,2,0,0.000273452783883803,0,0,0.00284915870372017,0,0.000410216129894891,0,0,0,0
DEL,repeats,5+,3,0,0,0,0,0.000651258201760099,0,0.000143880111449118,0,0,0,0
DEL,repeats,5+,4,0,0,0,0,3.8561143524558e-05,0,7.45659216938618e-05,0,0,0,0
DEL,repeats,5+,5+,0,0,3.98616875522065e-05,0,4.84810723537917e-05,0.000138964948496226,2.56420212326847e-05,0,1.79159263623123e-06,0,0
INS,repeats,2,0,0,0.00215452037638483,0.037647592004704,0.00259445792520446,6.14058802834972e-278,0.00571970938808118,0.00034933243375484,0.00164977360785836,0.00029663364499356,0.0139875998809333,2.90340741951841e-13
INS,repeats,2,1,0,0,0,0.00261687180859504,0,0.0233312583097134,0.000262403672630827,0.00125392614791637,0,0.00171771701533162,0.000859449671978904
INS,repeats,2,2,0,0.000744515776966961,0.00211411402953759,0.00109805141113449,0,0.00934308777500965,0.00107086729538669,0,6.11019791789376e-05,0.000855603594684886,0
INS,repeats,2,3,0,0.000361136672589018,0.00125977803940141,0.00103714499669172,0,0.00115831419125317,0.00042841174294124,0,0.000289717818556564,0.000988872501084836,0
INS,repeats,2,4,0,0,0.0030547380325276,0,0,0,0.00200521570784884,0,0.00278731869029785,0,0
INS,repeats,2,5+,0,0.000349710708812157,0,0,4.59287143296742e-05,0.00146696044236658,0.013682941992522,0.00122639275851194,0.0180829285663542,8.76659088907022e-94,2.36104911329148e-255
INS,repeats,3,0,0,0.00145048692573764,0.0106752443049936,0,0,0.00534666803676319,5.46893513980404e-05,0,0,0,0
INS,repeats,3,1,0,0.000134490787065156,0.00471844283539478,0.000147069336164254,0,0.00751715323039085,0.00126037409241356,1.11253692925499e-308,0.000120483538694089,0.00477638898086911,0
INS,repeats,3,2,0,0.000712009989761007,0.000261917416436359,0,0.000365906725515556,0.000897600397520426,0.000207999224665445,0,0,0,0
INS,repeats,3,3,0,8.23145652411216e-06,0.00027975941781258,0,0,0,1.93592093364782e-05,0,6.77871756037162e-05,0,0
INS,repeats,3,4,0,0,0.000650979506211618,0,0,0,0.000151820595765255,0,0,0,0
INS,repeats,3,5+,0,0,0.00298620764958387,0,0,0,0.00200571341516547,0,0.000754391774882842,0,0
INS,repeats,4,0,0,0.0017139056049725,0.00970410355044355,0,0,0.00307511158520891,1.31292641654843e-05,0,0,0.00159159241101966,0
INS,repeats,4,1,0,0.00047772953065975,0.00259771487773093,9.17691393686576e-05,0.0012198111476868,0.00435554512424723,0.00121118698646198,0.000850907136363268,0.000703016587375173,0.00315354145114612,0
INS,repeats,4,2,0,0.000294683965512344,0,0,0.000161492602752348,0,2.05601637590104e-05,0,3.19400457250888e-05,0,0
INS,repeats,4,3,0,0,0.00120045379734724,0,0,0,0.000169006131089129,0,0,0,0
INS,repeats,4,4,0,0,0.00256136809626407,0,0,0,0.000299736312515815,0,6.30170374780775e-05,0,0
INS,repeats,4,5+,0,0,6.03178632036412e-05,0,2.59593061609963e-05,0.000708512914641277,0.00224576925257113,0.000258721484309537,0.000869348715481259,0,0
INS,repeats,5+,0,0,0.00996487563612061,0.00488751062551576,0,0,0.00597798922831287,0,0,0,0.00243492013491211,0
INS,repeats,5+,1,0.000926364257666387,0.00518229394280344,0.0469364475817253,1.48648935376389e-14,0.00200605612812312,0.0035246705041991,0.000119243186735673,0.00972867131372761,0.00152605883978765,0.0166411895568621,0.000834434204928434
INS,repeats,5+,2,0,0.0014281863799621,0.000805877487931244,0,0.000113311670038255,0,2.74514590335645e-05,0,0.000129906117514912,0,0
INS,repeats,5+,3,0,0,0,0,0,0,0.000131213452702617,0,6.21906169999208e-05,0,0
INS,repeats,5+,4,0,0,3.60386382631696e-05,0,0,0,2.6059447394901e-05,0,0.00011581509205222,0,0
INS,repeats,5+,5+,0,0,0,0,0.00142219231436402,0,0.000134907917501034,0,2.12628801188396e-05,0,0
DEL,MH,2,1,0,0,0.00112577219253163,0.00831353101777014,0.196393660022072,0.0319355093746081,1.3014259753206e-122,0.00612722405185417,4.92717503596201e-05,0.0113191502599746,0.00142281970246315
DEL,MH,3,1,0,6.70061658041857e-05,0.00198639596338819,4.04365445126269e-05,0.00686721005400989,0.0163609953916637,0,0.0103024074934915,1.54937969914968e-05,0.000209376359686209,0.00227018217586414
DEL,MH,3,2,0.0002199064868337,0.00458057355171026,0.00322806615643393,0.000230350177037852,0.0509913282657799,0.0108531553432341,0.00288208033379333,0.0049883666659818,0.00126610454916303,1.07717343736239e-127,0.000570442270953743
