MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00217227	0.00000171	0.00294034	0.03197304	0.08795691	0.00450174	0.02313801	0.36921271	0.01245392	0.00339475
1:Del:C:1	0.00000000	0.00002302	0.00389075	0.02065755	0.23154201	0.00554946	0.00126365	0.09341881	0.00086596	0.00011520
1:Del:C:2	0.00000000	0.00000000	0.00431292	0.00023995	0.21041453	0.00833300	0.00378567	0.00000000	0.00157999	0.00000000
1:Del:C:3	0.00215821	0.00181622	0.00800739	0.00489174	0.07505969	0.00598752	0.00002780	0.01015176	0.00108576	0.00052659
1:Del:C:4	0.00328450	0.00050691	0.00438042	0.00031922	0.04409627	0.00090545	0.00164317	0.01425363	0.00222814	0.00133035
1:Del:C:5	0.01421788	0.00180289	0.01477388	0.00026509	0.02626396	0.00162529	0.00101412	0.00054871	0.00290751	0.00349940
1:Del:T:0	0.00547811	0.00088633	0.10619308	0.03564976	0.02425618	0.07404545	0.00044326	0.11774783	0.00511897	0.01623900
1:Del:T:1	0.00000000	0.00000001	0.00559905	0.01036085	0.00336357	0.38558588	0.00002784	0.00660405	0.00991196	0.00000228
1:Del:T:2	0.00633543	0.00007179	0.12070382	0.00574263	0.00354453	0.07222335	0.00820537	0.08931007	0.00201679	0.00533744
1:Del:T:3	0.01767811	0.00140261	0.10016002	0.00416559	0.00373429	0.07852833	0.01985496	0.11540628	0.00550131	0.01265262
1:Del:T:4	0.03981314	0.00266007	0.10969929	0.00111220	0.00316876	0.02972557	0.01427187	0.10599581	0.00700223	0.01002195
1:Del:T:5	0.84129969	0.00044473	0.01205516	0.00047028	0.00071668	0.00223702	0.00018000	0.00967818	0.00059500	0.05944964
1:Ins:C:0	0.00000000	0.00000001	0.00000004	0.00000012	0.00000013	0.00000005	0.00000002	0.00000024	0.00000010	0.52546566
