Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J
DEL,C,1,0,0,0.00237826,0.0025202,0.03011785,0.08026925,0.02304933,0.00291074,0.3682128,0.00954516,0.00269582
DEL,C,1,1,1.073e-05,0,0.00506159,0.01883081,0.2308803,0.00136919,0.00335274,0.09864793,0.00044077,9.111e-05
DEL,C,1,2,0,0,0.00645998,6.27e-06,0.2072091,0.00388654,0.00687373,0.00356424,0.0009709,0
DEL,C,1,3,0.00183496,0.00225057,0.00829896,0.00497685,0.07426935,3.515e-05,0.00501748,0.01130601,0.00216762,0.00053685
DEL,C,1,4,0.00053831,0.00343395,0.00188562,0.00112978,0.04354791,0.00174066,0.0004901,0.01475547,0.00270431,0.00102863
DEL,C,1,5+,0.0020073,0.01463707,0.00620184,0.00165247,0.02603214,0.0010308,0.00042399,0.00073497,0.005583,0.00343086
DEL,T,1,0,0.00087642,0.00581303,0.13151405,0.03374128,0.02283049,0.00061144,0.06154649,0.11738446,0.00685967,0.01601779
DEL,T,1,1,1e-08,0,0.01371747,0.00354435,0.00265192,2e-08,0.41262747,0.00902196,0.00394839,0
DEL,T,1,2,3.486e-05,0.00634714,0.1562835,0.00381173,0.00199342,0.00765641,0.05820225,0.089402,0.0019643,0.00579806
DEL,T,1,3,0.00129463,0.01818587,0.11477932,0.00579592,0.00165373,0.01921218,0.07318748,0.11508117,0.0079975,0.0132526
DEL,T,1,4,0.0028,0.04297458,0.08827504,0.00956979,0.00155886,0.0143049,0.01803925,0.10386197,0.01503327,0.00994164
DEL,T,1,5+,0.00031052,0.83265935,0.00869456,0.00726932,0.00094326,0.0001501,0.00183861,0.00816513,0.00094431,0.05894458
INS,C,1,0,2e-08,1e-08,4e-08,1.4e-07,1e-07,2e-08,6e-08,2.5e-07,6e-08,0.52888691
INS,C,1,1,7.24e-06,0.00019221,0.00822158,0.00190478,0.00709255,0.001426,0.00256531,0,6.067e-05,0.01374071
INS,C,1,2,1e-08,6.6e-07,0.00609277,0.00164937,0.00531545,1.899e-05,0.00340303,5e-08,3.07e-05,0.00046108
INS,C,1,3,0.00069548,0.00040265,0.00135516,0.00014343,0.00915823,1.29e-06,0.00029929,9.473e-05,0.00089828,0.00080051
INS,C,1,4,0.00119509,0.00265034,0.00231363,0.00057967,0.00817641,0.00026081,9.35e-06,0.00018987,0.00137416,0.00075107
INS,C,1,5+,0.02009819,0.00746815,0.0189774,0.00422298,0.00794916,1.282e-05,1.18e-06,0.00022484,0.01424914,0.00278529
INS,T,1,0,0.00220277,0.00100657,0.00153496,0.00371097,0.01705761,0.0063132,0.0242812,0.01399084,0.00466339,0.03797736
INS,T,1,1,1e-08,0,0.01141079,0.0042251,0.06960186,0.00015112,0.01016399,0.00550959,0.00016882,0.00298327
INS,T,1,2,9.73e-06,0.00043891,0.03751187,0.0002415,0.05730958,0,0.01372328,0.00073009,0.00016841,0.00139188
INS,T,1,3,0.00329025,0.00103295,0.02669627,0.00084307,0.03365104,4.979e-05,0.01543924,0.00054819,0.00169701,0.00023696
INS,T,1,4,0.01400117,0.00327959,0.02388157,0.00266066,0.00910388,0.00043105,0.01169641,0.00223318,0.00657528,0.00464495
INS,T,1,5+,0.91755943,0.00313555,0.03054877,0.00782755,0.00235533,0.00596386,0.00053066,0.00337861,0.02821193,0.16772032
DEL,repeats,2,0,0.00018046,3.101e-05,0.01947106,0.00741496,0.00895131,0.00027221,0.0303558,0.01224326,0.08130987,0.00128066
DEL,repeats,2,1,7.701e-05,0.00288602,0.01576871,0.00729479,0.01183086,0.00049143,0.01791194,0.00058361,0.19165383,0.00787201
DEL,repeats,2,2,0.00039473,0.00167316,0.00166197,0.00029145,0.01338336,0.00161789,0.0044015,0.00023131,0.04297511,0.00265427
DEL,repeats,2,3,0.00012989,0.00096531,9.76e-05,2.58e-05,0.00610287,0.00042791,0.00043088,0.00011543,0.00902693,0.0002924
DEL,repeats,2,4,9.42e-06,0.00090466,0.00069888,0.00022158,0.00317196,0.00013586,0.00025825,0.00024158,0.00313846,0.00043556
DEL,repeats,2,5+,1e-08,0,0.02319621,9.496e-05,0.00131979,4.05e-06,0.01458565,3.16e-05,0.00089196,1e-08
DEL,repeats,3,0,6.98e-06,0,0.01230676,0.01404179,0.00243164,0.00081696,0.01665431,0.00104816,0.0045235,0.00148898
DEL,repeats,3,1,0.00358598,0.004165,0.00757357,0.00162847,4e-08,0.00420066,0.00448073,0.00135679,0.09205055,0.00533012
DEL,repeats,3,2,0.00052132,0.00198457,0.0013065,0.00045346,2.87e-06,0.00058697,0.00129568,0.00028664,0.01392502,0.00172536
DEL,repeats,3,3,0.00026411,0.0004772,0.00103977,0.00041275,2.88e-05,0.0001309,0.00030983,0.00016511,0.00360938,0.00038376
