Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,2737
low confidence hdp.3,2600
low confidence hdp.4,1104
low confidence hdp.5,624
low confidence hdp.6,603
low confidence hdp.7,600
low confidence hdp.8,394
low confidence hdp.9,213
low confidence hdp.10,200
low confidence hdp.11,200
low confidence hdp.12,199
low confidence hdp.13,198
low confidence hdp.14,198
low confidence hdp.15,196
low confidence hdp.16,100
low confidence hdp.17,100
low confidence hdp.18,21
low confidence hdp.19,6
