Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11
DEL,C,1,0,0.0167417560082432,0.00612766213333916,0.111705760993818,4.7618446310037e-103,2.84842439130916e-84,0.0048387697486222,0.374958850861705,0.0247926326583378,0.00162630095294571,0.0371824549608974,1.59833143651734e-143
DEL,C,1,1,0.0241331214779679,8.61368829206847e-66,0.23306099368007,0,0.000681892825113016,3.11947709627063e-05,0.10767385939007,0.000375867550841037,0,0.0218104937084,1.40159789578989e-157
DEL,C,1,2,0.024301234468817,0,0.205057193539833,0,0,0,0,0.0072752291702542,0,1.04330410576196e-145,0.00670073631328227
DEL,C,1,3,0.0137027674723785,0.000219983724799279,0.073431395777991,0,0.00188266717703832,0.0024833737810567,0.0105490827677128,9.23208547348445e-239,0,0.00467008975752023,0.00436646670039331
DEL,C,1,4,0.00138045890430046,0.000587945519872769,0.0497110822871345,0,0.000622375543044755,0.00388838922576199,0.0137171389326646,0.00203882218492914,0.0018288398230088,0.000434405392816241,0.00265457291223086
DEL,C,1,5+,0.00279243501957856,0.00198278143312766,0.0253137299183592,0,0.00339466534086145,0.0146279756815497,0,0.00100612890497886,0.000230360443364277,0.000426689878028233,0.000344221620837314
DEL,T,1,0,0.1136353882429,0.00267656126234017,0.0331834992022747,0.000226928639892377,0.00125294895225801,0.0079247188838634,0.114279758884065,4.13581412432501e-122,0.0211934568777471,0.0344145712369456,0.0375167152559223
DEL,T,1,1,0.058507914196318,0,1.18923649651973e-23,0,0,0,9.46262704090043e-16,0,0,4.93710292506259e-66,0.69516064016954
DEL,T,1,2,0.133101154971207,0,0.011480495362704,0,0.000862528604090798,0.00706805141514893,0.0957069947360423,0.010861999376293,0.0116455399110032,0.00789576864085876,0.0018640618019892
DEL,T,1,3,0.0982285634249059,0,0.0119074814568815,8.40820488276778e-264,0.00227693088061905,0.0202644323914779,0.122870967298973,0.0223591787640399,0.018189777554124,0.00778389085604193,0.0503538528468585
DEL,T,1,4,0.0604090323075581,0,0.00914951400563826,0.000252848718587632,0.00438731681733298,0.0471453374614683,0.105368298854006,0.0178599856166596,0.00911869860249886,1.30799677350656e-133,0.000556807838124504
DEL,T,1,5+,0.0326029150024974,6.26419132346659e-257,0.00866707979980127,1.23899338896256e-251,0.000884234302028359,0.814948499863401,3.41314457001178e-154,5.95227040711853e-26,0,0.0110440996370109,1.69917919271734e-104
INS,C,1,0,0,0,0,0,0,0,0,0,0.702568013077919,0,0
INS,C,1,1,0,0,0,0.177775161872992,0,0.000208815651857752,0,0.00190588399000168,0.0179553177467772,0,0
INS,C,1,2,0.00323693437767526,0,0.000851538950491366,0.100099382470213,0,1.90425751680511e-05,0,0,0,0,7.27287744502987e-304
INS,C,1,3,0,0.000202822787175351,0.00653465824097265,0.03737394276232,0.000601460686204648,0.000479144809003425,0,0,0.00192179247985454,0,0
INS,C,1,4,0,0,0.00803950301241585,0.0116581451930101,0.00172244473905576,0.00293409128368693,0,0.00015084710934978,0.00111140989814132,0,0
INS,C,1,5+,0.000232281942797236,7.7355004047102e-05,0.00764718880228544,0.00145491798103064,0.0243857404555096,0.00904693174243191,3.63670393282667e-202,0,0,1.11408182050895e-308,0.00014879945205393
INS,T,1,0,2.28882025176039e-73,5.72196295552076e-120,0.0197897604751758,0.000431822210012517,0.00235117885196002,0.00131780393381585,0.0103160509643328,0.00628626751686126,0.049094931967165,0.00361301609138116,0.0588271656260863
INS,T,1,1,0.012295625449663,0,0.0449100120457156,0.327892823089944,0,0,0.0113483988907953,2.8339569940951e-236,0.00104365373807147,0.00240305543827336,8.36565846192228e-208
INS,T,1,2,0.0324735932047441,0,0.044893944058576,0.169717022439799,6.64946122096644e-05,0.000672243172622696,0.000720136355859456,8.08443840877968e-49,0.00103958877058078,0,1.28763119993824e-17
INS,T,1,3,0.0194902431332237,0,0.0275164938662451,0.112568372441126,0.00425970868738036,0.00108809819940402,0.00041442057153091,0.000553382739330548,0,1.46765814824386e-101,0.0102594744397788
INS,T,1,4,0.0113274170503858,0,0.00610736845586755,0.0503762662216282,0.0168331747406797,0.00348563707990873,3.82477950313991e-26,0.0010188503726976,0,5.07073946315878e-122,0.0148837522798529
INS,T,1,5+,1.00828139058616e-20,2.31597317766288e-243,1.56680379952192e-31,2.6281738727054e-305,0.899458085952619,0.00316291439199706,4.66093241217593e-64,3.43201146680476e-27,0,1.2684560202747e-07,3.28305482767686e-116
DEL,repeats,2,0,0.029907352246623,0.0745258362848105,0.00646499855581653,0,0.000175880857775173,0.000106443455705619,0.0120292822174911,0.000819564639052438,0,0.00936065557449328,0.0260937748903575
DEL,repeats,2,1,0.0272916963139275,0.237061628704547,0.0100735902887195,0.00204372639018191,0.000112128439349386,0.00330436653483762,0.000358285523085306,0.00124060058317799,0.00560865925986637,0.0118430043396266,0.00402200046588401
DEL,repeats,2,2,0.00463325816240518,0.0577575305605357,0.0139118268824444,0,3.0276799828884e-06,0.00184149992387417,0,0.00231751241673942,0.00310748014313743,0,0.00388739187591325
DEL,repeats,2,3,0,0.0140892176722386,0.00784028906403009,0,0.000100585719938366,0.000779120063745321,0,0.000193694180250854,0.000659400584157239,0,0
DEL,repeats,2,4,0.000862606316230194,0.00275264579307557,0.00373869452924629,0,0,0.000865273796223872,0,0,0,0,0
DEL,repeats,2,5+,0.0291794944789943,1.91738100358184e-252,0,0.00392700640951829,0,0,0,0,0,0,0
DEL,repeats,3,0,0.0198344445439005,0.00474886534573506,0.000349572582984513,0,7.13542940481811e-05,1.19511922951378e-05,0.00188274028547608,2.52418740901911e-31,0.00113994410846819,0.0121957742217818,0.00199271580193002
DEL,repeats,3,1,0.00660413944256893,0.100568392162541,5.94835955193062e-34,7.57964885311043e-14,0.00468990247010263,0.00487026646309981,0.00383216324554061,0.00560732378881276,0.00344443736723738,0.00154686328544518,0.000184605482249604
DEL,repeats,3,2,0.000699978781936916,0.0238065540407306,0,3.2324187570099e-104,0.000423227269977037,0.00234944149515432,0,0.000760097782330711,0.0010387505576151,0,0.000670573496152861
