Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16,W.17
DEL,C,1,0,0.0167164728909825,0,0,0.659297369241943,0.025136633617365,8.1522042656634e-116,0,0.00342584960170813,1.21710762500118e-70,1.98943943093701e-228,0.00125025411586725,4.32121153669113e-34,0.0779882506511159,1.06135698559563e-29,4.14101824690286e-270,1.91151649007977e-84,0
DEL,C,1,1,7.34440390103441e-54,0.000492239482397716,0,0.152306266846047,0,2.91699097218683e-227,0,0,0.0183960404064935,0,0,0,0.262975819116532,0.0164544432856713,0,0,0
DEL,C,1,2,0.00569092676778134,0,0,0,0,5.65419532206329e-54,0,0,0.0217201532063326,0,0,0,0.248885132834746,0,0,0,0
DEL,C,1,3,0,0.00134391327832968,2.8015235695915e-221,0.0140352172802326,0.0259716999201862,0.00366992981304228,0,0.00171809739566234,0.0202075645531068,0.000139946014081993,0,1.21846601139266e-206,0.0786954622872767,0.00490973910615945,3.20928493919131e-305,1.63706440936511e-119,1.04037783503138e-215
DEL,C,1,4,0.0017618177129574,0.000178686858724563,0,0.0162232208847097,0.0145367420346435,0,0,0.00269513412585617,0,0.000627921473171403,0.00154604579947062,0.00703379261468914,0.0480964662664529,0,0,0.0746027552135224,0
DEL,C,1,5+,0,0.000542523409950605,0,0,1.71865410409668e-175,0,0,0.00939250371010974,0,0,0,0,0.000462670794441024,0,0,0.821447598358249,0
DEL,T,1,0,0,6.88272698818432e-147,0.987736121980629,0.093995080789842,0.0202315902748376,0.000522673845150778,0,0.006089356091708,0.108218034055325,2.29491053623806e-31,6.21519530953303e-196,0.0265046756696223,0.019612479364185,0.00985793738798922,4.12544401820756e-78,3.12442508392244e-64,1.11253836216315e-308
DEL,T,1,1,0,0,0,0,0,0.784693823545954,0,0,1.06395265435275e-58,0,0,0,2.33405754278495e-95,0,0,0,0
DEL,T,1,2,0.000447781688368477,2.9192938654306e-192,8.11638245956708e-226,1.07179274411896e-120,6.89451693118487e-118,0.0116559553773322,0,0.00316870566119257,0.114675684677055,0,8.05480614945565e-283,0.0567862296207814,0.0137176340539872,1.29601166299131e-199,1.54853053670159e-100,6.66036055095056e-94,0.971259808370877
DEL,T,1,3,1.37408340097993e-55,4.01064711257782e-06,4.78240357386826e-274,1.26479015546407e-132,0.0595252953035822,7.08600093008021e-66,0,0.0090141605905532,0.0116043012741981,0,0,0.0755157870260837,2.41472121553409e-86,1.17085211042391e-189,0.978105536461308,1.91693215863047e-72,9.18158605448417e-281
DEL,T,1,4,6.07754740394007e-120,9.3600222731107e-64,0,4.35852815770585e-195,1.63230534264106e-242,1.02519611865697e-143,0,0.0282943097418904,2.90200902772822e-50,0,0,0.781257020410888,1.24290449560463e-108,1.32234194720625e-261,1.12691716714301e-273,0,0
DEL,T,1,5+,1.08147284822902e-168,1.3936283207297e-102,0,0,1.59733544263156e-177,1.63801053203416e-156,0,0.883266788821237,0.00627313848157314,0,0,6.47181988936905e-141,3.00706989014958e-80,1.05481784449242e-147,9.72057193849401e-299,1.95087516224049e-285,0
INS,C,1,0,0,0,0,0,0,0,0,0,0,0,0.759915536846542,0,0,0,0,0,0
INS,C,1,1,0.00122062885177747,0,0,0,0,0,0.16791457236211,0.000206646914664913,0,0,0.0230535076912524,0,0,0,0,0.00319725226158394,0
