Data_set,Noise_level,Approach,Run,cpu_time,CPU.days
indel_set1,Realistic,mSigHdp,seed.1076753,279094.384,3.23025907407407
indel_set1,Realistic,mSigHdp,seed.145879,276373.242,3.198764375
indel_set1,Realistic,mSigHdp,seed.200437,278619.878,3.22476710648148
indel_set1,Realistic,mSigHdp,seed.310111,279315.55,3.23281886574074
indel_set1,Realistic,mSigHdp,seed.528401,279914.428,3.23975032407407
indel_set1,Realistic,NR_hdp_gb_1,seed.1076753,312724.327,3.61949452546296
indel_set1,Realistic,NR_hdp_gb_1,seed.145879,320864.154,3.71370548611111
indel_set1,Realistic,NR_hdp_gb_1,seed.200437,319047.996,3.69268513888889
indel_set1,Realistic,NR_hdp_gb_1,seed.310111,314093.341,3.63533959490741
indel_set1,Realistic,NR_hdp_gb_1,seed.528401,318746.689,3.68919778935185
indel_set1,Realistic,NR_hdp_gb_50,seed.1076753,890706.8,10.3091064814815
indel_set1,Realistic,NR_hdp_gb_50,seed.145879,890404.105,10.3056030671296
indel_set1,Realistic,NR_hdp_gb_50,seed.200437,892686.251,10.3320167939815
indel_set1,Realistic,NR_hdp_gb_50,seed.310111,884789.879,10.240623599537
indel_set1,Realistic,NR_hdp_gb_50,seed.528401,890890.352,10.3112309259259
indel_set1,Realistic,SignatureAnalyzer,seed.1076753,36938.863,0.427533136574074
indel_set1,Realistic,SignatureAnalyzer,seed.145879,40781.749,0.472010983796296
indel_set1,Realistic,SignatureAnalyzer,seed.200437,37522.122,0.434283819444445
indel_set1,Realistic,SignatureAnalyzer,seed.310111,41099.399,0.475687488425926
indel_set1,Realistic,SignatureAnalyzer,seed.528401,39219.954,0.453934652777778
indel_set1,Realistic,signeR,seed.1076753,177144.868,2.05028782407407
indel_set1,Realistic,signeR,seed.145879,181433.406,2.09992368055556
indel_set1,Realistic,signeR,seed.200437,185361.546,2.14538826388889
indel_set1,Realistic,signeR,seed.310111,179265.619,2.07483355324074
indel_set1,Realistic,signeR,seed.528401,177817.998,2.05807868055556
indel_set1,Realistic,SigProfilerExtractor,seed.1076753,56258.58,0.651140972222222
indel_set1,Realistic,SigProfilerExtractor,seed.145879,55978.5899999999,0.647900347222221
indel_set1,Realistic,SigProfilerExtractor,seed.200437,56084.74,0.649128935185185
indel_set1,Realistic,SigProfilerExtractor,seed.310111,56169.58,0.65011087962963
indel_set1,Realistic,SigProfilerExtractor,seed.528401,57025.85,0.660021412037037
indel_set2,Realistic,mSigHdp,seed.1076753,533893.184,6.17931925925926
indel_set2,Realistic,mSigHdp,seed.145879,532916.036,6.16800967592593
indel_set2,Realistic,mSigHdp,seed.200437,536523.725,6.20976533564815
indel_set2,Realistic,mSigHdp,seed.310111,531947.478,6.15679951388889
indel_set2,Realistic,mSigHdp,seed.528401,532347.413,6.1614283912037
indel_set2,Realistic,NR_hdp_gb_1,seed.1076753,586859.103,6.79235072916667
indel_set2,Realistic,NR_hdp_gb_1,seed.145879,593516.509,6.86940403935185
indel_set2,Realistic,NR_hdp_gb_1,seed.200437,595095.812,6.88768300925926
indel_set2,Realistic,NR_hdp_gb_1,seed.310111,584868.425,6.76931047453704
indel_set2,Realistic,NR_hdp_gb_1,seed.528401,590655.636,6.83629208333333
indel_set2,Realistic,NR_hdp_gb_50,seed.1076753,535856.25,6.20203993055556
indel_set2,Realistic,NR_hdp_gb_50,seed.145879,535016.292,6.19231819444445
indel_set2,Realistic,NR_hdp_gb_50,seed.200437,538469.25,6.23228298611111
indel_set2,Realistic,NR_hdp_gb_50,seed.310111,534511.943,6.18648082175926
indel_set2,Realistic,NR_hdp_gb_50,seed.528401,534307.816,6.18411824074074
indel_set2,Realistic,SignatureAnalyzer,seed.1076753,120675.468,1.39670680555556
indel_set2,Realistic,SignatureAnalyzer,seed.145879,161793.674,1.87261196759259
indel_set2,Realistic,SignatureAnalyzer,seed.200437,168239.008,1.94721074074074
indel_set2,Realistic,SignatureAnalyzer,seed.310111,111497.293,1.29047792824074
indel_set2,Realistic,SignatureAnalyzer,seed.528401,137332.951,1.58950174768519
indel_set2,Realistic,signeR,seed.1076753,296634.33,3.43326770833333
indel_set2,Realistic,signeR,seed.145879,263977.388,3.05529384259259
indel_set2,Realistic,signeR,seed.200437,277795.83,3.21522951388889
indel_set2,Realistic,signeR,seed.310111,290525.969,3.36256908564815
indel_set2,Realistic,signeR,seed.528401,287834.434,3.33141706018519
indel_set2,Realistic,SigProfilerExtractor,seed.1076753,129188.65,1.49523900462963
indel_set2,Realistic,SigProfilerExtractor,seed.145879,128062.9,1.48220949074074
indel_set2,Realistic,SigProfilerExtractor,seed.200437,128862.09,1.491459375
indel_set2,Realistic,SigProfilerExtractor,seed.310111,126674.87,1.4661443287037
indel_set2,Realistic,SigProfilerExtractor,seed.528401,129836.98,1.50274282407407
