Data_set,Approach,num.found,spike.in.count
sens_SBS35_10_1066,mSigHdp_ds_3k,5,10
sens_SBS35_10_1066,SigProfilerExtractor,0,10
sens_SBS35_10_728,mSigHdp_ds_3k,5,10
sens_SBS35_10_728,SigProfilerExtractor,0,10
sens_SBS35_100_1066,mSigHdp_ds_3k,5,100
sens_SBS35_100_1066,SigProfilerExtractor,5,100
sens_SBS35_100_728,mSigHdp_ds_3k,5,100
sens_SBS35_100_728,SigProfilerExtractor,5,100
sens_SBS35_20_1066,mSigHdp_ds_3k,5,20
sens_SBS35_20_1066,SigProfilerExtractor,0,20
sens_SBS35_20_728,mSigHdp_ds_3k,5,20
sens_SBS35_20_728,SigProfilerExtractor,0,20
sens_SBS35_30_1066,mSigHdp_ds_3k,5,30
sens_SBS35_30_1066,SigProfilerExtractor,4,30
sens_SBS35_30_728,mSigHdp_ds_3k,5,30
sens_SBS35_30_728,SigProfilerExtractor,5,30
sens_SBS35_5_1066,mSigHdp_ds_3k,0,5
sens_SBS35_5_1066,SigProfilerExtractor,0,5
sens_SBS35_5_728,mSigHdp_ds_3k,5,5
sens_SBS35_5_728,SigProfilerExtractor,0,5
sens_SBS35_50_1066,mSigHdp_ds_3k,5,50
sens_SBS35_50_1066,SigProfilerExtractor,5,50
sens_SBS35_50_728,mSigHdp_ds_3k,5,50
sens_SBS35_50_728,SigProfilerExtractor,5,50
