"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0517590668897908,0.377106933516861,0.207419785170395,0.076486959020634,0.317030477326133,0.916540311715302,0.772538491707537,0.0725800360827871,0.045847722463082,0.0302242940303475,0.0141492615226479,0.0400631515487374,0.00551746279764187,0.0019487429498205,0.0905862247421124,0.0119547469749554,0.0125965971121597,0.0316538715628543,0.165006167312083,0.0274844999576099,0.322636231611757,0.0756739549747859,0.0524415175184668
"SBS96B",0.0201425100099971,0.998605562170485,0.0934623970324682,0.0422318712021759,0.244844115749101,0.690175753310208,0.233832300895026,0.0601642227638941,0.0692285232331493,0.0384922811380222,0.0150659060806699,0.0581131030754103,0.00245170797650673,0.00118385516108255,0.0637322789248056,0.00709033054087571,0.0119385928853245,0.0408463286360141,0.0417357100482263,0.0231930620897324,0.325281022704224,0.0887362515958702,0.0174524091989982
"SBS96C",0.0710295893545762,0.247980840948947,0.360584605211934,0.148210069520441,0.43544185086293,0.624918941504904,0.983038631915988,0.0870455972792656,0.156021726263228,0.0692026764470721,0.012015705228791,0.0917067227001067,0.0313580058908303,0.00453702047251459,0.110741542958836,0.0250772092910297,0.0128630062289363,0.056558165982624,0.41837017969705,0.0380639653855231,0.410991353171274,0.114795880450572,0.103053229008019
"SBS96D",0.109102564236059,0.0726925096567991,0.578992835617866,0.195216876108235,0.886614073080484,0.0882601047084819,0.138580110768054,0.16783437534512,0.292534975401927,0.83129391642167,0.0389819991047747,0.787657386832684,0.162195933796128,0.0404976546852419,0.173277306742039,0.164955559692422,0.0602583704674025,0.178617454107086,0.161327833418144,0.0437779765864305,0.567187901891305,0.393157490737935,0.503241877129994
"SBS96E",0.0248113564302043,0.0352509480926662,0.605775705511735,0.991502173550972,0.342769110244028,0.0690560376299487,0.119542156308911,0.107112143052439,0.0710532991332541,0.107170864898366,0.0775025008032312,0.159457111899508,0.0341074999293792,0.0107123152800541,0.663507716121466,0.249480754378341,0.0174920180145368,0.745444780535968,0.632926569624674,0.706843300471319,0.572404209569111,0.117331675179444,0.321245063916762
"SBS96F",0.0705082118122216,0.405986176084684,0.808141177571106,0.538798833942826,0.823991442605209,0.404807304719333,0.436326331995541,0.195724564409485,0.217916023595381,0.388655496564094,0.18020069819879,0.489605220204579,0.131272973271624,0.0498144070663142,0.496715516439919,0.254252998788009,0.111852989085903,0.450070939322428,0.47139717422451,0.206479817426116,0.913805794595544,0.371816879315534,0.386521628012271
"SBS96G",0.060023735707172,0.0171968228655764,0.919674977401887,0.496786950470761,0.714925373609019,0.0810200898900356,0.197327976233766,0.174851910482166,0.163188997167803,0.415982575563981,0.180168463061144,0.373203757167026,0.0929233229494405,0.0409457920428135,0.325384758271208,0.246605714015794,0.0861962530808988,0.351201276994616,0.412359396446698,0.236367456990711,0.737994433603192,0.372236400092046,0.424415058689545
"SBS96H",0.198627553862603,0.0135076590631921,0.490431990106072,0.33398643203204,0.631576875398524,0.0502175616825421,0.10958857715704,0.186211356234461,0.197602506078498,0.347720003721652,0.0399294750083196,0.220156403517059,0.0889600724099769,0.0183325758653367,0.259416630892412,0.0647313254535185,0.0502069599495852,0.266301106728461,0.32036408608531,0.219470400080256,0.477647516712178,0.329983615997914,0.994267015655164
"SBS96I",0.999683633244323,0.0195478170783049,0.0590144735750514,0.0251609882039701,0.19871539081075,0.0463483596478542,0.0689065677178556,0.0254795345797906,0.0166611961262162,0.0188965405171031,0.00930041219448596,0.0302544865714509,0.00738769053158628,0.0039553562804937,0.12467480062068,0.0150116656391487,0.0177118842699415,0.158488701350812,0.0228510099706071,0.0217199078871624,0.0463902980826101,0.105707146818641,0.218374247992397
"SBS96J",0.0236383278386489,0.00139009563606962,0.105905495526342,0.0128297501277812,0.0980431042221304,0.00259827441369365,0.00601319213246421,0.0386476660842253,0.0135838531891858,0.0124698294374544,0.00272156117793965,0.0277361882285937,0.0361516574767042,0.999374700521308,0.0339982218294753,0.0109690167045386,0.412865927603469,0.0128310689766393,0.0310186549591487,0.0217924353032687,0.181770882028427,0.160410468334596,0.0235280039769459
"SBS96K",0.0623778953471441,0.0306985973994269,0.371229326896363,0.676610884397375,0.29269698153599,0.0337596569048024,0.044898525153,0.0586436418776931,0.059594890720279,0.0696808712599899,0.115706397161429,0.112663967046406,0.0234456674166716,0.0154763141877514,0.990945384272378,0.037501415018061,0.0188823764715359,0.804158235042529,0.31142633315353,0.422576878755706,0.509846560503768,0.102074231311461,0.187619861838153
"SBS96L",0.0247796860523884,0.0639449756106518,0.33710645915742,0.125009389511463,0.269564339190095,0.0948715727825565,0.0983102743135734,0.992891218129449,0.213916359206639,0.234829605108033,0.0466842224495405,0.100858703636929,0.134196670097996,0.0379187549049547,0.103946341053759,0.215639640466236,0.0915939851228145,0.0539921735543797,0.180117827925957,0.0433985859013925,0.383626375007121,0.605277045205427,0.207700703000739
"SBS96M",0.0191501607949557,0.0157236599294613,0.588159822844697,0.624530147090498,0.339403061558424,0.0923771712055586,0.312664065987707,0.150624705283793,0.0406317619871697,0.0705917301517278,0.119933279422536,0.134729588177613,0.0954787375086353,0.0130445690408092,0.306097001849321,0.508108662653448,0.0181450159978499,0.454060419481886,0.989991462613638,0.331800268812014,0.451163839006844,0.149411438681412,0.266894342023833
"SBS96N",0.00856769862297135,0.00245680746376298,0.249417330293686,0.0531404559055459,0.211163841490788,0.00753510367462429,0.0244272212680339,0.178980118116505,0.125455891002198,0.348525727671087,0.00775200050444824,0.0811048815474918,0.999714036881354,0.0457380179182931,0.0313130167136828,0.0763662772311273,0.0229945935755153,0.0266477945685758,0.102490867176203,0.0165557668144185,0.198411228547823,0.0962042212328879,0.0910431658169459
"SBS96O",0.0193423358207756,0.0976264614959708,0.33259441779294,0.115012115588344,0.399205149202431,0.249782475306531,0.278834395712532,0.212370106730025,0.968007903336791,0.437226862726735,0.0325400831668947,0.167955835545933,0.117254868361835,0.0182726743685891,0.106817211940873,0.103225418786396,0.0240108166866185,0.0613597254775564,0.0994453388027139,0.0660638366833347,0.336691761293201,0.287635604845563,0.199543042386637
"SBS96P",0.00902235379755989,0.0114256230014438,0.29038150136339,0.103901207630918,0.158891957750138,0.00905210312684346,0.0113827504152351,0.0430091654267096,0.0170248398841677,0.0238739401565778,0.998806934607151,0.0998427908174918,0.00647746318203557,0.00273500413774741,0.127550493312659,0.0135612277902475,0.00556114715932199,0.0710374535557807,0.130305698497863,0.0278330854844843,0.300272910923357,0.261436971432823,0.0371147757509361
"SBS96Q",0.026969737259749,0.0126849600856349,0.175680358038596,0.0534224688198969,0.186799497913132,0.0158046230591794,0.0284003373631906,0.112930270021839,0.0433138588779671,0.0489275892570551,0.0154095920090436,0.0901047920488941,0.0238521948450243,0.272816286888923,0.0917550134936802,0.0414153973943679,0.97920686581197,0.0561089343194655,0.0576872035276312,0.0379712050388684,0.322318396225379,0.566848327371206,0.0898034706395292
