"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0521255366468147,0.351589416792937,0.209799229680799,0.0773142380501007,0.316652275279857,0.905620363563132,0.783953623806116,0.0714671494318588,0.0472459698704984,0.0298446370616381,0.0137346380715317,0.0404035189164341,0.00561035654947062,0.0019631702259687,0.0898157306885125,0.0120598025843617,0.0123846071464022,0.030993005713202,0.169408391259435,0.0270166188217041,0.319206667614728,0.074755134491981,0.0529942211186107
"SBS96B",0.0201650444308977,0.995085216883511,0.0907732649382875,0.0408882324915859,0.239896121686656,0.685808546881994,0.21632143210735,0.0609174218280227,0.0629426715970924,0.0378270160510219,0.0152224933162363,0.0549427807771571,0.00271151685866355,0.00112768943166375,0.0640360383361351,0.00709985671801694,0.011871806084404,0.0408863261781094,0.0399724985036211,0.0230192692556842,0.321323137064645,0.0872518867189295,0.0172931117595601
"SBS96C",0.0711504504756926,0.236341584300806,0.370166531849725,0.15270063002843,0.440778887399341,0.585344807203433,0.968401399010317,0.0895435662302357,0.183245985572447,0.0809910611028301,0.0121866495719222,0.0964102111605417,0.0355104199569912,0.00516195794285124,0.112280608393601,0.0264764147284853,0.0136986883959535,0.0591203190152716,0.430854645995138,0.040191151376077,0.414103570054054,0.119960743993125,0.108965612673607
"SBS96D",0.0787746964368474,0.219628399419986,0.866950352041968,0.531250843889511,0.847123151071476,0.278059607039218,0.357272439990291,0.204461805897806,0.193885758153146,0.416901891439384,0.18880046382388,0.521146809891979,0.0922566917607177,0.0621502081725113,0.453517764295451,0.16601533266363,0.174832539202228,0.442030107134662,0.447675390870256,0.212745581477305,0.917448344972411,0.390595157300017,0.440799235743688
"SBS96E",0.107260364002138,0.0639177587891998,0.584254243936937,0.194654391604634,0.887871467644073,0.0846957442137278,0.144907896067303,0.1723984519319,0.299005444622063,0.841234042654006,0.0452669524762854,0.782607095077112,0.177344019120719,0.0401721513066403,0.17515978007309,0.156012562079362,0.0618145648454169,0.178879252646903,0.162876566552204,0.0454999415149323,0.570047588592032,0.398392791616094,0.50573689033053
"SBS96F",0.0232445815316323,0.033195519689788,0.609778566843213,0.98154411548024,0.336056855861884,0.0712429070503209,0.135734882230755,0.109720863013819,0.0670607934348829,0.103585927756481,0.0684134899675147,0.154209951134561,0.039961857638213,0.00910619814096392,0.601517742667708,0.261355400874474,0.0164459336973086,0.719107849912739,0.679140951260571,0.701362508375656,0.555996847191904,0.11188487463335,0.327082332906322
"SBS96G",0.179149439310129,0.0147479524458044,0.503266464979086,0.339126403564013,0.646536386374752,0.0515176007093454,0.112159592634161,0.186140155164334,0.198224328915476,0.364481843519793,0.0405894300691778,0.240289085555591,0.0859376968394256,0.0172623147802994,0.26135215012898,0.0698405082542792,0.04573554002137,0.268325756580393,0.325145853548624,0.219514107747773,0.488990065657825,0.330245383698736,0.992770793438699
"SBS96H",0.999748969860573,0.0199717446288481,0.059966976206736,0.0260316736272223,0.200801980048082,0.0470805060481154,0.0695626180473928,0.0253901582115477,0.0167840685236601,0.0202571396633876,0.00820958904201319,0.030713449630646,0.00760476156212719,0.00423035900258895,0.125649837170118,0.0154584711277691,0.0195129094102648,0.159772707103314,0.0241646706456373,0.0221603948785092,0.0474313465203307,0.107041164559183,0.221038301693965
"SBS96I",0.0493549992865242,0.0278134353411583,0.376316125751644,0.683979782617316,0.291575511230924,0.0303072999540458,0.0424681115023304,0.0594625532390949,0.0609737690615281,0.0681886294366296,0.117268907295752,0.114513802350263,0.0213663069107113,0.0157570821414287,0.990765280113302,0.0403934546747088,0.0197073436299813,0.804976449243339,0.316458141487342,0.42608668895578,0.515209741241251,0.100598302578542,0.188119537655709
"SBS96J",0.0231471993454534,0.0013022515575295,0.106477472052469,0.012875879331225,0.0987761034992164,0.00250624300533764,0.00590679183049869,0.0389581527040761,0.0134105495972131,0.0120695178419594,0.00285747932944436,0.0281750815743556,0.0347770437561012,0.999459523617595,0.0344394849464427,0.0109131231537695,0.423306307070517,0.0129770463513815,0.0310767032439743,0.0219710100818629,0.183812719144827,0.165376038154866,0.0238176268276115
"SBS96K",0.0858845057801489,0.0209142936276008,0.884927174960634,0.537957622049551,0.639020496569052,0.0791661418670296,0.202047667906527,0.191926988916977,0.156987271683233,0.356366566115259,0.201583371572648,0.337328951624816,0.12770900080344,0.0602324201941078,0.321683931266592,0.618860824130375,0.107493439548233,0.34514430955694,0.628151663116532,0.210736789350117,0.671349817122839,0.400921838805853,0.309774990752037
"SBS96L",0.0244204136176147,0.0684833590151235,0.336899323285407,0.120949082458192,0.27151314253078,0.0962340205358455,0.0975098703465339,0.992984717730633,0.220101182119748,0.237153155568207,0.0475766945851652,0.102049947197176,0.132909673279591,0.0366611943737047,0.101813702789032,0.215005122013301,0.0927903267341103,0.0515566275033355,0.178410584453607,0.041149305998703,0.384105420119184,0.605699322353734,0.20785599707841
"SBS96M",0.00812501495557316,0.00284973625181317,0.249500563225222,0.053256301649366,0.211249953522671,0.00786473064696036,0.0248053193301583,0.179308751104149,0.125372211176998,0.348527360300214,0.00727828501913586,0.0812681385925367,0.999726653387232,0.0477380636263093,0.0314235268615514,0.0764820924282538,0.0212364975523492,0.0264519440613997,0.102735992168429,0.0166086589069935,0.198527166241789,0.0952676970057557,0.0907821358590465
