"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.923501534976204
"SBS96B","SBS2",0.998161247985138
"SBS96C","SBS7b",0.984185622849015
"SBS96E","SBS4",0.988369027847827
"SBS96F","SBS40",0.906711432171588
"SBS96G","SBS44",0.994408859195111
"SBS96H","SBS3",0.929372551227158
"SBS96I","SBS1",0.999687946644578
"SBS96J","SBS17b",0.999476472895401
"SBS96K","SBS18",0.988282698136893
"SBS96L","SBS7c",0.994438923438625
"SBS96M","SBS17a",0.999742701990974
"SBS96N","SBS7d",0.96124102784802
"SBS96O","SBS13",0.998945366832589
"SBS96P","SBS22",0.922188887347319
"SBS96Q","SBS28",0.970921632742277
