"ex.sig","ref.sig","sim"
"hdp.1","SBS1",0.998887807950706
"hdp.2","SBS17b",0.999206061868463
"hdp.3","SBS40",0.999135343272005
"hdp.4","SBS7a",0.957532628622329
"hdp.5","SBS41",0.993778414542777
"hdp.6","SBS3",0.997702909069923
"hdp.7","SBS13",0.997469097897038
"hdp.8","SBS5",0.999277572888281
"hdp.9","SBS35",0.993256205553112
"hdp.10","SBS7c",0.999334879776076
"hdp.11","SBS17a",0.998403460397878
"hdp.12","SBS7d",0.976482009119027
"hdp.13","SBS12",0.993309827383257
"hdp.14","SBS7b",0.991036045011652
"hdp.15","SBS4",0.997801478487368
"hdp.16","SBS22",0.988657839560879
"hdp.17","SBS18",0.997661436124487
"hdp.18","SBS44",0.994431632470893
"hdp.19","SBS16",0.989327582542657
"hdp.20","SBS28",0.984368283711998
"hdp.21","SBS2",0.999397976487753
"hdp.22","SBS29",0.950688227469523
