"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"hdp.1",0.998772628096982,0.0243729395044422,0.0757840534106065,0.0347856538326279,0.21309704247705,0.0538044061951988,0.0768070485414796,0.0317314647479839,0.0228214044920985,0.033023718093133,0.0118140519188733,0.0411675905199879,0.0115035270807924,0.00561400411630719,0.129667071246176,0.0189593140860423,0.0212217199848692,0.16590890652485,0.033401664241695,0.0257288219524351,0.0624299618472066,0.111003279841487,0.224490186230471
"hdp.2",0.0328940370463149,0.00192564766743164,0.109811515482388,0.0142393899129843,0.10313813512179,0.00396958019452076,0.00774265287700127,0.0407878498268189,0.0161636203658673,0.0187364979967179,0.00353580643619122,0.0293281067219832,0.05198230994426,0.999251886606835,0.035647266742976,0.0122303987918873,0.40959815077309,0.0148869781009221,0.0324778104008785,0.0225151925918218,0.183924274485497,0.162081273745789,0.0268560501329405
"hdp.3",0.0379053157772617,0.0157476635496707,0.293511002373215,0.105687573133591,0.167575230122549,0.018084173840187,0.0185891063991589,0.0448364201423089,0.0180988812780538,0.0264763584178701,0.998723417688769,0.10192014757165,0.00763558228826333,0.0033714022068978,0.132103571030583,0.0149382071246779,0.00674951183837968,0.0764424912556001,0.133156989055153,0.0290890279812602,0.303989398806377,0.26503216357813,0.0431332215898922
"hdp.4",0.0221866236766328,0.999469642292842,0.105505294856103,0.0491189747141967,0.260961378727852,0.710399627002615,0.272668618478572,0.0608063768131371,0.0790958241530293,0.0445477209182399,0.017203695166385,0.0674285306249168,0.00465994057270214,0.00293658922531381,0.0685078917615584,0.00867688297379565,0.0142369405828308,0.0444844197966834,0.0493220868464977,0.0258469415259319,0.33921309409322,0.094738609738695,0.0217825268500124
"hdp.5",0.0304826999845558,0.0527462611077327,0.515414725189652,0.151818539004556,0.707014312540909,0.0575769764100954,0.0885103808172563,0.240049719691177,0.468050922129262,0.993469855237555,0.0428700955733757,0.536037118186946,0.351491689665223,0.0273345219734871,0.117582220527242,0.103309628608085,0.0376255702529416,0.0989588429625753,0.101360140867663,0.075869207269048,0.467420946570678,0.425047296499389,0.37536041348442
"hdp.6",0.0507289660306728,0.0561762696274378,0.655799449306634,0.668510091617418,0.427546135567829,0.170870161165549,0.397971917827604,0.193200070291651,0.0751598561868978,0.102623579056938,0.142015360144422,0.166727044710086,0.126466068750334,0.0306313346814788,0.379516796560408,0.459918441000537,0.0425508258367562,0.491330888506355,0.996899522049859,0.374141542581267,0.548563597914233,0.205640183081708,0.337167397532184
"hdp.7",0.0432033710658785,0.520141075883318,0.211283118698173,0.0796006220872534,0.337499814535667,0.966711565033086,0.776046087128141,0.0771843095983229,0.0664542406049485,0.0367632980503971,0.0150755364713342,0.0507021978157769,0.00640044290278285,0.00217730697012986,0.0923616739290322,0.012154704866299,0.0136369183833518,0.0338379072388689,0.162896596001772,0.029690101214472,0.358534093746257,0.087340968748757,0.050897279623346
"hdp.8",0.166020780221345,0.0571424933967702,0.414453877729562,0.718654122921463,0.339799981105844,0.086962621722917,0.0996500534141246,0.0914826536097557,0.0779047589278383,0.0813939306611754,0.117790291153677,0.11965385657399,0.0247974637542838,0.0242581568036553,0.997746696818516,0.0575255906482252,0.0311278727319854,0.826486907231823,0.36196110148635,0.464054733302306,0.548951486149645,0.141851421344851,0.247852777707025
"hdp.9",0.0377683051400527,0.0411856064273481,0.379433729939572,0.309302040327687,0.269014871587966,0.0576227057931638,0.0659252883132229,0.223279661707877,0.0643349967721405,0.132867481779618,0.0294132667339949,0.190388033606493,0.0892436085949904,0.0221373825785954,0.101526522149568,0.988842705342484,0.0442416593416535,0.0794792717560562,0.486205126517155,0.0344193514168447,0.265988656835189,0.285782194811293,0.106321289021167
"hdp.10",0.208588198670117,0.253903571867645,0.780399783326907,0.365250548553155,0.999167076651019,0.360641660121983,0.429107539871023,0.247092945413676,0.327124312628047,0.673790159609492,0.147719567805903,0.647079528823333,0.200033322891173,0.096092219977841,0.346479055012562,0.192049362583374,0.146220884794331,0.312833166218433,0.365960857072334,0.139350935017408,0.81776109986281,0.481110628466765,0.602680047281994
