"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"hdp.1",0.999017326457348,0.0250062668992307,0.0774593833689352,0.0357006499175747,0.216111516756388,0.0549842448356084,0.0783541011620583,0.0322662956978379,0.0235430544157013,0.0343178425836982,0.0119961108743425,0.0423993385915649,0.0120598794615053,0.00587488928587399,0.130832185615349,0.0193556960839689,0.0214615440634284,0.166812142280438,0.0344901242162292,0.0261157298647251,0.0642865943696062,0.112468108809925,0.226932111423297
"hdp.2",0.0329684801285588,0.0019522982117679,0.111021998657275,0.0144702033407159,0.103969789146199,0.00405650011530212,0.00789712488546179,0.0414396409048464,0.0166018932894467,0.0190135645387512,0.0037237003189392,0.0297752391392534,0.0524692549265797,0.999348188924475,0.035958661220127,0.0125573460429848,0.413324002229539,0.0150551017756927,0.0330888221113563,0.0226635843504608,0.185718944467516,0.163954410684085,0.0272630156184168
"hdp.3",0.0235359382434358,0.999881859592892,0.103778307534238,0.0480408467558231,0.258429420239501,0.710190714510381,0.261455353644754,0.0612563619351116,0.0745616319354679,0.0440556195961066,0.0172707740250098,0.0652356596435972,0.00476007120179589,0.00275923840112002,0.0688466122642231,0.00869184727859207,0.0141589469760935,0.0445906360107683,0.0480208247306463,0.0255815024169784,0.337244354627574,0.0937914259250751,0.0217971742385543
"hdp.4",0.0370855934747971,0.0155123292226483,0.292894887322017,0.104986851142428,0.166298224008997,0.0174505553514972,0.0175792932766359,0.0448349497112929,0.0176276354383968,0.0258663932408785,0.998243411919285,0.101739641102718,0.00737120647198053,0.00329770232430704,0.13115956816768,0.0145769439854712,0.0065702683100568,0.0758048677129267,0.133089578474973,0.0288298721264312,0.303250436518007,0.26518522013195,0.0422792058876359
"hdp.5",0.0330644536232841,0.0410388165570301,0.410807622559703,0.172683964241759,0.650315860860885,0.0672058570632241,0.111460129700488,0.0920440444056891,0.151433666787034,0.543439474098289,0.10889235844522,0.989731364770038,0.0865796200426968,0.0523133810818974,0.130654741546486,0.158843963267028,0.0986569839612264,0.105679114503831,0.142899685424697,0.0632946893271626,0.44129574657286,0.27721671432386,0.198510510937779
"hdp.6",0.0627209780105765,0.329343419236913,0.881688441236482,0.613505449475247,0.835813315048054,0.391211640634529,0.410634302397493,0.375104129563085,0.270482123946305,0.419886818573189,0.299209842370949,0.44209337710978,0.1912613478702,0.189379227485219,0.573215431167345,0.194530941407398,0.2930872058066,0.514713096448785,0.517527800344466,0.306633022773207,0.999228465413432,0.55002863845858,0.456506440881179
"hdp.7",0.0660726800949782,0.230739956086733,0.355491360176617,0.147587897842541,0.426136151605582,0.667618127653848,0.995300630810153,0.0866161715030798,0.121998446363189,0.0597106552650294,0.0137032684698716,0.0845347067674952,0.0260269276748432,0.005244116566261,0.112008431419639,0.0252452394159598,0.0166867295320448,0.0549603512130954,0.411247380382702,0.0384518055144764,0.40694591284037,0.112201170397844,0.0995995789924113
"hdp.8",0.199098248740896,0.0334730602244182,0.50964003410368,0.353836558606475,0.645925380923839,0.0730534191575914,0.119076331518121,0.199055118372917,0.211709845488855,0.386788319697592,0.0424703470946686,0.240258804046337,0.0986366082898743,0.0254002346962029,0.26477903891051,0.0746065453392336,0.0597919247101315,0.277771858878339,0.338243531356047,0.238194505581429,0.497624830293535,0.351669755881607,0.994164218209461
"hdp.9",0.0245190308362034,0.0372595860521425,0.625033988216011,0.998417185741886,0.365634027391875,0.0738614011424652,0.136744045782687,0.116716543861227,0.0766368190272797,0.107575439506439,0.100024928442193,0.160513381327957,0.0468097903246715,0.0112348633665675,0.73429667040222,0.277892577929492,0.0187470860620691,0.782199296682111,0.67324033401186,0.707743260220696,0.605418137849,0.134370829516733,0.328718441096533
"hdp.10",0.03076675101966,0.0520184204901488,0.515706418386321,0.151471832089484,0.706561661074853,0.0576168743712174,0.0893179009585081,0.240619560080527,0.468750313887817,0.993264779602478,0.0427754739040264,0.532792487329449,0.352175319458169,0.0271023408148052,0.117304824894793,0.103128518556227,0.0374762808247496,0.0987626978751768,0.101488181616993,0.0747982217904712,0.467404604804942,0.425673068230507,0.375929775766121
"hdp.11",0.0467078294753804,0.556103004060989,0.210751867106763,0.0792289754733375,0.340904604504563,0.97822105101864,0.757683066996752,0.0797856638531327,0.0618576453597999,0.0373516498502002,0.0156879169972574,0.0498197895922575,0.00655313807233893,0.00214041177870805,0.0948050099050901,0.0124899576062528,0.0140133241909405,0.0360762750427981,0.161978659764086,0.0298679312735967,0.364965944713678,0.0891714736432383,0.0513060576725033
"hdp.12",0.13652861385598,0.0734287144137564,0.450050707583091,0.127859374555426,0.454123134864731,0.0842474413829686,0.102196064888973,0.51474573463025,0.253878035304686,0.367475589059062,0.259098254882204,0.255796777399115,0.0820781243696775,0.144107903636123,0.145755870699708,0.245169532470287,0.46718613716214,0.0802740674588175,0.162249327723641,0.0456409832522164,0.50999537202496,0.993763494097455,0.318558242148593
"hdp.13",0.0813480408750764,0.0779786378259548,0.997620540099556,0.645092578161453,0.767920778890412,0.195346817821853,0.338350596847013,0.324534749572158,0.271847541286806,0.44988281701544,0.282595494963256,0.369364238715373,0.246149977011243,0.107849016826879,0.440952076244801,0.324198683413413,0.140353429473551,0.467865613747072,0.628984368018401,0.343798234183235,0.866156437770291,0.474785336925496,0.454712587060612
"hdp.14",0.0362029542163533,0.100134109424454,0.316844096627673,0.0993418060320889,0.39418021109506,0.245565648783031,0.272610883268135,0.213713702866433,0.972897048735375,0.432824653153396,0.0206602122023799,0.162026583238904,0.120308157987488,0.0185998404863569,0.103426352990351,0.0526658630749821,0.0254326870648472,0.0623924451172544,0.0775309754667843,0.0637411422801633,0.327365558927904,0.280105735376251,0.204304185016748
"hdp.15",0.208146071593055,0.253133319550964,0.780154888561455,0.365192428463622,0.99914789323642,0.359610981833554,0.427753652230494,0.246985844649729,0.326905989244275,0.674273747129534,0.147880420436234,0.647793492445252,0.199527614758778,0.0959319444237103,0.346403099437373,0.192044102960215,0.146268490416679,0.312788006023012,0.365426000610087,0.139710752972079,0.817385759074532,0.481172171713486,0.603133752742133
"hdp.16",0.0406073703232717,0.0139959391232283,0.163614314324795,0.0471912351556373,0.176588971791096,0.0275808012987484,0.0362307225328969,0.102266100456098,0.0301772540797353,0.0359636327838262,0.00989930787961024,0.0815891272234484,0.0281318268227275,0.269521836453815,0.0782951971525446,0.017413395066995,0.984084930310536,0.0534791577679344,0.0582644592063295,0.0342132583481403,0.306325781046162,0.503368226893873,0.0774724577855862
"hdp.17",0.0570856321444924,0.00588847996497699,0.259197783992514,0.0580572250549855,0.226801153257325,0.0143438841653942,0.0336904371784907,0.183257316655249,0.131555485520892,0.354102699592725,0.00917978697049104,0.0853244195612594,0.998398905924661,0.0521714830741238,0.0386460287243504,0.0798084420306368,0.0253909214931269,0.0363148098655206,0.109431849859553,0.0195118746740456,0.207247871003716,0.105938071217337,0.104380837818575
"hdp.18",0.166059472761756,0.0574309186438822,0.416016282136387,0.718946346682036,0.341708386907764,0.0882035879618837,0.101607909226441,0.092114606935798,0.078518137467989,0.0822749246331118,0.118265795235386,0.120308435916378,0.0251669871415121,0.0244106912773695,0.997769611790504,0.0579792858300716,0.0313911524601169,0.826290791402531,0.362927616219981,0.463703174183232,0.550395544928169,0.142909142421017,0.248931188681952
"hdp.19",0.0508978359291438,0.0564885302792372,0.655475124434803,0.668505763131316,0.427537362345036,0.1706686451391,0.397226632070184,0.192989794248267,0.0750530967371191,0.10297623435311,0.142055718390984,0.167193284133949,0.126759858702209,0.0305131085483552,0.379406496028663,0.459754634707709,0.0422646348128353,0.491530999980604,0.996891324108903,0.374543491233071,0.548221478403387,0.205446289722964,0.337718654342044
"hdp.20",0.0386370965446045,0.0410452900621574,0.379983613973531,0.309651559509398,0.269988001197741,0.0577241297739141,0.0664476503192819,0.222128795606683,0.0644693489896681,0.133497981939633,0.02950585396519,0.191073425926025,0.0895400786758028,0.0220718055938307,0.101983888407553,0.988726338565597,0.0441507189911267,0.0800002538923771,0.486394810123024,0.034263189009881,0.266358242595009,0.28547004611692,0.106913992052291
"hdp.21",0.0266028361257119,0.055571317030254,0.331397479717477,0.127586962143492,0.258743519038029,0.0772610938027922,0.0850131752741938,0.999282817891764,0.195098108385577,0.220151460493299,0.0445581067354843,0.095100350390012,0.167431832531985,0.040151729990155,0.103681470345687,0.206745921940006,0.0931855845165881,0.0589280802438223,0.184579750967901,0.0464841611106243,0.375596328139211,0.552261751108057,0.196332166366042
"hdp.22",0.173997334170882,0.125838039790139,0.581765700187894,0.734719469811079,0.533187946853205,0.156881353576405,0.155688229562914,0.100917735561659,0.124626748804103,0.244305426613718,0.0996523418944389,0.315757895032764,0.0707035933509168,0.0291484771110457,0.797913803210287,0.0797001345141655,0.0473784237700425,0.952808325623284,0.509173971919,0.364166356397712,0.64835277242115,0.176089660341449,0.334518419393767
