"ex.sig","ref.sig","sim"
"hdp.1","SBS1",0.999196056300205
"hdp.2","SBS17b",0.999338313810076
"hdp.3","SBS7a",0.952904925397508
"hdp.4","SBS5",0.999148196319779
"hdp.5","SBS2",0.999839335274756
"hdp.6","SBS40",0.999246394311109
"hdp.7","SBS17a",0.998434533402596
"hdp.8","SBS18",0.99756644076758
"hdp.9","SBS7c",0.999360681088057
"hdp.10","SBS44",0.994493065711203
"hdp.11","SBS4",0.999414466575587
"hdp.12","SBS3",0.997530067504852
"hdp.13","SBS7b",0.985738615920541
"hdp.14","SBS41",0.993826574417195
"hdp.15","SBS13",0.997622066514569
"hdp.16","SBS12",0.993041985215287
"hdp.17","SBS35",0.998315673161677
"hdp.18","SBS7d",0.980512431919151
"hdp.19","SBS28",0.984445480144028
"hdp.20","SBS22",0.988776238838085
"hdp.21","SBS16",0.990138713860055
"hdp.22","SBS29",0.954124102350193
