Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3400
low confidence hdp.3,3000
low confidence hdp.4,2805
low confidence hdp.5,1992
low confidence hdp.6,1989
low confidence hdp.7,1796
low confidence hdp.8,1096
low confidence hdp.9,1000
low confidence hdp.10,1000
low confidence hdp.11,994
low confidence hdp.12,948
low confidence hdp.13,798
low confidence hdp.14,600
low confidence hdp.15,579
low confidence hdp.16,204
low confidence hdp.17,200
low confidence hdp.18,200
low confidence hdp.19,200
low confidence hdp.20,15
low confidence hdp.21,6
low confidence hdp.22,5
low confidence hdp.23,2
low confidence hdp.24,2
